file,pressure_gpa,pressure_95ci_gpa,temperature_celsius,temperature_95ci_celsius,lattice_a_angstrom,lattice_a_95ci_angstrom,lattice_b_angstrom,lattice_b_95ci_angstrom,lattice_c_angstrom,lattice_c_95ci_angstrom,cell_volume_a3,cell_volume_95ci_a3
1,19.55,0.02,200,20,4.771,0.003,2.935,0.002,4.321,0.003,60.50,0.07
2,20.75,0.03,250,25,4.866,0.004,2.917,0.002,4.264,0.003,60.52,0.08
3,17.15,0.03,250,25,4.809,0.002,2.935,0.001,4.319,0.002,60.97,0.05
4,10.10,0.02,250,25,4.824,0.003,2.966,0.001,4.373,0.003,62.57,0.06
5,10.43,0.02,250,25,4.838,0.002,2.965,0.001,4.370,0.002,62.69,0.04
6,7.86,0.02,250,25,4.919,0.003,2.966,0.001,4.369,0.002,63.75,0.06
7,5.84,0.02,250,25,4.938,0.003,2.975,0.001,4.390,0.002,64.49,0.05
8,10.75,0.04,250,25,4.834,0.005,2.971,0.003,4.372,0.006,62.8,0.1
9,8.26,0.08,250,25,4.881,0.005,2.976,0.003,4.358,0.004,63.3,0.1
10,8.48,0.06,250,25,4.922,0.006,2.958,0.003,4.311,0.005,62.8,0.1
11,14.61,0.08,250,25,4.878,0.008,2.944,0.004,4.279,0.006,61.4,0.2
12,19.6,0.1,250,25,4.867,0.007,2.922,0.003,4.250,0.009,60.4,0.2
13,17.87,0.08,250,25,4.884,0.008,2.929,0.003,4.243,0.008,60.7,0.2
14,17.11,0.06,300,30,4.879,0.007,2.935,0.003,4.261,0.007,61.0,0.1
15,17.07,0.09,300,30,4.889,0.007,2.932,0.003,4.253,0.008,61.0,0.2
16,17.02,0.09,300,30,4.883,0.009,2.934,0.004,4.26,0.01,61.0,0.2
17,16.57,0.08,300,30,4.86,0.02,2.942,0.006,4.28,0.02,61.2,0.3
18,14.10,0.09,300,30,4.882,0.008,2.948,0.003,4.294,0.009,61.8,0.2
19,13.03,0.08,300,30,4.88,0.01,2.953,0.004,4.295,0.009,61.9,0.2
20,9.91,0.06,300,30,4.906,0.006,2.964,0.003,4.327,0.006,62.9,0.1
21,8.70,0.07,300,30,4.92,0.01,2.969,0.006,4.333,0.009,63.3,0.2
22,8.3,0.1,300,30,4.921,0.006,2.968,0.003,4.329,0.005,63.2,0.1
23,7.67,0.07,300,30,4.923,0.006,2.972,0.003,4.337,0.005,63.5,0.1
24,7.38,0.05,324,32,4.905,0.007,2.981,0.003,4.374,0.005,64.0,0.1
25,4.19,0.04,350,35,4.924,0.004,2.989,0.002,4.419,0.003,65.03,0.08
26,3.81,0.03,350,35,4.952,0.005,2.984,0.002,4.401,0.004,65.0,0.1
27,4.41,0.03,350,35,4.951,0.009,2.979,0.004,4.398,0.007,64.9,0.2
28,5.56,0.03,350,35,4.938,0.007,2.972,0.003,4.387,0.005,64.4,0.1
29,7.26,0.06,350,35,4.915,0.009,2.963,0.004,4.364,0.007,63.6,0.2
30,7.78,0.05,350,35,4.914,0.007,2.961,0.003,4.348,0.006,63.3,0.1
31,8.58,0.05,350,35,4.910,0.007,2.960,0.003,4.338,0.006,63.0,0.1
32,9.71,0.04,350,35,4.872,0.007,2.961,0.003,4.351,0.005,62.8,0.1
33,14.39,0.06,350,35,4.839,0.004,2.947,0.002,4.344,0.004,61.95,0.09
34,14.96,0.07,350,35,4.861,0.004,2.940,0.002,4.322,0.004,61.78,0.09
35,20.2,0.1,350,35,4.803,0.006,2.926,0.003,4.314,0.006,60.6,0.1
36,21.01,0.05,350,35,4.828,0.008,2.917,0.004,4.295,0.008,60.5,0.2
37,20.34,0.07,350,35,4.825,0.005,2.918,0.002,4.293,0.005,60.4,0.1
38,19.07,0.09,350,35,4.808,0.007,2.924,0.003,4.327,0.007,60.8,0.1
39,17.3,0.1,350,35,4.783,0.004,2.937,0.002,4.347,0.004,61.07,0.09
40,14.84,0.06,350,35,4.825,0.006,2.950,0.002,4.339,0.005,61.8,0.1
41,5.75,0.04,350,35,4.916,0.004,2.974,0.002,4.397,0.004,64.28,0.09
42,8.03,0.05,385,39,4.906,0.007,2.968,0.003,4.357,0.008,63.4,0.2
43,9.00,0.04,390,39,4.894,0.004,2.965,0.002,4.359,0.004,63.25,0.09
44,11.19,0.04,395,40,4.898,0.005,2.951,0.002,4.332,0.005,62.6,0.1
45,12.24,0.04,400,40,4.892,0.006,2.947,0.002,4.319,0.006,62.3,0.1
46,12.22,0.03,400,40,4.871,0.006,2.951,0.003,4.337,0.007,62.3,0.1
47,12.03,0.04,400,40,4.866,0.007,2.954,0.003,4.346,0.008,62.5,0.2
48,5.88,0.04,400,40,4.92,0.01,2.980,0.005,4.38,0.01,64.3,0.2
49,4.63,0.06,310,31,4.930,0.008,2.978,0.004,4.398,0.006,64.6,0.2
