source_row,pressure_gpa,pressure_sigma_gpa,temperature_k,lattice_a_angstrom,lattice_a_sigma_angstrom,lattice_b_angstrom,lattice_b_sigma_angstrom,lattice_c_angstrom,lattice_c_sigma_angstrom,cell_volume_a3,cell_volume_sigma_a3
1,0.0001,,300,4.9544,0.0002,4.4594,0.0003,2.9999,0.0001,66.278,0.006
2,0.68,0.01,300,4.9480,0.0013,4.4465,0.0008,2.9954,0.0007,65.90,0.07
3,1.22,0.01,300,4.9418,0.0009,4.4412,0.0005,2.9932,0.0003,65.69,0.04
4,1.80,0.01,300,4.9369,0.0013,4.4352,0.0006,2.9890,0.0006,65.45,0.06
5,2.36,0.01,300,4.9319,0.0010,4.4295,0.0005,2.9852,0.0004,65.21,0.05
6,2.36,0.02,400,4.9343,0.0017,4.4318,0.0009,2.9882,0.0006,65.34,0.08
7,2.27,0.01,350,4.9335,0.0020,4.4294,0.0009,2.9871,0.0007,65.28,0.09
8,2.19,0.01,300,4.9314,0.0018,4.4289,0.0008,2.9866,0.0007,65.23,0.08
9,2.71,0.02,300,4.9246,0.0019,4.4234,0.0008,2.9808,0.0008,64.93,0.09
10,3.12,0.02,300,4.9250,0.0019,4.4186,0.0010,2.9792,0.0008,64.83,0.09
11,3.21,0.01,350,4.9258,0.0018,4.4213,0.0009,2.9805,0.0008,64.91,0.08
12,3.27,0.01,400,4.9282,0.0010,4.4197,0.0007,2.9840,0.0005,64.99,0.05
13,7.69,0.02,300,4.8862,0.0005,4.3618,0.0003,2.9595,0.0003,63.07,0.03
14,7.89,0.02,400,4.8880,0.0010,4.3660,0.0007,2.9618,0.0005,63.21,0.05
15,8.11,0.03,500,4.8895,0.0011,4.3580,0.0007,2.9646,0.0006,63.17,0.06
16,8.35,0.02,300,4.8791,0.0007,4.3563,0.0004,2.9586,0.0003,62.88,0.03
17,8.48,0.02,400,4.8835,0.0010,4.3538,0.0006,2.9603,0.0004,62.94,0.05
18,8.68,0.02,300,4.8780,0.0007,4.3518,0.0010,2.9568,0.0003,62.77,0.05
19,8.71,0.02,500,4.8835,0.0014,4.3512,0.0011,2.9637,0.0008,62.98,0.07
20,8.82,0.02,400,4.8798,0.0016,4.3508,0.0010,2.9584,0.0007,62.81,0.08
21,8.92,0.02,500,4.8833,0.0008,4.3461,0.0005,2.9615,0.0003,62.85,0.04
22,9.07,0.03,600,4.8881,0.0020,4.3522,0.0015,2.9652,0.0008,63.08,0.10
23,9.59,0.01,300,4.8707,0.0011,4.3436,0.0010,2.9529,0.0007,62.47,0.06
24,9.66,0.03,700,4.8878,0.0012,4.3478,0.0009,2.9650,0.0005,63.01,0.06
25,9.73,0.01,400,4.8717,0.0014,4.3412,0.0012,2.9562,0.0009,62.52,0.08
26,9.77,0.01,500,4.8764,0.0008,4.3395,0.0007,2.9578,0.0005,62.59,0.05
27,10.04,0.03,600,4.8802,0.0009,4.3409,0.0008,2.9619,0.0006,62.74,0.05
28,10.12,0.03,700,4.8863,0.0008,4.3475,0.0007,2.9625,0.0005,62.93,0.04
29,10.44,0.01,300,4.8645,0.0007,4.3348,0.0006,2.9491,0.0004,62.19,0.04
30,10.56,0.01,400,4.8660,0.0007,4.3333,0.0006,2.9507,0.0004,62.22,0.04
31,10.68,0.01,500,4.8683,0.0011,4.3297,0.0010,2.9545,0.0007,62.27,0.06
32,10.80,0.02,600,4.8735,0.0009,4.3331,0.0008,2.9575,0.0005,62.45,0.05
33,11.07,0.02,700,4.8779,0.0009,4.3378,0.0008,2.9601,0.0006,62.63,0.05
