pressure_gpa,unit_cell_volume_a3,feo6_volume_a3,o_o_distance_a,o_h_distance_a,o_h_o_angle_deg,lattice_a_a,lattice_b_a,lattice_c_a
0.01,59.88,10.18,2.44,1.35,179.37,4.83,4.24,2.91
4.98,58.19,9.92,2.41,1.29,179.55,4.79,4.22,2.88
10.00,56.76,9.69,2.38,1.19,179.99,4.75,4.18,2.86
15.00,55.64,9.50,2.37,1.19,179.99,4.72,4.16,2.84
20.01,54.35,9.25,2.37,1.18,180.00,4.67,4.08,2.85
30.01,52.64,8.96,2.35,1.18,180.00,4.63,4.04,2.82
40.00,51.17,8.71,2.34,1.17,180.00,4.59,4.00,2.79
49.99,49.88,8.49,2.32,1.16,180.00,4.55,3.98,2.76
59.97,48.73,8.30,2.31,1.16,180.00,4.52,3.95,2.73
69.98,47.70,8.12,2.30,1.15,180.00,4.50,3.93,2.70
80.03,46.76,7.97,2.29,1.14,179.99,4.47,3.91,2.68
90.00,45.90,7.83,2.28,1.14,179.99,4.45,3.89,2.65
100.00,45.10,7.70,2.27,1.13,179.99,4.44,3.87,2.63
110.03,44.36,7.58,2.26,1.13,179.98,4.42,3.86,2.60
120.01,43.67,7.46,2.25,1.12,179.98,4.40,3.85,2.58
130.01,43.02,7.36,2.24,1.12,179.98,4.39,3.83,2.56
139.99,42.40,7.26,2.23,1.12,179.99,4.38,3.82,2.53
