family,material_identifier,record_identifier,formula,model,V0,K0,K0_prime,pressure_min_gpa,pressure_max_gpa,temperature_min_k,temperature_max_k,reference_doi
experimental_fit,aluminum,aluminum_dewaele_2019_mao_vinet,Al,vinet,66.292,76.32,4.16,0.0,155.0,300.0,300.0,10.3390/min9110684
experimental_fit,aluminum,aluminum_dewaele_2019_dor_vinet,Al,vinet,66.336,74.2,4.52,0.0,155.0,300.0,300.0,10.3390/min9110684
experimental_fit,aluminum,aluminum_dewaele_2004_mao_ruby_vinet,Al,vinet,66.292,76.3,4.16,0.0,144.0,300.0,300.0,10.1103/PhysRevB.70.094112
experimental_fit,beryllium_hcp,beryllium_hcp_dewaele_2019_mao_vinet,Be,vinet,16.266,115.2,2.94,0.0,95.0,300.0,300.0,10.3390/min9110684
experimental_fit,beryllium_hcp,beryllium_hcp_dewaele_2019_dor_vinet,Be,vinet,16.268,113.4,3.29,0.0,95.0,300.0,300.0,10.3390/min9110684
experimental_fit,cobalt_hcp,cobalt_hcp_dewaele_2019_mao_vinet,Co,vinet,22.154,197.0,3.85,0.0,66.0,300.0,300.0,10.3390/min9110684
experimental_fit,cobalt_hcp,cobalt_hcp_dewaele_2019_dor_vinet,Co,vinet,22.154,194.85,4.36,0.0,66.0,300.0,300.0,10.3390/min9110684
experimental_fit,copper,copper_dewaele_2019_mao_vinet,Cu,vinet,47.24,135.3,4.91,0.0,155.0,300.0,300.0,10.3390/min9110684
experimental_fit,copper,copper_dewaele_2019_dor_vinet,Cu,vinet,47.24,133.1,5.38,0.0,155.0,300.0,300.0,10.3390/min9110684
experimental_fit,copper,copper_dewaele_2004_mao_ruby_vinet,Cu,vinet,47.24,135.1,4.91,0.0,144.0,300.0,300.0,10.1103/PhysRevB.70.094112
experimental_fit,gold,gold_dewaele_2019_mao_vinet,Au,vinet,67.932,166.4,5.47,0.0,131.0,300.0,300.0,10.3390/min9110684
experimental_fit,gold,gold_dewaele_2019_dor_vinet,Au,vinet,67.944,163.4,6.04,0.0,131.0,300.0,300.0,10.3390/min9110684
experimental_fit,gold,gold_dewaele_2004_mao_ruby_vinet,Au,vinet,67.848,172.5,5.4,0.0,144.0,300.0,300.0,10.1103/PhysRevB.70.094112
experimental_fit,gold,gold_dorfman_2012_tange_mgo_k0_fixed_vinet,Au,vinet,67.85,167.0,5.88,0.0,259.0,300.0,300.0,10.1029/2012JB009292
experimental_fit,gold,gold_dorfman_2012_tange_mgo_k0_free_vinet,Au,vinet,67.85,167.0,5.84,0.0,259.0,300.0,300.0,10.1029/2012JB009292
experimental_fit,iron,iron_dewaele_2019_mao_vinet,Fe,vinet,22.418,164.5,4.96,17.0,204.0,300.0,300.0,10.3390/min9110684
experimental_fit,iron,iron_dewaele_2019_dor_vinet,Fe,vinet,22.354,168.4,5.33,17.0,204.0,300.0,300.0,10.3390/min9110684
thermal_mixed,iron,iron_zhang_2025_fit1_birch_murnaghan_3_mgd,hcp-Fe,birch_murnaghan_3,22.43720387565302,174.7,4.79,0.0,1374.0,300.0,12000.0,10.3390/cryst15030221
thermal_mixed,iron,iron_zhang_2025_fit2_birch_murnaghan_3_mgd,hcp-Fe,birch_murnaghan_3,22.427240641249973,175.1,4.787,0.0,1374.0,300.0,12000.0,10.3390/cryst15030221
thermal_mixed,iron,iron_zhang_2025_fit5_vinet_mgd,hcp-Fe,vinet,22.427240641249973,151.6,5.845,0.0,1374.0,300.0,12000.0,10.3390/cryst15030221
experimental_fit,lead_hcp,lead_hcp_dewaele_2019_mao_vinet,Pb,vinet,56.126,71.8,4.4,13.0,131.0,300.0,300.0,10.3390/min9110684
experimental_fit,lead_hcp,lead_hcp_dewaele_2019_dor_vinet,Pb,vinet,56.116,70.0,4.77,13.0,131.0,300.0,300.0,10.3390/min9110684
experimental_fit,molybdenum,molybdenum_dewaele_2019_mao_vinet,Mo,vinet,31.138,270.3,3.34,0.0,124.0,300.0,300.0,10.3390/min9110684
experimental_fit,molybdenum,molybdenum_dewaele_2019_dor_vinet,Mo,vinet,31.134,269.3,3.87,0.0,124.0,300.0,300.0,10.3390/min9110684
experimental_fit,molybdenum,molybdenum_dorfman_2012_tange_mgo_k0_fixed_vinet,Mo,vinet,31.17,261.0,4.19,0.0,207.0,300.0,300.0,10.1029/2012JB009292
experimental_fit,molybdenum,molybdenum_dorfman_2012_tange_mgo_k0_free_vinet,Mo,vinet,31.17,271.0,3.89,0.0,207.0,300.0,300.0,10.1029/2012JB009292
experimental_fit,nickel,nickel_dewaele_2019_mao_vinet,Ni,vinet,43.816,177.5,4.83,0.0,157.0,300.0,300.0,10.3390/min9110684
experimental_fit,nickel,nickel_dewaele_2019_dor_vinet,Ni,vinet,43.808,176.0,5.322,0.0,157.0,300.0,300.0,10.3390/min9110684
experimental_fit,platinum,platinum_dewaele_2019_mao_vinet,Pt,vinet,60.396,273.4,4.83,0.0,95.0,300.0,300.0,10.3390/min9110684
experimental_fit,platinum,platinum_dewaele_2019_dor_vinet,Pt,vinet,60.392,270.8,5.5,0.0,95.0,300.0,300.0,10.3390/min9110684
experimental_fit,platinum,platinum_dewaele_2004_mao_ruby_vinet,Pt,vinet,60.38,275.3,4.78,0.0,144.0,300.0,300.0,10.1103/PhysRevB.70.094112
experimental_fit,platinum,platinum_dewaele_2004_revised_ruby_vinet,Pt,vinet,60.38,277.0,5.08,0.0,144.0,300.0,300.0,10.1103/PhysRevB.70.094112
experimental_fit,platinum,platinum_dorfman_2012_tange_mgo_k0_fixed_vinet,Pt,vinet,60.38,277.0,5.43,0.0,226.0,300.0,300.0,10.1029/2012JB009292
experimental_fit,platinum,platinum_dorfman_2012_tange_mgo_k0_free_vinet,Pt,vinet,60.38,280.0,5.29,0.0,226.0,300.0,300.0,10.1029/2012JB009292
experimental_fit,rhenium,rhenium_dewaele_2019_mao_vinet,Re,vinet,29.474,350.5,3.98,0.0,144.0,300.0,300.0,10.3390/min9110684
experimental_fit,rhenium,rhenium_dewaele_2019_dor_vinet,Re,vinet,29.468,350.5,4.62,0.0,144.0,300.0,300.0,10.3390/min9110684
experimental_fit,silver,silver_dewaele_2019_mao_vinet,Ag,vinet,68.28,100.2,5.7,0.0,124.0,300.0,300.0,10.3390/min9110684
experimental_fit,silver,silver_dewaele_2019_dor_vinet,Ag,vinet,68.352,96.6,6.22,0.0,124.0,300.0,300.0,10.3390/min9110684
experimental_fit,tantalum,tantalum_dewaele_2019_mao_vinet,Ta,vinet,36.04,197.9,3.17,0.0,90.0,300.0,300.0,10.3390/min9110684
experimental_fit,tantalum,tantalum_dewaele_2019_dor_vinet,Ta,vinet,36.038,196.1,3.64,0.0,90.0,300.0,300.0,10.3390/min9110684
experimental_fit,tantalum,tantalum_dewaele_2004_mao_ruby_vinet,Ta,vinet,36.07,198.2,3.07,0.0,144.0,300.0,300.0,10.1103/PhysRevB.70.094112
experimental_fit,tantalum,tantalum_dewaele_2004_revised_ruby_vinet,Ta,vinet,36.07,194.0,3.52,0.0,144.0,300.0,300.0,10.1103/PhysRevB.70.094112
experimental_fit,tungsten,tungsten_dewaele_2019_mao_vinet,W,vinet,31.724,298.3,3.82,0.0,155.0,300.0,300.0,10.3390/min9110684
experimental_fit,tungsten,tungsten_dewaele_2019_dor_vinet,W,vinet,31.716,298.6,4.37,0.0,155.0,300.0,300.0,10.3390/min9110684
experimental_fit,tungsten,tungsten_dewaele_2004_mao_ruby_vinet,W,vinet,31.724,298.3,3.81,0.0,144.0,300.0,300.0,10.1103/PhysRevB.70.094112
experimental_fit,zinc_hcp,zinc_hcp_dewaele_2019_mao_vinet,Zn,vinet,30.294,64.3,5.3,0.0,157.0,300.0,300.0,10.3390/min9110684
experimental_fit,zinc_hcp,zinc_hcp_dewaele_2019_dor_vinet,Zn,vinet,30.31,62.2,5.705,0.0,157.0,300.0,300.0,10.3390/min9110684
