source_order,run,pressure_gpa,pressure_uncertainty_gpa,temperature_k,lattice_a_angstrom,lattice_a_uncertainty_angstrom,lattice_b_angstrom,lattice_b_uncertainty_angstrom,lattice_c_angstrom,lattice_c_uncertainty_angstrom,volume_a3_conventional_cell,volume_uncertainty_a3,used_in_bm2_fit
1,FMAS_o_11.5GPa,11.5,0.6,293,4.9613,0.0013,6.9397,0.0015,4.7359,0.0006,163.06,0.06,1
2,FMAS_o_15GPa,15.0,0.6,293,4.9429,0.0013,6.9027,0.0015,4.7108,0.0006,160.73,0.06,1
3,FMAS_o_18.3GPa,18.3,0.6,293,4.9196,0.0013,6.8905,0.0015,4.6922,0.0006,159.06,0.06,1
4,FMAS_o_31.6GPa,31.6,0.6,293,4.8714,0.0013,6.7794,0.0015,4.6283,0.0006,152.85,0.06,1
5,FMAS_o_35.7GPa,35.7,0.6,293,4.8524,0.0013,6.7378,0.0015,4.6001,0.0006,150.40,0.06,1
6,FMAS_o_40GPa,40.0,0.6,293,4.8443,0.0013,6.7189,0.0015,4.5876,0.0006,149.32,0.06,1
7,FMAS_o_47.2GPa,47.2,0.6,293,4.8174,0.0013,6.6662,0.0015,4.5535,0.0006,146.23,0.05,1
8,FMAS_o_55.1GPa,55.1,0.6,293,4.8007,0.0013,6.6260,0.0015,4.5223,0.0006,143.85,0.05,1
9,FMAS_o_7.5GPa,7.5,0.6,293,4.9720,0.0013,6.9850,0.0015,4.7880,0.0006,166.28,0.06,0
10,FMAS_o_8.6GPa,8.6,0.6,293,4.9860,0.0013,7.0020,0.0015,4.7759,0.0006,166.74,0.06,0
11,FMAS_o_10.8GPa,10.8,0.6,293,4.9612,0.0013,6.9577,0.0015,4.7474,0.0006,163.87,0.06,1
12,FMAS_o_13.6GPa,13.6,0.6,293,4.9488,0.0013,6.9119,0.0015,4.7309,0.0006,161.82,0.06,1
13,FMAS_o_17.5GPa,17.5,0.6,293,4.9357,0.0013,6.8908,0.0015,4.7124,0.0006,160.27,0.06,1
14,FMAS_o_19.7GPa,19.7,0.6,293,4.9273,0.0013,6.8810,0.0015,4.6974,0.0006,159.26,0.06,1
15,FMAS_o_15.2GPa,15.2,0.6,293,4.9457,0.0013,6.9127,0.0015,4.7194,0.0006,161.35,0.06,1
16,FMAS_o_13.5GPa,13.5,0.6,293,4.9540,0.0013,6.9287,0.0015,4.7335,0.0006,162.48,0.06,1
17,FMAS_o_11GPa,11.0,0.6,293,4.9641,0.0013,6.9542,0.0015,4.7459,0.0006,163.83,0.06,1
18,FMAS_o_60GPa,60.0,0.6,293,4.7835,0.0013,6.6033,0.0015,4.5020,0.0006,142.20,0.05,1
