source_order,sample_number,measurement_sequence,thermal_history,used_in_preferred_sample1_fit,used_in_post_anneal_subset_fit,used_in_cold_compressed_sample2_fit,measured_after_current_step_laser_anneal,pressure_gpa,pressure_uncertainty_gpa,lattice_a_angstrom,lattice_a_uncertainty_angstrom,lattice_b_angstrom,lattice_b_uncertainty_angstrom,lattice_c_angstrom,lattice_c_uncertainty_angstrom,volume_a3_conventional_cell,volume_uncertainty_a3
1,1,1,stepwise_laser_annealed,1,0,0,0,26.8,0.1,4.658036,0.001171,4.897899,0.000554,6.831518,0.003131,155.858292,0.167102
2,1,2,stepwise_laser_annealed,1,1,0,1,29,0.1,4.656580,0.001410,4.890607,0.000665,6.812078,0.003745,155.134875,0.199914
3,1,3,stepwise_laser_annealed,1,0,0,0,32.6,0.1,4.634212,0.002116,4.874389,0.001002,6.793516,0.005653,153.458417,0.300267
4,1,4,stepwise_laser_annealed,1,1,0,1,35.2,0.1,4.623855,0.002761,4.861271,0.001305,6.762995,0.007332,152.017338,0.388885
5,1,5,stepwise_laser_annealed,1,0,0,0,40.8,0.1,4.603010,0.003422,4.843163,0.001621,6.729698,0.009077,150.026010,0.479579
6,1,6,stepwise_laser_annealed,1,1,0,1,43.8,0.1,4.596884,0.001250,4.832249,0.000474,6.705164,0.002643,148.943739,0.145857
7,1,7,stepwise_laser_annealed,1,0,0,0,50.2,0.1,4.566288,0.003679,4.816225,0.001754,6.682958,0.009791,146.973418,0.513592
8,1,8,stepwise_laser_annealed,1,1,0,1,53.2,0.1,4.551468,0.004345,4.808215,0.002080,6.663078,0.011576,145.817723,0.605717
9,1,9,stepwise_laser_annealed,1,0,0,0,58.4,0.1,4.535596,0.003632,4.793685,0.001741,6.633132,0.009654,144.219029,0.503686
10,1,10,stepwise_laser_annealed,1,1,0,1,62.2,0.1,4.522982,0.005828,4.781317,0.002795,6.610184,0.015464,142.950592,0.804891
11,1,11,stepwise_laser_annealed,1,0,0,0,64.8,0.1,4.508302,0.005991,4.772240,0.002884,6.592974,0.015927,141.845862,0.826656
12,1,12,stepwise_laser_annealed,1,1,0,1,68,0.1,4.500844,0.005513,4.765952,0.002656,6.585569,0.014679,141.265764,0.760592
13,1,13,stepwise_laser_annealed,1,0,0,0,71.4,0.1,4.489821,0.005722,4.758103,0.002763,6.570108,0.015242,140.357415,0.788134
14,1,14,stepwise_laser_annealed,1,1,0,1,74.8,0.1,4.479317,0.005000,4.752851,0.002422,6.552191,0.013309,139.493040,0.687140
15,1,15,stepwise_laser_annealed,1,0,0,0,79.2,0.1,4.460763,0.007445,4.741472,0.004538,6.536122,0.010024,138.242795,0.666662
16,1,16,stepwise_laser_annealed,1,1,0,1,82.2,0.1,4.453052,0.004191,4.736062,0.002043,6.510336,0.011149,137.302533,0.573058
17,1,17,stepwise_laser_annealed,1,0,0,0,89.6,0.1,4.428811,0.005421,4.719418,0.003292,6.480105,0.013726,135.443320,0.717449
18,1,18,stepwise_laser_annealed,1,1,0,1,91.8,0.1,4.420797,0.005066,4.715944,0.002489,6.473568,0.013543,134.962456,0.691740
