diffraction_number,pressure_gpa,pressure_gpa_standard_deviation,temperature_k,temperature_k_standard_deviation,unit_cell_volume_a3,unit_cell_volume_a3_standard_deviation,lattice_a_angstrom,lattice_a_angstrom_standard_deviation,lattice_b_angstrom,lattice_b_angstrom_standard_deviation,lattice_c_angstrom,lattice_c_angstrom_standard_deviation,p_wave_velocity_km_s,p_wave_velocity_km_s_standard_deviation,s_wave_velocity_km_s,s_wave_velocity_km_s_standard_deviation
20,4.91,0.43,877,44,304.01,0.18,4.8121,0.0037,10.3853,0.0054,6.0834,0.0036,6.90,0.03,3.47,0.02
22,4.28,0.34,672,34,302.77,0.17,4.8044,0.0037,10.3745,0.0051,6.0744,0.0034,6.95,0.03,3.50,0.02
24,3.69,0.29,471,24,301.60,0.15,4.7980,0.0032,10.3663,0.0045,6.0641,0.0031,7.00,0.03,3.53,0.02
26,3.24,0.24,302,15,300.67,0.16,4.7928,0.0036,10.3569,0.0051,6.0573,0.0031,7.06,0.03,3.58,0.02
28,4.82,0.41,772,39,303.37,0.17,4.8074,0.0034,10.3767,0.0052,6.0814,0.0036,6.96,0.03,3.49,0.02
30,4.12,0.32,571,29,302.39,0.18,4.8014,0.0037,10.3711,0.0056,6.0727,0.0036,7.00,0.03,3.52,0.02
32,3.54,0.27,373,19,301.20,0.19,4.7951,0.0032,10.3588,0.0056,6.0630,0.0040,7.05,0.03,3.56,0.02
34,3.34,0.27,302,15,300.81,0.25,4.7919,0.0043,10.3599,0.0072,6.0597,0.0048,7.05,0.03,3.57,0.02
38,6.76,0.65,874,44,300.49,0.20,4.7930,0.0038,10.3359,0.0061,6.0658,0.0041,7.06,0.04,3.49,0.02
39,6.82,0.64,872,44,300.14,0.18,4.7909,0.0035,10.3328,0.0057,6.0631,0.0039,7.06,0.04,3.49,0.02
42,6.47,0.56,775,39,299.65,0.19,4.7886,0.0039,10.3284,0.0060,6.0588,0.0039,7.08,0.04,3.51,0.02
44,6.08,0.51,672,34,299.29,0.20,4.7863,0.0036,10.3261,0.0062,6.0555,0.0044,7.10,0.04,3.52,0.02
46,5.79,0.46,574,29,298.60,0.19,4.7828,0.0042,10.3194,0.0061,6.0496,0.0037,7.12,0.04,3.53,0.02
48,5.47,0.41,473,24,298.11,0.19,4.7805,0.0045,10.3125,0.0065,6.0459,0.0037,7.15,0.04,3.55,0.02
50,5.18,0.37,373,19,297.54,0.16,4.7788,0.0038,10.3055,0.0054,6.0407,0.0032,7.17,0.04,3.58,0.02
52,4.96,0.34,302,15,297.26,0.17,4.7773,0.0040,10.3042,0.0058,6.0382,0.0033,7.20,0.04,3.59,0.02
56,6.55,0.64,874,44,300.70,0.18,4.7965,0.0038,10.3363,0.0059,6.0651,0.0038,7.07,0.03,3.50,0.02
58,6.17,0.54,774,39,300.28,0.18,4.7932,0.0039,10.3342,0.0055,6.0626,0.0037,7.09,0.03,3.52,0.02
60,5.83,0.49,674,34,299.67,0.17,4.7901,0.0042,10.3292,0.0057,6.0568,0.0032,7.09,0.04,3.52,0.02
62,5.49,0.45,573,29,299.16,0.16,4.7863,0.0037,10.3261,0.0052,6.0535,0.0033,7.13,0.04,3.54,0.02
64,5.12,0.38,472,24,298.64,0.17,4.7842,0.0038,10.3210,0.0054,6.0474,0.0033,7.15,0.04,3.56,0.02
66,4.83,0.37,373,19,298.12,0.17,4.7812,0.0044,10.3180,0.0059,6.0439,0.0031,7.19,0.04,3.59,0.02
68,4.64,0.33,302,15,297.79,0.16,4.7801,0.0037,10.3132,0.0049,6.0403,0.0029,7.21,0.04,3.61,0.02
72,5.96,0.58,873,44,301.76,0.17,4.8018,0.0037,10.3525,0.0053,6.0705,0.0036,7.02,0.03,3.49,0.02
74,5.58,0.51,773,39,301.35,0.20,4.7979,0.0041,10.3534,0.0062,6.0677,0.0042,7.03,0.03,3.50,0.02
76,5.23,0.46,672,34,300.63,0.17,4.7961,0.0041,10.3432,0.0054,6.0611,0.0033,7.03,0.03,3.51,0.02
78,4.89,0.40,573,29,300.26,0.19,4.7919,0.0037,10.3434,0.0058,6.0589,0.0040,7.07,0.03,3.53,0.02
80,4.55,0.34,473,24,299.70,0.17,4.7906,0.0041,10.3357,0.0056,6.0528,0.0030,7.10,0.03,3.55,0.02
82,4.25,0.33,372,19,299.17,0.18,4.7871,0.0042,10.3321,0.0060,6.0490,0.0034,7.13,0.04,3.58,0.02
84,4.03,0.30,301,15,299.11,0.20,4.7873,0.0045,10.3318,0.0064,6.0478,0.0039,7.11,0.04,3.58,0.02
88,5.33,0.48,877,44,303.29,0.19,4.8094,0.0041,10.3724,0.0057,6.0799,0.0038,6.98,0.03,3.49,0.02
90,4.91,0.44,772,39,302.81,0.21,4.8065,0.0044,10.3690,0.0062,6.0764,0.0040,7.00,0.03,3.50,0.02
92,4.57,0.39,672,34,302.37,0.19,4.8043,0.0044,10.3655,0.0059,6.0720,0.0038,6.99,0.03,3.50,0.02
94,4.22,0.33,572,29,301.77,0.21,4.8011,0.0044,10.3615,0.0065,6.0671,0.0043,7.02,0.03,3.52,0.02
96,3.90,0.32,471,24,301.25,0.23,4.7980,0.0047,10.3600,0.0065,6.0620,0.0043,7.06,0.03,3.54,0.02
98,3.60,0.26,372,19,300.85,0.18,4.7958,0.0040,10.3559,0.0052,6.0585,0.0038,7.08,0.03,3.56,0.02
100,3.42,0.24,302,15,300.35,0.19,4.7940,0.0044,10.3478,0.0059,6.0550,0.0036,7.10,0.03,3.58,0.02
104,4.57,0.48,876,44,304.90,0.19,4.8158,0.0037,10.3983,0.0057,6.0900,0.0040,6.91,0.03,3.47,0.02
106,4.20,0.41,773,39,304.36,0.19,4.8128,0.0040,10.3919,0.0057,6.0857,0.0039,6.92,0.03,3.48,0.02
108,3.86,0.34,674,34,303.90,0.17,4.8099,0.0036,10.3919,0.0050,6.0810,0.0036,6.95,0.03,3.50,0.02
110,3.52,0.31,572,29,303.32,0.18,4.8073,0.0040,10.3840,0.0056,6.0764,0.0035,6.97,0.03,3.51,0.02
112,3.23,0.25,472,24,302.59,0.16,4.8025,0.0032,10.3791,0.0047,6.0713,0.0033,6.97,0.03,3.52,0.02
116,2.76,0.20,302,15,301.82,0.18,4.7997,0.0037,10.3720,0.0053,6.0636,0.0036,7.03,0.03,3.57,0.02
120,3.57,0.33,872,44,307.07,0.19,4.8264,0.0038,10.4250,0.0053,6.1035,0.0039,6.81,0.03,3.44,0.02
122,3.22,0.27,773,39,306.48,0.18,4.8230,0.0039,10.4197,0.0051,6.0990,0.0036,6.82,0.03,3.45,0.02
124,2.92,0.22,671,34,305.78,0.18,4.8193,0.0039,10.4139,0.0053,6.0930,0.0035,6.82,0.03,3.46,0.02
126,2.61,0.20,571,29,305.14,0.16,4.8153,0.0033,10.4095,0.0048,6.0880,0.0034,6.86,0.03,3.48,0.02
128,2.31,0.18,472,24,304.59,0.18,4.8116,0.0036,10.4087,0.0053,6.0832,0.0037,6.88,0.03,3.50,0.02
