source_order,run_number,used_in_room_temperature_fit,pressure_gpa,pressure_uncertainty_gpa,lattice_a_angstrom,lattice_a_uncertainty_angstrom,lattice_c_angstrom,lattice_c_uncertainty_angstrom,volume_a3,volume_uncertainty_a3
1,1,1,0.35,0.02,4.7430,0.0005,4.2873,0.0003,83.525,0.017
2,1,1,1.02,0.02,4.7376,0.0004,4.2797,0.0005,83.186,0.015
3,1,1,3.35,0.08,4.7172,0.0004,4.2577,0.0004,82.050,0.015
4,1,1,5.25,0.07,4.7020,0.0006,4.2408,0.0005,81.196,0.016
5,1,1,7.56,0.08,4.6850,0.0004,4.2215,0.0003,80.247,0.016
6,1,1,10.66,0.08,4.6653,0.0004,4.2000,0.0003,79.165,0.016
7,1,1,13.64,0.16,4.6435,0.0004,4.1774,0.0003,78.007,0.012
8,1,1,16.44,0.04,4.6263,0.0006,4.1604,0.0004,77.112,0.016
9,1,1,18.36,0.09,4.6148,0.0004,4.1482,0.0003,76.506,0.011
10,1,1,19.16,0.08,4.6088,0.0004,4.1427,0.0003,76.205,0.012
11,1,1,21.41,0.08,4.5958,0.0004,4.1294,0.0003,75.535,0.011
12,1,1,24.66,0.23,4.5779,0.0005,4.1120,0.0003,74.631,0.013
13,1,1,27.66,0.11,4.5617,0.0005,4.0964,0.0004,73.821,0.014
14,1,1,30.50,0.12,4.5481,0.0007,4.0835,0.0004,73.152,0.017
15,1,1,32.79,0.09,4.5346,0.0006,4.0717,0.0004,72.509,0.015
16,1,1,35.32,0.10,4.5234,0.0007,4.0595,0.0005,71.935,0.017
17,1,1,37.92,0.09,4.5101,0.0007,4.0475,0.0005,71.302,0.018
18,2,1,5.84,0.02,4.6985,0.0002,4.2356,0.0013,80.98,0.02
19,2,1,9.23,0.02,4.6715,0.0002,4.2093,0.0013,79.55,0.02
20,2,1,23.07,0.04,4.5852,0.0003,4.1200,0.0020,75.01,0.04
21,2,1,33.30,0.05,4.5295,0.0005,4.0715,0.0018,72.36,0.03
22,2,0,40.75,0.05,4.4912,0.0006,4.0300,0.0020,70.43,0.04
23,2,0,42.42,0.05,4.4840,0.0007,4.0215,0.0020,70.05,0.04
24,2,0,45.96,0.05,4.4677,0.0006,4.0060,0.0020,69.27,0.03
25,2,0,49.41,0.08,4.4509,0.0006,3.9890,0.0020,68.47,0.04
26,2,0,52.41,0.05,4.4372,0.0006,3.9780,0.0030,67.91,0.05
