pressure_gpa,molar_volume_cm3_per_mol,volume_a3_conventional_cell,pressure_error_gpa,molar_volume_error_cm3_per_mol,volume_error_a3_conventional_cell,pressure_digitization_uncertainty_gpa,molar_volume_digitization_uncertainty_cm3_per_mol
23.4493,8.979106,59.640628,0.4690,0.050000,0.332108,0.3,0.015
32.1359,8.665863,57.560017,0.6427,0.050000,0.332108,0.3,0.015
40.0590,8.421858,55.939296,0.8012,0.050000,0.332108,0.3,0.015
51.2774,8.107072,53.848437,1.0255,0.050000,0.332108,0.3,0.015
56.0540,7.979653,53.002101,1.1211,0.050000,0.332108,0.3,0.015
60.4948,7.869110,52.267856,1.2099,0.050000,0.332108,0.3,0.015
65.3163,7.778560,51.666411,1.3063,0.050000,0.332108,0.3,0.015
67.0325,7.789232,51.737295,1.3406,0.050000,0.332108,0.3,0.015
71.3303,7.686371,51.054077,1.4266,0.050000,0.332108,0.3,0.015
75.0075,7.632658,50.697309,1.5001,0.050000,0.332108,0.3,0.015
77.3953,7.578946,50.340542,1.5479,0.050000,0.332108,0.3,0.015
78.0120,7.578946,50.340542,1.5602,0.050000,0.332108,0.3,0.015
82.9775,7.523594,49.972885,1.6596,0.050000,0.332108,0.3,0.015
88.5167,7.463806,49.575765,1.7703,0.050000,0.332108,0.3,0.015
