source_row,run_id,iron_molar_volume_cm3_mol,iron_molar_volume_uncertainty_cm3_mol,iron_phase,feo_molar_volume_cm3_mol,feo_molar_volume_uncertainty_cm3_mol,nacl_molar_volume_cm3_mol,nacl_molar_volume_uncertainty_cm3_mol,nacl_phase,delta_feo_fe_molar_volume_cm3_mol,delta_feo_fe_molar_volume_uncertainty_cm3_mol,sample_temperature_k,sample_temperature_uncertainty_k,nacl_temperature_k,nacl_temperature_uncertainty_k,reported_pressure_gpa,reported_pressure_uncertainty_gpa
1,FeFeO_030,6.587451822821,0.00681782279841863,fcc,11.4433538834759,0.00753181967685835,19.622625925424,0.0597349721593328,B1,4.85590206065487,0.0101592822263853,1812.08,62.309601186334,1468,391,19.9741252379723,1.19723798548939
2,FeFeO_028,6.54784425704416,0.0191042088366086,fcc,11.4316673987468,0.0111815313721346,19.5741772851064,0.0149377750266677,B1,4.88382314170261,0.0221358857762409,1653.485,42.6791544550733,1345.375,350.125,19.8045351237323,1.04368867750188
3,FeFeO_021,6.57461729745113,0.00623946082275384,fcc,11.3907835678606,0.0079025303695704,19.5468954563167,0.02848172098364,B1,4.8161662704095,0.0100688061656118,1572.975,42.4555723668872,1283.125,329.375,19.7547186522249,0.988112993346833
4,FeFeO_033,6.51072416272596,0.00908312725581594,fcc,11.389072985244,0.00835960729706174,19.6465315061853,0.019389157012429,B1,4.87834882251801,0.0123444819618498,1475.49,52.6970596902711,1207.75,304.25,19.0572197601149,0.907322951860361
5,T0691.023,7.21306770586662,0.00198111519689085,fcc,12.2881012492229,0.00237123642289366,25.5031337625908,0.0691375329052745,B1,5.0750335433563,0.00308991579118418,1273,5,1273,5,4.40702753099139,0.0859210090007983
6,T0691.033,7.08095005593536,0.00938730640521685,fcc,12.107619179795,0.00850070660472053,23.8289405768947,0.0998212939068523,B1,5.02666912385968,0.012664262091609,1273,5,1273,5,6.88420826806315,0.177258259048081
7,T0691.051,6.89146801694935,0.00272593310240179,fcc,11.9040316196133,0.0408080002040559,22.2724109239687,0.00543123466862237,B1,5.01256360266395,0.0408989436530211,1273,5,1273,5,10.1786091993957,0.0201319097801606
8,T0691.042,6.97592227322308,0.0025386017969314,fcc,11.9702342769748,0.0176292197690921,22.7315750033182,0.0996979283168934,B1,4.99431200375168,0.0178110608541527,1273,5,1273,5,9.08432605161026,0.225967088448674
9,T0691.024,7.1206745029265,0.0139462164111516,fcc,12.2378873664715,0.00534230792281801,25.3614294742191,0.0154232738001068,B1,5.11721286354497,0.014934430224447,1073,5,1073,5,3.9954833425198,0.0243769843885321
10,T0691.034,7.01513142658719,0.0253476031387161,fcc,12.0655918585617,0.0104704552148059,23.6013312289085,0.10504994474396,B1,5.05046043197456,0.0274250144445378,1073,5,1073,5,6.70709117993003,0.195942334227753
11,T0691.043,6.91062100235056,0.0056435515075141,fcc,11.9456708105906,0.0232476638745296,22.6880888466851,0.11980235811777,B1,5.03504980824,0.0239228666601868,1073,5,1073,5,8.59157948187823,0.273843401878287
12,T0691.052,6.83739276501357,0.000580166412101682,fcc,11.8594357202249,0.037559294035583,22.2448171096665,0.0234140973238329,B1,5.02204295521128,0.0375637745909155,1073,5,1073,5,9.65582885235768,0.0609130367869059
13,T0691.035,6.91362739956969,0.00471030724248684,fcc,12.0080649410017,0.00300998309712356,23.513753455602,0.109520135692115,B1,5.09443754143206,0.0055899009439876,873,5,873,5,6.28240221568665,0.208092599462811
14,T0691.044,6.84521917210402,0.00745280218865395,fcc,11.8981498806126,0.0206043505338548,22.5890203449682,0.106695089918606,B1,5.05293070850856,0.0219108083234089,873,5,873,5,8.22985586623152,0.24933500703208
15,T0691.053,6.78734788680044,0.012832835311121,fcc,11.797720727629,0.0165421122922453,22.1517500133161,0.0413768557784744,B1,5.01037284082851,0.0209361682552373,873,5,873,5,9.30223232637767,0.10761916303146
16,FeFeO_094,5.74690855162241,0.00150893854870864,hcp,9.97841909746225,0.00593436153724315,14.7039989141398,0.0596544006937507,B2,4.23151054583984,0.00612319707330164,2096.29,56.9877539476684,1687.75,464.25,57.5614962915957,2.20703402945413
17,FeFeO_095,5.74434863304744,0.00150850604220488,hcp,9.97059955482068,0.00767647758609678,14.7536438928796,0.0471203124518845,B2,4.22625092177324,0.00782329205700611,2006.565,53.2199607760096,1618.375,441.125,56.4737630900587,2.03819899329447
18,FeFeO_093,5.74956506163894,0.00150971445821394,hcp,9.96879780312488,0.00679524427659337,14.7833026895602,0.0680291140251341,B2,4.21923274148594,0.00696093259009992,1941.575,54.8963170440422,1568.125,424.375,55.9507104077153,2.08435583932684
19,FeFeO_076,5.8832795743292,0.00275732891605554,hcp,10.2554726660679,0.00768514181798835,15.3524907229197,0.0137322454648507,B2,4.3721930917387,0.00816481889045369,1751.455,46.4898056029491,1421.125,375.375,47.593716643029,1.60939384860619
20,FeFeO_092,5.75467701681666,0.00151146240848187,hcp,9.94877171031648,0.00422887930227674,14.7010394597511,0.0367151587798987,B2,4.19409469349982,0.00449087282891404,1731.57,49.5784721426548,1405.75,370.25,56.2736741898665,1.6958961219935
21,FeFeO_075,5.85442109865287,0.0020082448477734,hcp,10.2373115857036,0.0136599863484092,15.2958512010017,0.0308379154408953,B2,4.38289048705069,0.0138068198513392,1670.46,47.8920828530144,1358.5,354.5,48.0540324358088,1.55873444235962
22,FeFeO_040,6.01206060985047,0.00317865656047746,hcp,10.6974399619606,0.0115918124176365,16.4265763657067,0.0229494743564445,B2,4.6853793521101,0.0120197326365913,1655.91,42.5155042308097,1347.25,350.75,36.0207077276771,1.46275364756018
