source_row,phase,pressure_gpa,pressure_uncertainty_gpa,temperature_k,feo_volume_a3_per_formula_unit,feo_volume_uncertainty_a3_per_formula_unit,b8_c_over_a,b8_c_over_a_uncertainty,iron_hcp_unit_cell_volume_a3,iron_hcp_unit_cell_volume_uncertainty_a3
1,B1,183.0,3.2,2920,12.58,0.03,,,15.482,
2,B1,192.3,3.9,3400,12.53,0.06,,,15.410,
3,B1,193.5,3.9,3400,12.57,0.01,,,15.388,
4,B1,199.2,3.9,3390,12.38,0.00,,,15.284,0.051
5,B1,199.9,4.0,3420,12.38,0.00,,,15.277,0.053
6,B1,203.8,3.8,3290,12.35,0.02,,,15.186,0.033
7,B1,205.4,4.4,3700,12.34,0.02,,,15.239,0.002
8,B1,207.1,4.2,3560,12.36,0.04,,,15.182,0.008
9,B1,207.3,4.6,3800,12.35,0.01,,,15.227,0.018
10,B1,208.0,4.1,3490,12.28,0.04,,,15.153,0.016
11,B1,208.1,4.3,3600,12.31,0.02,,,15.173,0.005
12,B1,208.4,4.5,3730,12.36,0.05,,,15.193,0.001
13,B8,177.2,,300,12.26,0.02,2.020,0.001,15.150,
14,B8,185.1,2.7,2520,12.32,0.11,2.016,0.007,15.365,
15,B8,187.2,0.2,300,12.20,0.09,2.017,0.005,14.984,0.002
16,B8,187.6,2.7,2510,12.29,0.01,2.024,0.000,15.319,
17,B8,187.6,3.1,2840,12.36,0.05,2.017,0.003,15.381,
18,B8,190.4,3.3,3000,12.35,0.09,2.019,0.005,15.363,
19,B8,191.9,3.2,2930,12.33,0.06,2.020,0.003,15.323,
20,B8,199.5,3.1,2840,12.25,0.06,2.029,0.003,15.174,
