source_row,feo_unit_cell_volume_a3,feo_unit_cell_volume_uncertainty_a3,iron_unit_cell_volume_a3,iron_unit_cell_volume_uncertainty_a3,iron_phase,temperature_k,source_series_pressure_gpa,source_series_pressure_uncertainty_gpa,pressure_recalculation_status
1,76.275,0.027,44.073,0.044,fcc,1640,,,requires_campbell_2009_fcc_fe
2,76.579,0.035,43.902,0.284,fcc,1820,,,requires_campbell_2009_fcc_fe
3,76.750,0.043,44.251,0.079,fcc,1840,,,requires_campbell_2009_fcc_fe
4,76.915,0.024,44.196,0.029,fcc,2010,,,requires_campbell_2009_fcc_fe
5,76.903,0.044,44.190,0.067,fcc,1910,,,requires_campbell_2009_fcc_fe
6,76.784,0.033,45.161,,fcc,1990,,,requires_campbell_2009_fcc_fe
7,76.422,0.017,44.149,0.082,fcc,1720,,,requires_campbell_2009_fcc_fe
8,76.653,0.015,44.384,0.012,fcc,2000,,,requires_campbell_2009_fcc_fe
9,76.740,0.032,44.258,0.075,fcc,1910,,,requires_campbell_2009_fcc_fe
10,77.040,0.050,44.333,0.274,fcc,2160,,,requires_campbell_2009_fcc_fe
11,73.347,0.016,42.028,0.051,fcc,1650,,,requires_campbell_2009_fcc_fe
12,73.520,0.008,42.680,0.069,fcc,1880,,,requires_campbell_2009_fcc_fe
13,73.595,0.013,42.692,0.069,fcc,1970,,,requires_campbell_2009_fcc_fe
14,73.982,0.064,42.996,0.096,fcc,2050,,,requires_campbell_2009_fcc_fe
15,67.687,0.002,19.232,0.023,hcp,2230,,,ready_dewaele_2006_hcp_fe
16,67.626,0.026,19.215,0.013,hcp,2120,,,ready_dewaele_2006_hcp_fe
17,67.526,0.015,19.135,0.015,hcp,2030,,,ready_dewaele_2006_hcp_fe
18,67.617,0.068,19.182,0.104,hcp,2130,,,ready_dewaele_2006_hcp_fe
19,67.650,0.015,19.409,0.056,hcp,2160,,,ready_dewaele_2006_hcp_fe
20,67.572,0.041,19.223,0.011,hcp,2090,,,ready_dewaele_2006_hcp_fe
21,67.513,0.025,19.271,0.049,hcp,2000,,,ready_dewaele_2006_hcp_fe
22,67.542,0.025,19.275,0.006,hcp,2050,,,ready_dewaele_2006_hcp_fe
23,67.259,0.034,19.076,0.005,hcp,1660,,,ready_dewaele_2006_hcp_fe
24,67.294,0.023,19.103,0.004,hcp,1770,,,ready_dewaele_2006_hcp_fe
25,67.359,0.022,19.111,0.007,hcp,1890,,,ready_dewaele_2006_hcp_fe
26,67.412,0.033,19.198,0.013,hcp,2030,,,ready_dewaele_2006_hcp_fe
27,67.461,0.006,19.301,0.224,hcp,2150,,,ready_dewaele_2006_hcp_fe
28,67.466,0.025,19.247,0.004,hcp,2160,,,ready_dewaele_2006_hcp_fe
29,63.155,0.044,18.214,0.018,hcp,1720,,,ready_dewaele_2006_hcp_fe
30,63.221,0.020,18.250,0.015,hcp,1790,,,ready_dewaele_2006_hcp_fe
31,63.238,0.026,18.309,0.006,hcp,1890,,,ready_dewaele_2006_hcp_fe
32,63.309,0.034,18.347,0.027,hcp,2060,,,ready_dewaele_2006_hcp_fe
33,63.375,0.029,18.363,,hcp,2030,,,ready_dewaele_2006_hcp_fe
34,63.393,0.018,18.441,,hcp,1990,,,ready_dewaele_2006_hcp_fe
35,63.414,0.032,18.398,,hcp,2150,,,ready_dewaele_2006_hcp_fe
36,63.494,0.026,18.574,,hcp,2280,,,ready_dewaele_2006_hcp_fe
37,59.894,0.010,17.570,0.009,hcp,2040,,,ready_dewaele_2006_hcp_fe
38,59.941,0.015,17.619,0.003,hcp,2180,,,ready_dewaele_2006_hcp_fe
39,59.937,0.006,17.625,0.015,hcp,2210,,,ready_dewaele_2006_hcp_fe
40,59.992,0.032,17.653,0.009,hcp,2310,,,ready_dewaele_2006_hcp_fe
41,60.461,0.091,17.631,0.004,hcp,1560,,,ready_dewaele_2006_hcp_fe
42,60.485,0.054,17.674,0.002,hcp,1670,,,ready_dewaele_2006_hcp_fe
43,60.573,0.026,17.735,0.009,hcp,1850,,,ready_dewaele_2006_hcp_fe
44,60.591,0.027,17.753,0.012,hcp,2010,,,ready_dewaele_2006_hcp_fe
45,60.617,0.007,17.805,0.015,hcp,2100,,,ready_dewaele_2006_hcp_fe
46,60.674,0.008,17.748,0.084,hcp,2340,,,ready_dewaele_2006_hcp_fe
47,60.705,0.036,17.966,0.049,hcp,2460,,,ready_dewaele_2006_hcp_fe
48,60.669,0.046,17.506,0.146,hcp,2140,,,ready_dewaele_2006_hcp_fe
49,60.676,0.048,17.729,0.133,hcp,2210,,,ready_dewaele_2006_hcp_fe
50,60.754,0.057,17.550,0.104,hcp,2510,,,ready_dewaele_2006_hcp_fe
51,68.373,0.044,19.371,0.004,hcp,2340,,,ready_dewaele_2006_hcp_fe
52,68.280,0.077,19.336,0.007,hcp,1950,,,ready_dewaele_2006_hcp_fe
53,68.146,0.094,19.457,0.174,hcp,2300,,,ready_dewaele_2006_hcp_fe
54,67.687,0.011,19.145,0.062,hcp,1770,,,ready_dewaele_2006_hcp_fe
55,67.725,0.018,19.157,0.027,hcp,1680,,,ready_dewaele_2006_hcp_fe
56,67.802,0.021,19.171,0.013,hcp,1800,,,ready_dewaele_2006_hcp_fe
57,67.937,0.019,19.210,0.010,hcp,1960,,,ready_dewaele_2006_hcp_fe
58,67.958,0.028,19.216,0.019,hcp,1880,,,ready_dewaele_2006_hcp_fe
59,68.175,0.011,19.255,0.016,hcp,2230,,,ready_dewaele_2006_hcp_fe
60,68.249,0.028,19.367,0.016,hcp,2420,,,ready_dewaele_2006_hcp_fe
61,68.480,0.040,,,,2580,50,4,ready_seagle_table1_series_pressure
62,68.404,0.045,,,,2590,50,4,ready_seagle_table1_series_pressure
63,67.580,0.018,19.315,0.003,hcp,1350,,,ready_dewaele_2006_hcp_fe
64,67.660,0.023,19.294,0.020,hcp,1400,,,ready_dewaele_2006_hcp_fe
65,67.678,0.026,19.328,0.008,hcp,1470,,,ready_dewaele_2006_hcp_fe
66,67.681,0.030,19.424,0.008,hcp,1510,,,ready_dewaele_2006_hcp_fe
67,67.778,0.011,19.434,0.009,hcp,1550,,,ready_dewaele_2006_hcp_fe
68,67.807,0.035,19.446,0.012,hcp,1580,,,ready_dewaele_2006_hcp_fe
69,67.872,0.027,19.419,0.012,hcp,1650,,,ready_dewaele_2006_hcp_fe
70,67.905,0.024,19.523,0.013,hcp,1680,,,ready_dewaele_2006_hcp_fe
71,67.952,0.026,19.503,0.009,hcp,1780,,,ready_dewaele_2006_hcp_fe
72,68.008,0.031,19.539,0.016,hcp,1870,,,ready_dewaele_2006_hcp_fe
73,68.040,0.039,19.404,0.038,hcp,1950,,,ready_dewaele_2006_hcp_fe
74,68.078,0.035,19.568,0.023,hcp,1830,,,ready_dewaele_2006_hcp_fe
75,68.106,0.025,19.564,0.003,hcp,1900,,,ready_dewaele_2006_hcp_fe
76,68.151,0.049,19.469,0.153,hcp,1870,,,ready_dewaele_2006_hcp_fe
77,68.164,0.032,19.529,0.003,hcp,1910,,,ready_dewaele_2006_hcp_fe
78,68.192,0.036,19.678,0.003,hcp,1860,,,ready_dewaele_2006_hcp_fe
79,68.199,0.070,19.554,0.020,hcp,1880,,,ready_dewaele_2006_hcp_fe
80,68.234,0.053,19.727,0.121,hcp,1980,,,ready_dewaele_2006_hcp_fe
81,68.240,0.066,19.247,0.044,hcp,1940,,,ready_dewaele_2006_hcp_fe
