source_row,pressure_gpa,pressure_sd_gpa,quartz_volume_a3,quartz_volume_sd_a3,lattice_a_angstrom,lattice_a_sd_angstrom,volume_ratio,volume_ratio_sd
1,0.0001,,113.012,0.007,4.24204,0.00006,1.00000,
2,1.239,0.005,109.630,0.009,4.23125,0.00005,0.99239,0.00006
3,2.648,0.004,106.472,0.005,4.21955,0.00006,0.98418,0.00006
4,3.531,0.004,104.766,0.005,4.21248,0.00005,0.97924,0.00006
5,4.035,0.004,103.866,0.006,4.20841,0.00006,0.97641,0.00006
6,5.299,0.004,101.803,0.005,4.19879,0.00005,0.96972,0.00005
7,6.484,0.005,100.081,0.005,4.19004,0.00006,0.96367,0.00006
8,7.179,0.009,99.149,0.011,4.18507,0.00005,0.96025,0.00005
9,8.102,0.006,97.988,0.006,4.17868,0.00007,0.95586,0.00006
10,9.292,0.008,96.605,0.008,4.17061,0.00007,0.95033,0.00006
