source_order,temperature_series_order,temperature_k,temperature_standard_deviation_k,pressure_gpa,pressure_standard_deviation_gpa,volume_a3_conventional_cell,volume_standard_deviation_a3,reconstructed_low_spin_fraction_unclipped,inferred_spin_regime,used_in_diagnostic_high_spin_refit,used_in_diagnostic_low_spin_refit
1,1,300,,0.0,0.0,76.34,0.10,0.00000000,high_spin,1,0
2,2,300,,7.6,1.1,73.11,0.05,0.00773607,high_spin,1,0
3,3,300,,9.9,1.1,72.29,0.07,-0.01058130,high_spin,1,0
4,4,300,,12.3,1.1,71.40,0.04,0.01789096,high_spin,1,0
5,5,300,,19.6,1.2,69.13,0.02,0.00046390,high_spin,1,0
6,6,300,,22.3,1.3,68.44,0.03,-0.04835878,high_spin,1,0
7,7,300,,23.9,1.3,67.96,0.04,-0.02140062,high_spin,1,0
8,8,300,,27.0,1.4,67.10,0.07,0.01002834,high_spin,1,0
9,9,300,,30.9,1.4,66.18,0.02,-0.01621475,high_spin,1,0
10,10,300,,35.0,1.4,65.21,0.05,0.00043090,high_spin,1,0
11,11,300,,40.2,1.6,64.09,0.00,0.00360256,high_spin,1,0
12,12,300,,40.3,1.4,64.15,0.07,-0.05269894,high_spin,1,0
13,13,300,,43.5,1.6,63.47,0.03,-0.02840353,high_spin,1,0
14,14,300,,45.2,1.5,63.15,0.05,-0.03641803,high_spin,1,0
15,15,300,,46.4,1.5,62.91,0.03,-0.02869902,high_spin,1,0
16,16,300,,48.5,1.6,62.54,0.04,-0.04495188,high_spin,1,0
17,17,300,,49.7,1.5,62.33,0.04,-0.05190453,high_spin,1,0
18,18,300,,49.8,1.5,62.29,0.03,-0.03593194,high_spin,1,0
19,19,300,,50.8,1.5,62.09,0.05,-0.02129511,high_spin,1,0
20,20,300,,52.4,1.8,61.77,0.07,0.00588717,high_spin,1,0
21,21,300,,52.9,1.7,61.67,0.04,0.01532116,high_spin,1,0
22,22,300,,53.7,1.9,61.57,0.06,-0.01326769,high_spin,1,0
23,23,300,,53.8,1.6,61.47,0.04,0.04829255,high_spin,1,0
24,24,300,,54.6,1.6,61.38,0.04,0.01338598,high_spin,1,0
25,25,300,,55.2,1.6,61.17,0.05,0.09431882,mixed_spin_crossover,0,0
26,26,300,,56.6,1.6,60.87,0.04,0.14391411,mixed_spin_crossover,0,0
27,27,300,,56.9,1.6,60.66,0.02,0.26479423,mixed_spin_crossover,0,0
28,28,300,,58.0,1.6,60.42,0.06,0.31056176,mixed_spin_crossover,0,0
29,29,300,,60.1,1.7,60.00,0.03,0.37478888,mixed_spin_crossover,0,0
30,30,300,,60.2,1.8,59.91,0.03,0.43148361,mixed_spin_crossover,0,0
31,31,300,,63.9,1.5,59.02,0.01,0.67978956,mixed_spin_crossover,0,0
32,32,300,,66.9,2.2,58.34,0.03,0.86686380,mixed_spin_crossover,0,0
33,33,300,,70.9,2.3,57.72,0.05,0.91201507,mixed_spin_crossover,0,0
34,34,300,,76.1,1.4,57.01,0.03,0.92236778,mixed_spin_crossover,0,0
35,35,300,,79.2,1.8,56.58,0.05,0.94801102,mixed_spin_crossover,0,0
36,36,300,,81.5,1.8,56.27,0.07,0.96621438,low_spin,0,1
37,37,300,,81.9,2.1,56.20,0.04,0.98321122,low_spin,0,1
38,38,300,,82.8,1.8,56.08,0.07,0.99113978,low_spin,0,1
39,39,300,,86.5,1.9,55.62,0.02,1.00432154,low_spin,0,1
40,40,300,,87.0,1.9,55.61,0.04,0.96334541,low_spin,0,1
41,41,300,,89.6,1.8,55.24,0.06,1.02062751,low_spin,0,1
42,42,300,,91.9,2.0,55.02,0.04,0.98561832,low_spin,0,1
43,43,300,,94.9,1.8,54.67,0.05,1.00004560,low_spin,0,1
44,44,300,,95.5,2.5,54.59,0.03,1.01244324,low_spin,0,1
45,45,300,,98.9,2.4,54.23,0.04,1.00783868,low_spin,0,1
46,46,300,,99.7,1.8,54.24,0.04,0.92561211,low_spin,0,0
