source_order,temperature_k,volume_a3,volume_uncertainty_a3,gold_volume_ratio,gold_volume_ratio_uncertainty,pressure_gpa,pressure_uncertainty_gpa,calculated_pressure_gpa,pressure_residual_gpa,used_in_published_fit
1,300,76.368,0.013,1.0,,0.0,,0.01,-0.01,1
2,300,72.587,0.017,0.9544,0.0004,8.96,0.09,9.06,-0.10,1
3,300,71.114,0.022,0.9375,0.0004,13.05,0.10,13.27,-0.22,1
4,300,69.433,0.022,0.9165,0.0002,18.85,0.06,18.64,0.21,1
5,300,68.036,0.017,0.9006,0.0002,23.83,0.08,23.62,0.21,1
6,300,66.873,0.029,0.8876,0.0002,28.32,0.08,28.15,0.17,1
7,300,65.986,0.016,0.8783,0.0004,31.78,0.13,31.87,-0.09,1
8,300,65.301,0.022,0.8706,0.0002,34.79,0.07,34.91,-0.12,1
9,300,64.714,0.012,0.8638,0.0002,37.59,0.09,37.64,-0.05,1
10,300,64.213,0.030,0.8582,0.0002,40.01,0.08,40.06,-0.05,1
11,300,63.411,0.019,0.8489,0.0005,44.23,0.24,44.13,0.10,1
12,300,62.649,0.028,0.8409,0.0001,48.08,0.07,48.23,-0.15,0
13,300,61.745,0.024,0.8325,0.0004,52.35,0.19,53.39,-1.04,0
14,300,60.997,0.055,0.8273,0.0001,55.09,0.07,57.94,-2.85,0
15,700,72.939,0.020,0.9580,0.0003,10.94,0.05,10.81,0.13,1
16,700,71.472,0.017,0.9403,0.0003,15.12,0.08,14.91,0.21,1
17,700,69.720,0.011,0.9202,0.0005,20.51,0.13,20.39,0.12,1
18,700,68.253,0.019,0.9029,0.0002,25.78,0.07,25.52,0.26,1
19,700,67.091,0.023,0.8900,0.0004,30.14,0.12,29.99,0.15,1
20,700,66.143,0.022,0.8796,0.0002,33.92,0.08,33.91,0.01,1
21,700,65.539,0.021,0.8729,0.0002,36.52,0.09,36.56,-0.04,1
22,700,64.865,0.016,0.8651,0.0002,39.67,0.09,39.65,0.02,1
23,700,64.346,0.021,0.8596,0.0003,42.01,0.10,42.13,-0.12,1
24,700,63.561,0.024,0.8502,0.0004,46.21,0.19,46.07,0.14,1
25,700,62.772,0.029,0.8417,0.0005,50.28,0.22,50.27,0.01,0
26,700,61.984,0.015,0.8337,0.0001,54.28,0.07,54.71,-0.43,0
27,700,61.160,0.064,0.8269,0.0004,57.85,0.21,59.65,-1.80,0
28,1100,73.421,0.019,0.9651,0.0004,12.27,0.08,12.38,-0.11,1
29,1100,71.707,0.018,0.9449,0.0001,16.80,0.02,17.07,-0.27,1
30,1100,69.992,0.014,0.9362,0.0005,22.46,0.08,22.35,0.11,1
31,1100,68.543,0.011,0.9062,0.0005,27.45,0.14,27.34,0.11,1
32,1100,67.364,0.016,0.8934,0.0002,31.64,0.07,31.79,-0.15,1
33,1100,66.503,0.014,0.8831,0.0001,35.29,0.05,35.28,0.01,1
34,1100,65.704,0.025,0.8741,0.0004,38.72,0.15,38.72,0.00,1
35,1100,65.177,0.010,0.8681,0.0002,41.10,0.09,41.10,0.00,1
36,1100,64.586,0.013,0.8620,0.0005,43.63,0.18,43.88,-0.25,1
37,1100,63.868,0.031,0.8533,0.0002,47.43,0.06,47.42,0.01,0
38,1100,62.980,0.023,0.8447,0.0003,51.42,0.12,52.07,-0.65,0
39,1100,62.110,0.037,0.8364,0.0002,55.52,0.08,56.92,-1.40,0
