source_row,pressure_gpa,pressure_uncertainty_gpa,upstream_temperature_k,downstream_temperature_k,mean_measured_temperature_k,temperature_k,temperature_uncertainty_k,kbr_temperature_k,kbr_temperature_uncertainty_k,kbr_a_angstrom,kbr_a_uncertainty_angstrom,d03_molar_atomic_volume_cm3_mol,d03_molar_atomic_volume_uncertainty_cm3_mol,b2_molar_atomic_volume_cm3_mol,b2_molar_atomic_volume_uncertainty_cm3_mol,hcp_molar_atomic_volume_cm3_mol,hcp_molar_atomic_volume_uncertainty_cm3_mol,hcp_a_angstrom,hcp_a_uncertainty_angstrom,hcp_c_angstrom,hcp_c_uncertainty_angstrom,hcp_c_over_a,hcp_c_over_a_uncertainty,phase,d03_volume_a3
4,0.0,0.0,300.0,300.0,300.0,300.0,0.0,300.0,0.0,,,6.799456088159677,0.0042359832200640464,,,,,,,,,,,D03,180.65219951875525
5,3.4941361449386488,0.08436790142854235,300.0,300.0,300.0,300.0,0.0,300.0,0.0,3.8155029025505023,0.0029822149064894256,6.668200516809253,0.011535017611901807,,,,,,,,,,,D03,177.1649194545696
6,5.694653262057152,0.04097417350264119,300.0,300.0,300.0,300.0,0.0,300.0,0.0,3.7466129338743186,0.0011420848948442332,6.595238692866706,0.011202009589233525,,,,,,,,,,,D03,175.22642410946784
7,6.998977010219529,0.17880929683717958,300.0,300.0,300.0,300.0,0.0,300.0,0.0,3.712345124730312,0.004433486078912618,6.54788872469953,0.015325840502377494,,,,,,,,,,,D03,173.9684005579313
8,10.678929160213444,0.045066523973393974,300.0,300.0,300.0,300.0,0.0,300.0,0.0,3.6328609457302856,0.0008534385823101533,6.4676616479637135,0.009535963658013085,,,,,,,,,,,D03,171.83687743529165
9,11.513234353989278,0.08299950322775398,300.0,300.0,300.0,300.0,0.0,300.0,0.0,3.617468378284249,0.001492215223432643,6.449416324123744,0.010136392384079713,,,,,,,,,,,D03,171.35212426681954
10,11.768824501468488,0.0733110406328197,300.0,300.0,300.0,300.0,0.0,300.0,0.0,3.6129084704240926,0.0012979149263061594,6.467563380388665,0.020184880839934884,,,,,,,,,,,D03,171.83426660093318
11,12.366733378378003,0.11597768177410275,300.0,300.0,300.0,300.0,0.0,300.0,0.0,3.6025074731464857,0.0019825477731159826,6.425637077153862,0.007830395914654406,,,,,,,,,,,D03,170.72034236951612
12,12.591881897913924,0.18362541684841555,300.0,300.0,300.0,300.0,0.0,300.0,0.0,3.598683479623187,0.0030987452435993134,6.428108426275811,0.007828850147446099,,,,,,,,,,,D03,170.78600271776605
13,13.957810917303934,0.12424394042960489,300.0,300.0,300.0,300.0,0.0,300.0,0.0,3.5764839251330907,0.0019456395679241737,6.397381331696272,0.009578496382508994,,,,,,,,,,,D03,169.96962606224494
14,16.59858035033175,0.1089138826203991,300.0,300.0,300.0,300.0,0.0,300.0,0.0,3.5377648340190975,0.0014973023817192806,6.336360073544335,0.006881739524320477,,,,,,,,,,,D03,168.34837513281468
15,17.7175615283135,0.07976786424568072,300.0,300.0,300.0,300.0,0.0,300.0,0.0,3.5227661230565745,0.0010426934872684646,6.321079119587673,0.01014780811659342,,,,,,,,,,,D03,167.94238119635511
16,18.104144501169,0.10685341554804029,300.0,300.0,300.0,300.0,0.0,300.0,0.0,3.5177553030046758,0.0013734162671258203,6.295818953653396,0.013657200856093892,,,,,,,,,,,D03,167.27125331832053
17,19.588334258555676,0.16480606813633386,300.0,300.0,300.0,300.0,0.0,300.0,0.0,3.4992652749207376,0.001990652421898124,6.255449153245902,0.016850900152938133,,,,,,,,,,,D03,166.19868322695007
18,21.25017070990122,0.19746914656121559,300.0,300.0,300.0,300.0,0.0,300.0,0.0,3.4798405767789466,0.002234407009042704,6.219678949341975,0.01605693990198503,,,,,,,,,,,D03,165.24831809057815
19,22.342556366755574,0.12056412748152427,300.0,300.0,300.0,300.0,0.0,300.0,0.0,3.4677299462933338,0.0013097726114980762,6.211238872195915,0.007011234967934579,,,,,,,,,,,D03,165.02407684528225
20,23.987092319215293,0.3070941131454054,300.0,300.0,300.0,300.0,0.0,300.0,0.0,3.450380395206565,0.0031470573548144395,6.183512940038768,0.02446969409191583,,,,,,,,,,,D03,164.2874369489502
21,24.755922754294602,0.29364889260013133,300.0,300.0,300.0,300.0,0.0,300.0,0.0,3.442604156878672,0.002931551095611686,6.143713216780522,0.01824564391749908,,,,,,,,,,,D03,163.23001302362178
22,25.762233544364424,0.4092479808428456,300.0,300.0,300.0,300.0,0.0,300.0,0.0,3.432724085937531,0.003951958903328803,6.120757826608654,0.022452957757471307,,,,,,,,,,,D03,162.62011986870007
23,26.91466141962832,0.3956114460082974,300.0,300.0,300.0,300.0,0.0,300.0,0.0,3.4217989496896997,0.0036822807467424648,6.094659299010019,0.020103600525172346,,,,,,,,,,,D03,161.9267178739281
24,26.956128137881905,0.24860627843516078,300.0,300.0,300.0,300.0,0.0,300.0,0.0,3.4214132355467584,0.0023109784613392264,6.118590797067741,0.021652668835187183,,,,,,,,,,,D03,162.5625448733016
25,27.910138378904925,0.49197908021826925,300.0,300.0,300.0,300.0,0.0,300.0,0.0,3.412674899225288,0.00444063140329205,6.072206766384089,0.02237868126718908,,,,,,,,,,,D03,161.3301849526105
26,28.75757451485507,0.5712003233956569,300.0,300.0,300.0,300.0,0.0,300.0,0.0,3.4051228220692638,0.005026109507426746,6.044144905534186,0.018959258980292208,,,,,,,,,,,D03,160.5846198927887
27,31.623019432562554,0.6788789890943979,300.0,300.0,300.0,300.0,0.0,300.0,0.0,3.3809241038867905,0.0055053127778611766,5.993430442249819,0.021883879578377737,,,,,,,,,,,D03,159.2372063319176
28,31.89136746008472,1.1869536152459736,300.0,300.0,300.0,300.0,0.0,300.0,0.0,3.3787559132179292,0.009555295179134195,6.016041145714019,0.018516501217875094,,,,,,,,,,,D03,159.837941634935
29,33.981094119402414,1.1322021440052867,300.0,300.0,300.0,300.0,0.0,300.0,0.0,3.362393664612977,0.008624354039746075,5.9974721810849685,0.01755896954864882,,,,,,,,,,,D03,159.34458977567888
30,35.19326658859819,1.2899758286556016,300.0,300.0,300.0,300.0,0.0,300.0,0.0,3.353301358694067,0.009528639161010244,5.958668570947549,0.01472340256468656,,,,,,,,,,,D03,158.31363120638977
