phase,gold_lattice_a_angstrom,pressure_gpa,lattice_a_angstrom,lattice_a_standard_deviation_angstrom,lattice_b_angstrom,lattice_b_standard_deviation_angstrom,lattice_c_angstrom,lattice_c_standard_deviation_angstrom,alpha_deg,alpha_standard_deviation_deg,beta_deg,beta_standard_deviation_deg,gamma_deg,gamma_standard_deviation_deg,unit_cell_volume_a3,unit_cell_volume_standard_deviation_a3,used_in_forsterite_i_eos_fit
forsterite_I,,0,4.7543,0.0005,10.201,0.002,5.9819,0.0008,,,,,,,290.1,0.1,yes
forsterite_I,4.0317,6.4,4.7102,0.0005,10.004,0.005,5.898,0.001,,,,,,,277.9,0.2,yes
forsterite_I,4.0130,9.4,4.6881,0.0005,9.920,0.004,5.8581,0.0006,,,,,,,272.4,0.2,yes
forsterite_I,3.9720,16.7,4.6465,0.0004,9.749,0.004,5.7740,0.0006,,,,,,,261.6,0.2,yes
forsterite_I,3.9499,21.2,4.6242,0.0005,9.646,0.004,5.7320,0.0006,,,,,,,255.7,0.2,yes
forsterite_I,3.9343,24.6,4.6092,0.0005,9.579,0.004,5.7016,0.0006,,,,,,,251.7,0.2,yes
forsterite_I,3.9206,27.8,4.5956,0.0006,9.519,0.005,5.6755,0.0007,,,,,,,248.3,0.2,yes
forsterite_I,3.9038,32.0,4.5772,0.0005,9.469,0.004,5.6352,0.0006,,,,,,,244.2,0.2,yes
forsterite_I,3.8937,34.7,4.5671,0.0004,9.424,0.004,5.6190,0.0006,,,,,,,241.8,0.2,yes
forsterite_I,3.8809,38.2,4.5514,0.0004,9.363,0.004,5.5924,0.0006,,,,,,,238.3,0.2,yes
forsterite_I,3.8730,40.5,4.5441,0.0005,9.335,0.004,5.5782,0.0006,,,,,,,236.6,0.2,yes
forsterite_I,3.8647,43.0,4.5320,0.0005,9.303,0.005,5.5603,0.0007,,,,,,,234.4,0.2,yes
forsterite_I,3.8569,45.3,4.5232,0.0005,9.274,0.005,5.5467,0.0007,,,,,,,232.7,0.2,yes
forsterite_I,3.8484,48.0,4.5125,0.0005,9.236,0.005,5.5337,0.0007,,,,,,,230.6,0.2,yes
forsterite_II,3.8353,52.4,4.683,0.002,9.21,0.03,5.317,0.006,93.0,0.2,106.94,0.05,97.8,0.1,216.4,0.7,no
forsterite_III,3.8186,58.2,2.640,0.002,8.596,0.008,9.04,0.04,,,,,,,205,1,no
forsterite_III,3.8082,62.1,2.630,0.002,8.566,0.009,8.93,0.04,,,,,,,201,1,no
forsterite_III,3.8013,64.7,2.623,0.002,8.554,0.009,8.80,0.04,,,,,,,197,1,no
forsterite_III,3.7957,66.9,2.622,0.002,8.55,0.01,8.79,0.06,,,,,,,197,2,no
forsterite_III,3.7850,71.2,2.612,0.002,8.52,0.01,8.76,0.06,,,,,,,195,2,no
forsterite_III,3.7774,74.4,2.606,0.003,8.49,0.02,8.7,0.1,,,,,,,193,3,no
forsterite_III,3.7679,78.5,2.597,0.003,8.45,0.02,8.71,0.09,,,,,,,191,3,no
forsterite_III,3.7618,81.2,2.591,0.003,8.43,0.02,8.70,0.09,,,,,,,190,3,no
forsterite_III,3.7525,85.5,2.584,0.003,8.40,0.02,8.67,0.09,,,,,,,188,3,no
forsterite_III,3.7433,89.9,2.574,0.003,8.37,0.02,8.7,0.1,,,,,,,187,3,no
