file,pressure_gpa,pressure_95ci_gpa,temperature_celsius,temperature_95ci_celsius,lattice_a_angstrom,lattice_a_95ci_angstrom,lattice_b_angstrom,lattice_b_95ci_angstrom,lattice_c_angstrom,lattice_c_95ci_angstrom,cell_volume_a3,cell_volume_95ci_a3
1,0,,23.0,0.5,4.6068,0.0005,9.960,0.001,3.0242,0.0003,138.75,0.02
2,0.41,0.02,23.0,0.5,4.6026,0.0004,9.9562,0.0009,3.0203,0.0002,138.40,0.02
3,0.60,0.02,23.0,0.5,4.6026,0.0004,9.958,0.001,3.0196,0.0003,138.39,0.02
4,0.97,0.01,23.0,0.5,4.5939,0.0004,9.9473,0.0008,3.0165,0.0002,137.85,0.02
5,1.71,0.02,23.0,0.5,4.5817,0.0004,9.936,0.001,3.0118,0.0003,137.11,0.02
6,2.20,0.02,23.0,0.5,4.5755,0.0005,9.931,0.001,3.0094,0.0004,136.75,0.03
7,3.03,0.02,23.0,0.5,4.5675,0.0006,9.923,0.001,3.0058,0.0004,136.24,0.03
8,4.19,0.02,23.0,0.5,4.5451,0.0006,9.902,0.002,2.9986,0.0004,134.96,0.03
9,5.54,0.02,23.0,0.5,4.5226,0.0005,9.881,0.001,2.9934,0.0003,133.77,0.03
10,6.97,0.03,23.0,0.5,4.5181,0.0005,9.876,0.001,2.9881,0.0004,133.33,0.03
11,7.32,0.04,23.0,0.5,4.5080,0.0007,9.867,0.002,2.9846,0.0005,132.76,0.04
12,9.34,0.02,23.0,0.5,4.5018,0.0002,9.874,0.004,2.987,0.001,132.76,0.09
13,9.96,0.03,23.0,0.5,4.489,0.001,9.857,0.004,2.99,0.01,132.4,0.5
14,10.34,0.01,23.0,0.5,4.496,0.002,9.868,0.005,2.984,0.001,132.4,0.1
15,11.24,0.03,23.0,0.5,4.484,0.002,9.849,0.005,2.980,0.001,131.6,0.1
16,11.78,0.01,23.0,0.5,4.480,0.002,9.838,0.007,2.972,0.002,131.0,0.1
17,12.44,0.05,23.0,0.5,4.475,0.003,9.813,0.009,2.969,0.002,130.4,0.2
18,13.54,0.03,23.0,0.5,4.468,0.004,9.79,0.05,2.966,0.003,129.8,0.7
19,15.20,0.02,23.0,0.5,4.431,0.003,9.80,0.02,2.965,0.002,128.8,0.3
20,18.39,0.02,23.0,0.5,4.417,0.004,9.73,0.01,2.946,0.003,126.7,0.2
21,21.73,0.02,23.0,0.5,4.375,0.004,9.67,0.01,2.948,0.003,124.7,0.2
22,24.62,0.02,23.0,0.5,4.370,0.009,9.63,0.02,2.927,0.008,123.1,0.5
23,29.41,0.07,23.0,0.5,4.334,0.008,9.47,0.03,2.912,0.007,119.5,0.5
24,24.97,0.03,23.0,0.5,4.38,0.02,9.55,0.05,2.91,0.02,122,1
25,19.07,0.03,23.0,0.5,4.412,0.009,9.66,0.02,2.939,0.007,125.2,0.5
26,12.99,0.03,23.0,0.5,4.455,0.008,9.75,0.02,2.957,0.005,128.4,0.4
27,4.53,0.02,23.0,0.5,4.561,0.004,9.919,0.009,3.010,0.002,136.2,0.2
28,9.69,0.03,100,10,4.528,0.003,9.89,0.01,2.969,0.005,132.9,0.3
29,9.88,0.02,100,10,4.476,0.002,9.840,0.005,2.983,0.001,131.4,0.1
30,10.03,0.02,100,10,4.487,0.001,9.839,0.004,2.980,0.001,131.53,0.08
31,8.25,0.02,100,10,4.496,0.002,9.847,0.004,2.987,0.001,132.23,0.09
32,6.66,0.01,100,10,4.159,0.002,9.875,0.004,2.990,0.001,122.80,0.08
33,5.65,0.01,100,10,4.523,0.001,9.888,0.003,2.997,0.009,134.0,0.4
34,5.55,0.01,100,10,4.518,0.002,9.889,0.004,2.996,0.001,133.84,0.08
35,7.50,0.02,100,10,4.501,0.001,9.870,0.003,2.9874,0.0009,132.73,0.07
36,10.19,0.02,100,10,4.470,0.002,9.842,0.004,2.977,0.001,131.00,0.08
37,13.67,0.02,100,10,4.434,0.002,9.793,0.005,2.965,0.001,128.7,0.1
38,15.75,0.02,100,10,4.408,0.002,9.749,0.006,2.958,0.001,127.1,0.1
39,18.36,0.02,150,15,4.356,0.003,9.749,0.006,2.946,0.002,125.1,0.1
40,15.81,0.03,150,15,4.365,0.004,9.83,0.01,2.947,0.003,126.4,0.2
41,13.54,0.02,150,15,4.401,0.003,9.809,0.007,2.958,0.002,127.7,0.1
42,11.04,0.02,150,15,4.431,0.003,9.877,0.007,2.968,0.002,129.9,0.1
43,8.60,0.02,150,15,4.438,0.004,9.93,0.01,2.966,0.003,130.6,0.2
