temperature_k,elastic_series,cp_printed_0p1_j_g_k,cp_reconstructed_0p1_j_g_k,volume_expansivity_1e6_k_inverse,c11_prime_gpa,c44_gpa,c_prime_gpa,cp_source,expansivity_source,elastic_source
0,neighbours_alers,0.0000,0.0000,0.00,231.09,45.44,15.98,hultgren_1963,white_collins_1972_smoothed,neighbours_alers_1958
10,neighbours_alers,0.0219,0.0219,0.67,231.06,45.42,15.97,hultgren_1963,white_collins_1972_smoothed,neighbours_alers_1958
25,neighbours_alers,0.2657,0.2657,8.45,230.89,45.33,15.95,hultgren_1963,white_collins_1972_smoothed,neighbours_alers_1958
50,neighbours_alers,0.7268,0.7268,23.10,230.32,45.10,15.85,hultgren_1963,white_collins_1972_smoothed,neighbours_alers_1958
75,neighbours_alers,0.9691,0.9691,31.35,229.35,44.77,15.72,hultgren_1963,white_collins_1972_smoothed,neighbours_alers_1958
100,neighbours_alers,1.0881,1.0881,35.55,228.27,44.46,15.59,hultgren_1963,white_collins_1972_smoothed,neighbours_alers_1958
125,neighbours_alers,1.1500,1.1500,37.74,227.21,44.15,15.47,hultgren_1963,white_collins_1972_smoothed,neighbours_alers_1958
150,neighbours_alers,1.1923,1.1923,39.30,226.12,43.84,15.35,hultgren_1963,white_collins_1972_smoothed,neighbours_alers_1958
175,neighbours_alers,1.2260,1.2260,40.29,225.07,43.52,15.22,hultgren_1963,white_collins_1972_smoothed,neighbours_alers_1958
200,neighbours_alers,1.2390,1.2390,40.95,223.97,43.20,15.10,hultgren_1963,white_collins_1972_smoothed,neighbours_alers_1958
225,neighbours_alers,1.2525,1.2525,41.55,222.90,42.90,14.97,hultgren_1963,white_collins_1972_smoothed,neighbours_alers_1958
250,neighbours_alers,1.2645,1.2645,42.00,221.82,42.57,14.85,hultgren_1963,aip_handbook_touloukian_quadratic,neighbours_alers_1958
275,neighbours_alers,1.2775,1.2775,42.38,220.76,42.26,14.72,hultgren_1963,aip_handbook_touloukian_quadratic,neighbours_alers_1958
300,neighbours_alers,1.1288,1.2888,42.78,219.69,41.95,14.60,hultgren_1963,aip_handbook_touloukian_quadratic,neighbours_alers_1958
300,chang_himmel,,,,220.0,42.4,14.85,,,chang_himmel_1966
350,chang_himmel,1.2997,1.2997,43.46,218.0,41.7,14.60,barin_knacke_1973_equation4,aip_handbook_touloukian_quadratic,chang_himmel_1966
400,chang_himmel,1.3113,1.3113,44.17,215.5,41.0,14.35,barin_knacke_1973_equation4,aip_handbook_touloukian_quadratic,chang_himmel_1966
450,chang_himmel,1.3233,1.3233,44.93,213.5,40.3,14.10,barin_knacke_1973_equation4,aip_handbook_touloukian_quadratic,chang_himmel_1966
500,chang_himmel,1.3356,1.3356,45.72,211.5,39.7,13.85,barin_knacke_1973_equation4,aip_handbook_touloukian_quadratic,chang_himmel_1966
550,chang_himmel,1.3481,1.3481,46.56,209.0,39.0,13.50,barin_knacke_1973_equation4,aip_handbook_touloukian_quadratic,chang_himmel_1966
