property,low_temperature_coefficient_1e3,low_temperature_uncertainty_1e3,high_temperature_coefficient_1e3,high_temperature_uncertainty_1e3,coefficient_unit
dC11_prime_dT_at_P,-42.9,0.4,-43.7,0.4,GPa K^-1
dC44_dT_at_P,-12.6,0.1,-13.5,0.1,GPa K^-1
dC_prime_dT_at_P,-5.0,0.05,-5.0,0.05,GPa K^-1
dKs_dT_at_P,-28.7,0.6,-28.2,0.6,GPa K^-1
dKt_dT_at_P,-51.0,0.1,-50.0,1.0,GPa K^-1
dmu_V_dT_at_P,-9.54,0.15,-10.13,0.15,GPa K^-1
dmu_R_dT_at_P,-7.83,0.12,-8.06,0.12,GPa K^-1
dmu_H_dT_at_P,-8.66,0.13,-9.09,0.13,GPa K^-1
dvp_dT_at_P,-0.246,0.004,-0.250,0.004,km s^-1 K^-1
dvs_dT_at_P,-0.161,0.002,-0.175,0.002,km s^-1 K^-1
