temperature_k,elastic_series,ks_ambient_pressure_gpa,kt_ambient_pressure_gpa,kt_constant_v_kprime_6p39_gpa,kt_constant_v_kprime_6p12_gpa,kt_constant_v_kprime_5p5_gpa,kt_constant_v_kprime_5p21_gpa,mu_voigt_gpa,mu_reuss_gpa,mu_hill_gpa,compressional_velocity_km_s,shear_velocity_km_s
0,neighbours_alers,180.32,180.32,180.32,180.32,180.32,180.32,33.66,26.16,29.91,3.361,1.238
10,neighbours_alers,180.31,180.32,180.32,180.32,180.32,180.32,33.64,26.14,29.89,3.361,1.238
25,neighbours_alers,180.24,180.13,180.14,180.14,180.14,180.14,33.58,26.10,29.84,3.360,1.237
50,neighbours_alers,179.94,179.33,179.59,179.58,179.55,179.54,33.40,25.95,29.67,3.357,1.234
75,neighbours_alers,179.34,178.09,179.01,178.97,178.88,178.84,33.15,25.74,29.45,3.351,1.230
100,neighbours_alers,178.61,176.73,178.53,178.46,178.28,178.20,32.91,25.54,29.23,3.345,1.226
125,neighbours_alers,177.90,175.41,178.23,178.11,177.83,177.71,32.68,25.35,29.01,3.338,1.222
150,neighbours_alers,177.16,174.07,177.94,177.78,177.40,177.23,32.44,25.16,28.80,3.332,1.218
175,neighbours_alers,176.48,172.81,177.77,177.56,177.08,176.85,32.20,24.96,28.58,3.326,1.214
200,neighbours_alers,175.74,171.53,177.60,177.35,176.76,176.48,31.96,24.77,28.36,3.320,1.210
225,neighbours_alers,175.01,170.24,177.43,177.13,176.43,176.10,31.73,24.57,28.15,3.314,1.206
250,neighbours_alers,174.30,168.99,177.31,176.96,176.15,175.78,31.48,24.37,27.93,3.308,1.202
275,neighbours_alers,173.59,167.76,177.22,176.82,175.91,175.48,31.24,24.17,27.71,3.302,1.198
300,neighbours_alers,172.87,166.51,177.11,176.66,175.63,175.15,31.01,23.98,27.50,3.295,1.194
300,chang_himmel,172.6,166.38,,,,,31.38,24.34,27.86,3.297,1.202
350,chang_himmel,171.4,163.94,176.85,176.30,175.06,174.47,30.86,23.93,27.40,3.286,1.193
400,chang_himmel,169.7,161.22,176.37,175.73,174.26,173.58,30.34,23.52,26.93,3.272,1.184
450,chang_himmel,168.5,158.91,176.34,175.60,173.91,173.12,29.82,23.12,26.47,3.261,1.175
500,chang_himmel,167.2,156.49,176.20,175.37,173.45,172.56,29.36,22.73,26.05,3.249,1.167
550,chang_himmel,165.5,153.71,175.70,174.77,172.64,171.64,28.84,22.32,25.58,3.234,1.158
