temperature_k,gamma,q_kprime_6p39,q_kprime_6p12,q_kprime_5p5,q_kprime_5p21,delta_s,delta_t,thermal_pressure_gpa
0,,,,,,,,0.000
10,2.853,,,,,,,0.001
25,2.942,,,,,,,0.013
50,2.935,1.67,1.95,2.60,2.89,4.091,9.954,0.084
75,2.980,,,,,,,0.205
100,3.000,2.08,2.35,3.00,3.28,4.410,8.429,0.354
125,3.004,,,,,,,0.515
150,3.008,1.78,2.06,2.70,2.98,4.164,7.66,0.683
175,3.015,,,,,,,0.856
200,2.998,1.63,1.90,2.54,2.82,4.031,7.32,1.031
225,3.000,,,,,,,1.207
250,2.994,1.40,1.68,2.31,2.59,3.825,6.994,1.384
275,2.981,,,,,,,1.562
300,2.974,1.51,1.79,2.40,2.68,3.921,7.061,1.739
350,2.977,1.55,1.82,2.44,2.72,3.892,7.098,2.096
400,2.976,1.43,1.69,2.31,2.59,3.730,7.000,2.452
450,2.985,1.46,1.72,2.34,2.62,3.695,7.026,2.808
500,2.993,1.43,1.69,2.31,2.59,3.663,7.050,3.166
550,2.995,1.39,1.65,2.27,2.55,3.627,7.091,3.533
