compression,temperature_k,pressure_this_study_gpa,pressure_heinz_jeanloz_gpa
0.00,300,0.00,0.00
0.00,500,1.43,1.43
0.00,1000,5.00,5.02
0.00,1500,8.57,8.62
0.00,2000,12.14,12.22
0.00,2500,15.71,15.82
0.00,3000,19.28,19.42
0.02,300,3.56,3.56
0.02,500,4.94,4.96
0.02,1000,8.39,8.50
0.02,1500,11.85,12.05
0.02,2000,15.30,15.60
0.02,2500,18.76,19.15
0.02,3000,22.21,22.70
0.04,300,7.61,7.61
0.04,500,8.94,8.99
0.04,1000,12.28,12.48
0.04,1500,15.61,15.98
0.04,2000,18.95,19.47
0.04,2500,22.28,22.97
0.04,3000,25.62,26.47
0.06,300,12.22,12.22
0.06,500,13.50,13.58
0.06,1000,16.72,17.01
0.06,1500,19.93,20.46
0.06,2000,23.15,23.90
0.06,2500,26.36,27.35
0.06,3000,29.57,30.80
0.08,300,17.46,17.46
0.08,500,18.70,18.80
0.08,1000,21.79,22.18
0.08,1500,24.88,25.58
0.08,2000,27.97,28.97
0.08,2500,31.06,32.37
0.08,3000,34.15,35.76
0.10,300,23.44,23.44
0.10,500,24.62,24.75
0.10,1000,27.59,28.08
0.10,1500,30.55,31.42
0.10,2000,33.51,34.77
0.10,2500,36.48,38.11
0.10,3000,39.44,41.45
0.12,300,30.24,30.24
0.12,500,31.37,31.54
0.12,1000,34.21,34.81
0.12,1500,37.04,38.10
0.12,2000,39.88,41.39
0.12,2500,42.71,44.68
0.12,3000,45.55,47.97
0.14,300,38.00,38.00
0.14,500,39.08,39.27
0.14,1000,41.78,42.49
0.14,1500,44.48,45.73
0.14,2000,47.19,48.97
0.14,2500,49.89,52.20
0.14,3000,52.59,55.44
0.16,300,46.85,46.85
0.16,500,47.88,48.10
0.16,1000,50.44,51.27
0.16,1500,53.01,54.45
0.16,2000,55.58,57.63
0.16,2500,58.15,60.82
0.16,3000,60.71,64.01
0.18,300,56.96,56.97
0.18,500,57.93,58.19
0.18,1000,60.36,61.31
0.18,1500,62.79,64.43
0.18,2000,65.22,67.56
0.18,2500,67.65,70.70
0.18,3000,70.08,73.83
0.20,300,68.53,68.54
0.20,500,69.44,69.74
0.20,1000,71.73,72.80
0.20,1500,74.02,75.87
0.20,2000,76.30,78.95
0.20,2500,78.59,82.03
0.20,3000,80.88,85.11
0.22,300,81.78,81.79
0.22,500,82.64,82.97
0.22,1000,84.78,85.97
0.22,1500,86.92,88.99
0.22,2000,89.06,92.02
0.22,2500,91.20,95.04
0.22,3000,93.34,98.07
0.24,300,96.99,97.00
0.24,500,97.79,98.16
0.24,1000,99.78,101.11
0.24,1500,101.77,104.07
0.24,2000,103.76,107.04
0.24,2500,105.75,110.01
0.24,3000,107.75,112.98
0.26,300,114.47,114.49
0.26,500,115.21,115.62
0.26,1000,117.05,118.52
0.26,1500,118.89,121.43
0.26,2000,120.72,124.34
0.26,2500,122.56,127.25
0.26,3000,124.40,130.17
0.28,300,134.62,134.64
0.28,500,135.29,135.75
0.28,1000,136.97,138.59
0.28,1500,138.65,141.44
0.28,2000,140.33,144.50
0.28,2500,142.01,147.16
0.28,3000,143.70,150.02
0.30,300,157.88,157.90
0.30,500,158.49,158.99
0.30,1000,160.00,161.77
0.30,1500,161.52,164.57
0.30,2000,163.04,167.37
0.30,2500,164.56,170.17
0.30,3000,166.08,172.98
0.32,300,184.81,184.84
0.32,500,185.35,185.90
0.32,1000,186.70,188.63
0.32,1500,188.05,191.37
0.32,2000,189.40,194.11
0.32,2500,190.76,196.86
0.32,3000,192.11,199.61
0.34,300,216.06,216.10
0.34,500,216.54,217.14
0.34,1000,217.72,219.81
0.34,1500,218.90,222.49
0.34,2000,220.08,225.18
0.34,2500,221.26,227.87
0.34,3000,222.44,230.56
