ruby_pressure_classical_gpa,ruby_pressure_revised_gpa,atomic_volume_a3,atomic_volume_uncertainty_a3
2.27,2.27,16.716,0.01
3.43,3.44,16.642,0.01
4.99,5.0,16.494,0.01
6.74,6.76,16.373,0.01
7.84,7.87,16.276,0.01
9.24,9.28,16.17,0.01
10.59,10.6,16.084,0.01
12.04,12.1,15.979,0.01
13.49,13.6,15.88,0.01
15.04,15.2,15.79,0.01
16.14,16.3,15.714,0.01
17.39,17.5,15.642,0.01
19.14,19.3,15.532,0.01
20.79,21.0,15.44,0.01
22.39,22.6,15.361,0.01
23.99,24.3,15.263,0.01
26.24,26.6,15.157,0.01
27.89,28.3,15.087,0.01
30.05,30.5,14.961,0.01
1.14,1.14,16.852,0.01
0.0,0.0,16.966,0.01
52.5,53.8,14.079,0.01
58.7,60.3,13.881,0.01
65.5,67.4,13.679,0.01
70.0,72.2,13.542,0.01
78.0,80.7,13.339,0.01
90.0,93.6,13.03,0.01
31.0,31.5,14.903,0.01
36.2,36.8,14.709,0.01
39.5,40.2,14.564,0.01
45.3,46.2,14.332,0.01
50.2,51.4,14.159,0.01
55.3,56.8,13.99,0.01
66.5,68.5,13.635,0.01
74.1,76.6,13.43,0.01
79.9,82.8,13.278,0.01
85.7,89.0,13.16,0.01
