run,temperature_k,mgo_a_angstrom,mgo_a_angstrom_uncertainty,pressure_gpa,pressure_gpa_uncertainty,gold_a_angstrom,gold_a_angstrom_uncertainty,gold_anderson_pressure_gpa,gold_anderson_pressure_gpa_uncertainty,gold_shim_pressure_gpa,gold_fei_pressure_gpa,volume_a3,volume_uncertainty_a3,mgo_volume_a3,mgo_volume_uncertainty_a3
s456003,1273,4.1337,0.001,16.14,0.15,4.0152,0.0004,15.33,0.06,15.76,15.86,64.732375991808,0.019346197247999998,70.634498259753,0.051262427070000005
s701014,1473,4.2011,0.001,8.64,0.11,4.0779,0.00030000000000000003,8.45,0.04,8.46,8.46,67.81249364913899,0.014966341569000001,74.14622724733101,0.05294772363000001
s456004,1473,4.149,0.0007,15.28,0.1,4.0281,0.0009000000000000001,14.78,0.13,15.22,15.32,65.358297508041,0.043809091947000015,71.421719949,0.03614982209999999
s454003,1473,4.0991,0.0011,22.88,0.18,3.9861,0.0017000000000000001,21.3,0.3,22.01,22.18,63.335115834381,0.081033865371,68.875622962271,0.055448648673000006
s453001,1473,4.0968,0.0012000000000000001,23.25,0.19,3.9838,0.0004,21.69,0.07,22.42,22.61,63.225545028472,0.019044794928,68.759749919232,0.060421572864
s457002,1473,4.0963,0.00030000000000000003,23.34,0.07,3.9799,0.0002,22.36,0.04,23.11,23.31,63.04003999939901,0.009503762406000002,68.73457733634702,0.015101706321000004
s451011,1473,4.0889,0.0008,24.58,0.13,3.9743,0.0004,23.36,0.07,24.14,24.33,62.774308905407,0.018954072588000002,68.36274111536899,0.04012584770399999
s693017,1673,4.1235,0.0001,20.36,0.02,4.0036,0.001,19.73,0.16,20.48,20.65,64.17295556665599,0.04808643887999999,70.112910652875,0.005100975674999999
s453003,1673,4.1071,0.0013000000000000002,22.94,0.2,3.992,0.0008,21.59,0.14,22.42,22.62,63.616767488,0.038246553600000004,69.279673400911,0.065786254599
s454006,1673,4.1046,0.0011,23.34,0.17,3.9911,0.0008,21.74,0.13,22.58,22.77,63.57374981503099,0.038229310104000006,69.15323836533598,0.055597545828
s460005,1673,4.1041,0.0018000000000000002,23.43,0.25,3.9902,0.0012000000000000001,21.89,0.2,22.73,22.93,63.53075153880801,0.057318105744000016,69.12796983192099,0.09095563877400001
s695007,1673,4.0972,0.0009000000000000001,24.56,0.15,3.9823,0.0007,23.22,0.13,24.11,24.33,63.154153934766995,0.033303297908999996,68.77989241004799,0.045325029168000006
s456005,1873,4.1674,0.0001,15.45,0.02,4.0513,0.0006000000000000001,14.41,0.08,14.77,14.84,66.49411528569702,0.02954345704200001,72.376164130024,0.005210166828
s693019,1873,4.1299,0.0004,20.74,0.06,4.0114,0.001,19.85,0.16,20.65,20.83,64.54876100154401,0.04827398988,70.439880053899,0.020467288812
s455007,1873,4.1208,0.0015,22.13,0.22,4.005,0.00030000000000000003,20.83,0.05,21.68,21.87,64.24030012499999,0.014436022500000001,69.975274470912,0.07641446688
s457010,1873,4.119,0.0038,22.41,0.59,4.0013,0.0009000000000000001,21.39,0.15,22.29,22.49,64.06242028219698,0.043228084563,69.88361715899998,0.1934142354
s696009,1873,4.1174,0.001,22.66,0.15,4.0044,0.0015,20.91,0.23,21.78,21.97,64.21143240518401,0.07215848712000002,69.80221121602399,0.05085894828000001
s454008,1873,4.1164,0.0007,22.82,0.11,4.0031,0.0001,21.11,0.02,21.99,22.19,64.148915349791,0.004807442883,69.75136461894398,0.035583972815999995
s453004,1873,4.1161,0.0024000000000000002,22.87,0.36,4.0005,0.001,21.51,0.16,22.42,22.62,64.02400300012499,0.04801200074999999,69.73611545628101,0.12198441031200002
s451013,1873,4.0995,0.0027,25.56,0.43,3.983,0.0006000000000000001,24.35,0.1,25.42,25.67,63.187463087000005,0.028555720200000006,68.895788074875,0.136127792025
s454009,2023,4.1244,0.0006000000000000001,22.6,0.09,4.0101,0.0014,21.03,0.22,21.93,22.13,64.48602515030102,0.06753978844200001,70.15882945478398,0.030619215648
s700010,2023,4.1218,0.001,23.0,0.15,4.0058,0.0022,21.68,0.34,22.63,22.83,64.27880387511199,0.105906462024,70.02622981223202,0.05096770572000001
s693021,2073,4.1411,0.0005,20.43,0.07,4.0211,0.001,19.77,0.16,20.57,20.74,65.01815191393098,0.048507735629999986,71.01451970953099,0.025723063815
s459002,2173,4.138,0.002,21.56,0.28,4.0177,0.0006000000000000001,20.91,0.09,21.81,22.0,64.85336502523297,0.029055443921999997,70.855156072,0.10273826400000001
s453005,2173,4.132,0.0015,22.46,0.21,4.0148,0.0007,21.33,0.11,22.26,22.46,64.713031721792,0.03384909998400001,70.54738796799998,0.07683040799999999
s694007,2173,4.1296,0.0026000000000000003,22.82,0.37,4.0138,0.0008,21.47,0.13,22.42,22.62,64.664687908072,0.038665417056000004,70.424530702336,0.133018050048
