density_g_cm3,atomic_volume_a3,longitudinal_stress_gpa,longitudinal_stress_uncertainty_gpa,isentrope_pressure_gpa,isentrope_pressure_uncertainty_gpa,isotherm_298k_pressure_gpa,isotherm_298k_pressure_uncertainty_gpa
19.32,16.929,0,0,0,0,0,0
19.52,16.756,1.9,0.1,1.8,0.1,1.7,0.1
19.72,16.586,3.9,0.2,3.8,0.2,3.5,0.2
19.92,16.419,6.0,0.2,5.8,0.2,5.3,0.2
20.12,16.256,8.1,0.2,8.0,0.2,7.3,0.3
20.32,16.096,10.4,0.2,10.2,0.3,9.4,0.3
20.52,15.939,12.7,0.3,12.5,0.3,11.5,0.4
20.72,15.785,15.2,0.3,15.0,0.3,13.8,0.4
20.92,15.634,17.8,0.3,17.5,0.4,16.3,0.4
21.12,15.486,20.4,0.3,20.2,0.4,18.8,0.5
21.32,15.341,23.2,0.4,22.9,0.4,21.4,0.5
21.52,15.198,26.0,0.4,25.7,0.4,24.1,0.5
21.72,15.059,29.0,0.4,28.7,0.5,26.9,0.6
21.92,14.921,32.1,0.5,31.8,0.5,29.9,0.6
22.12,14.786,35.4,0.5,35.0,0.5,33.1,0.7
22.32,14.654,38.7,0.5,38.2,0.6,36.2,0.7
22.52,14.524,42.1,0.6,41.6,0.6,39.5,0.8
22.72,14.396,45.6,0.7,45.1,0.7,42.9,0.8
22.92,14.270,49.3,0.7,48.8,0.8,46.4,0.9
23.12,14.147,53.1,0.8,52.5,0.8,50.1,1.0
23.32,14.025,57.0,0.9,56.4,0.9,54.0,1.1
23.52,13.906,61.1,1.0,60.4,1.0,57.9,1.2
23.72,13.789,65.2,1.1,64.6,1.2,61.9,1.3
23.92,13.674,69.5,1.2,68.8,1.3,66.1,1.4
24.12,13.560,74.0,1.4,73.2,1.5,70.4,1.6
24.32,13.449,78.6,1.5,77.8,1.6,74.9,1.7
24.52,13.339,83.2,1.7,82.4,1.8,79.4,1.9
24.72,13.231,88.1,1.8,87.1,1.9,84.1,2.0
24.92,13.125,93.0,1.9,92.0,2.0,88.9,2.1
25.12,13.020,98.0,2.0,97.0,2.2,93.9,2.3
25.32,12.917,103.2,2.1,102.2,2.3,98.9,2.4
25.52,12.816,108.5,2.3,107.4,2.5,104.1,2.5
25.72,12.717,114.0,2.5,112.8,2.6,109.4,2.7
25.92,12.618,119.6,2.6,118.4,2.8,114.9,2.9
26.12,12.522,125.4,2.8,124.1,3.0,120.5,3.1
26.32,12.427,131.3,2.9,129.9,3.1,126.3,3.2
26.52,12.333,137.2,3.0,135.9,3.3,132.2,3.3
26.72,12.241,143.3,3.2,141.9,3.4,138.1,3.5
26.92,12.150,149.6,3.3,148.1,3.5,144.2,3.6
27.12,12.060,155.9,3.5,154.4,3.7,150.4,3.8
27.32,11.972,162.4,3.6,160.8,3.9,156.8,4.0
27.52,11.885,169.0,3.8,167.3,4.1,163.3,4.1
27.72,11.799,175.8,4.0,174.0,4.3,169.9,4.3
27.92,11.715,182.7,4.2,180.9,4.5,176.7,4.5
28.12,11.631,189.8,4.4,187.9,4.7,183.6,4.8
28.32,11.549,197.0,4.6,195.0,5.0,190.7,5.0
28.52,11.468,204.4,4.9,202.4,5.2,198.0,5.3
28.72,11.388,211.9,5.2,209.8,5.5,205.4,5.6
28.92,11.309,219.6,5.4,217.4,5.8,212.9,5.9
29.12,11.232,227.5,5.7,225.2,6.1,220.6,6.2
29.32,11.155,235.5,6.0,233.1,6.4,228.5,6.5
29.52,11.080,243.6,6.4,241.2,6.8,236.5,6.9
29.72,11.005,251.9,6.7,249.4,7.2,244.6,7.2
29.92,10.932,260.4,7.1,257.8,7.5,252.9,7.6
30.12,10.859,269.0,7.4,266.3,8.0,261.4,8.0
30.32,10.787,277.7,7.8,274.9,8.3,269.9,8.4
30.52,10.717,286.6,8.2,283.7,8.7,278.6,8.8
30.72,10.647,295.6,8.6,292.7,9.1,287.5,9.2
30.92,10.578,304.7,8.9,301.7,9.5,296.5,9.6
31.12,10.510,314.0,9.4,310.9,10.0,305.7,10.0
31.32,10.443,323.5,9.8,320.3,10.4,314.9,10.5
31.52,10.377,333.0,10.2,329.7,10.8,324.3,10.9
31.72,10.311,342.7,10.6,339.3,11.3,333.9,11.4
31.92,10.247,352.5,11.1,349.0,11.8,343.5,11.9
32.12,10.183,362.5,11.6,358.9,12.3,353.3,12.4
32.32,10.120,372.6,12.0,368.9,12.9,363.3,12.9
32.52,10.058,382.9,12.6,379.1,13.5,373.3,13.5
32.72,9.996,393.3,13.3,389.4,14.2,383.6,14.2
32.92,9.935,403.9,13.9,399.8,14.8,394.0,14.8
33.12,9.875,414.6,14.6,410.5,15.6,404.6,15.6
