run,temperature_k,mgo_a_angstrom,mgo_a_angstrom_uncertainty,pressure_gpa,pressure_gpa_uncertainty,mgo_matsui_pressure_gpa,gold_a_angstrom,gold_a_angstrom_uncertainty,gold_fit2_pressure_gpa,gold_fit2_pressure_gpa_uncertainty,gold_jamieson_pressure_gpa,gold_heinz_pressure_gpa,gold_anderson_pressure_gpa,gold_shim_pressure_gpa,gold_tsuchiya_pressure_gpa,gold_fei_pressure_gpa,nacl_b1_a_angstrom,nacl_b1_a_angstrom_uncertainty,nacl_b2_a_angstrom,nacl_b2_a_angstrom_uncertainty,volume_a3,volume_uncertainty_a3,mgo_volume_a3
1,300.0,4.12964,0.00058,10.65,0.08,10.71,4.00755,0.00046,10.21,0.08,10.6,10.15,10.15,10.05,10.25,10.26,5.18105,0.00058,,,64.36308446036888,0.02216343066345,70.42657715369735
1,300.0,4.05996,0.00047000000000000004,21.99,0.09,22.17,3.94795,0.00044,21.43,0.1,21.86,21.27,21.27,20.84,21.89,21.62,4.9558,0.0008700000000000001,3.09169,0.0005200000000000001,61.53396941600988,0.0205739281473,66.92143798748795
1,300.0,3.98991,0.00045000000000000004,35.98,0.1,36.37,3.8879,0.00043000000000000004,35.81,0.12,35.89,35.49,35.49,34.41,36.88,36.27,,,2.97425,0.0004900000000000001,58.768588225439004,0.019499338668900003,63.51690066995627
1,300.0,3.89763,0.00043000000000000004,59.31,0.13,60.05,3.81218,0.00042,59.52,0.15,58.35,58.84,58.84,56.32,61.71,60.57,,,2.86306,0.0005,55.401330624292235,0.018311222604024003,59.210922604417945
1,300.0,3.89589,0.00043000000000000004,59.81,0.13,60.56,3.81201,0.00042,59.58,0.15,58.41,58.9,58.9,56.38,61.78,60.63,,,2.86487,0.00051,55.393919269463595,0.018309589502525998,59.131658268143475
1,300.0,3.81984,0.00042,84.36,0.15,85.42,3.75389,0.0004,83.11,0.18,80.11,82.01,82.01,77.74,86.56,84.87,,,2.77945,0.00034,52.89865466998888,0.016910028158520003,55.73596394137191
1,300.0,3.76549,0.00041000000000000005,105.44,0.17,106.67,3.70978,0.0004,104.78,0.21,99.72,103.25,103.25,97.15,109.4,107.28,,,2.72931,0.00033000000000000005,51.05572723268135,0.016514961178079997,53.39056241779714
1,300.0,3.73469,0.0004,118.91,0.18,120.2,3.68509,0.00039000000000000005,118.57,0.23,112.05,116.76,116.76,109.41,123.91,121.57,,,2.70371,0.00032,50.043110605296235,0.015888469320477,52.09111774252071
1,300.0,3.69014,0.00039000000000000005,140.58,0.2,141.85,3.64819,0.00039000000000000005,141.72,0.26,132.51,139.4,139.4,129.83,148.12,145.61,,,2.66408,0.00031,48.554819692365264,0.015571869623037003,50.24912797897474
2,1600.0,3.86714,0.00021,78.3,1.4000000000000001,76.9,3.793,0.002,77.8,2.5,75.1,73.9,71.9,72.1,77.0,78.0,,,,,54.569318257000006,0.08632109400000001,57.832196139762345
2,1610.0,3.86779,0.00021,78.2,1.4000000000000001,76.7,3.7946,0.0009000000000000001,77.3,2.1,74.7,73.4,71.4,71.6,76.4,77.5,,,,,54.638404266536,0.03887727073200001,57.86136284660713
2,1720.0,3.8682,0.00018,79.0,1.5,77.4,3.7951,0.0011,78.1,2.3000000000000003,75.3,73.9,71.7,72.2,76.9,78.1,,,,,54.660005596351006,0.04752918723300001,57.87976535056799
2,1960.0,3.86944,0.0001,80.6,1.7000000000000002,78.6,3.7957,0.0011,80.1,2.7,77.0,75.1,72.6,73.7,78.1,79.8,,,,,54.685934706493,0.047544217017000005,57.93544544872039
3,1340.0,3.7827,,106.5,1.2000000000000002,105.2,3.7237,,107.2,1.4000000000000001,101.2,102.3,100.3,98.0,107.5,108.0,,,,,51.632607071053,,54.12597072828301
3,2330.0,3.7767,,117.9,2.1,114.0,3.7254,,117.3,2.9000000000000004,108.2,107.3,103.5,104.3,112.2,115.0,,,,,51.703355663064,,53.868820296662996
3,1780.0,3.7727,,114.5,1.6,112.1,3.7182,,114.7,2.1,107.2,107.6,104.8,103.7,112.9,114.4,,,,,51.404156792567996,,53.697839959583
3,1800.0,3.7713,,115.3,1.6,112.8,3.7168,,115.7,2.2,108.0,108.4,105.5,104.5,113.8,115.3,,,,,51.346113605632006,,53.63808242609701
3,1960.0,3.7723,,116.3,1.8,113.5,3.7186,,116.5,2.4000000000000004,108.4,108.5,105.3,104.8,113.7,115.6,,,,,51.42074859085599,,53.680761852067
3,1970.0,3.7743,,115.6,1.8,112.7,3.7207,,115.5,2.4000000000000004,107.5,107.5,104.3,103.9,112.6,114.6,,,,,51.507914108742995,,53.76618861140701
3,2070.0,3.7692,,118.6,1.9000000000000001,115.4,3.7152,,119.7,2.6,110.9,110.8,107.4,107.1,116.1,118.3,,,,,51.279832055807994,,53.54852927788801
3,2080.0,3.7683,,119.1,1.9000000000000001,115.8,3.7158,,119.5,2.6,110.7,110.6,107.1,106.9,115.9,118.1,,,,,51.30468094831201,,53.510179890987
