run,ruby_pressure_zha_gpa,ruby_pressure_dorogokupets_gpa,lattice_111_angstrom
1,9.91,9.91,4.0083
1,12.5,12.5,3.9927
1,20.4,20.6,3.9508
1,27.2,27.6,3.9167
1,33.2,33.9,3.8916
1,40.1,41.1,3.8659
1,46.1,47.5,3.8474
1,52.9,54.8,3.8287
1,60.2,62.6,3.8053
1,65.9,68.8,3.7871
1,74.5,78.1,3.7632
1,75.2,78.8,3.7629
1,75.3,79.0,3.7632
2,2.27,2.25,4.0556
2,3.43,3.41,4.0540
2,4.99,4.96,4.0417
2,6.74,6.72,4.0352
2,7.84,7.82,4.0246
2,9.24,9.23,4.0144
2,10.6,10.6,4.0080
2,12.0,12.1,3.9990
2,13.5,13.5,3.9905
2,15.0,15.1,3.9829
2,16.1,16.2,3.9770
2,17.4,17.5,3.9700
2,19.1,19.3,3.9617
2,20.8,21.0,3.9536
2,22.4,22.7,3.9460
2,24.0,24.3,3.9383
2,26.2,26.6,3.9285
2,27.9,28.4,3.9233
2,30.1,30.6,3.9139
2,1.14,1.13,4.0712
2,0,0,4.0807
3,52.5,54.3,3.8314
3,58.7,61.0,3.8136
3,65.5,68.3,3.7952
3,70.0,73.2,3.7817
3,78.0,81.9,3.7625
3,90.0,95.0,3.7338
4,31.0,31.6,3.9020
4,36.2,37.0,3.8872
4,39.5,40.5,3.8717
4,45.3,46.7,3.8570
4,50.2,51.9,3.8378
4,55.3,57.3,3.8233
4,66.5,69.4,3.7906
4,74.1,77.6,3.7703
4,79.9,84.0,3.7583
4,85.6,90.2,3.7459
5,4.81,4.78,4.0398
5,11.4,11.4,3.9984
5,16.6,16.7,3.9696
5,21.9,22.2,3.9441
5,28.5,29.0,3.9200
5,36.0,36.8,3.8868
5,43.9,45.2,3.8619
5,51.9,53.7,3.8335
5,60.8,63.2,3.8055
6,4.55,4.52,4.0453
6,10.1,10.1,4.0084
6,15.2,15.3,3.9791
6,20.9,21.1,3.9501
6,27.7,28.1,3.9210
6,37.2,38.1,3.8844
6,45.1,46.5,3.8559
6,53.2,55.1,3.8303
6,63.2,65.8,3.8001
7,22.2,22.5,3.9441
7,27.7,28.2,3.9181
7,37.8,38.7,3.8796
7,44.3,45.6,3.8566
7,51.7,53.5,3.8317
7,56.6,58.8,3.8164
7,62.1,64.7,3.8007
7,66.4,69.2,3.7880
7,71.5,74.8,3.7748
7,75.7,79.3,3.7644
7,81.3,85.5,3.7513
7,87.7,92.5,3.7364
7,94.1,99.5,3.7222
7,100.6,106.6,3.7107
7,105.6,112.2,3.6999
7,111.2,118.3,3.6902
7,116.5,124.2,3.6810
7,122.5,130.8,3.6699
