pressure_gpa,pressure_uncertainty_gpa,lattice_a_angstrom,lattice_a_standard_deviation_angstrom,lattice_c_angstrom,lattice_c_standard_deviation_angstrom,unit_cell_volume_a3,unit_cell_volume_standard_deviation_a3,iron_fractional_z,iron_fractional_z_standard_deviation,oxygen_fractional_x,oxygen_fractional_x_standard_deviation,r1_percent
0.00001,,5.0354,0.0017,13.7477,0.0048,301.88,0.02,0.3552,0.0001,0.3059,0.0005,3.79
2.8,0.2,5.0160,0.0001,13.6851,0.0007,298.19,0.02,0.3553,0.0001,0.3074,0.0008,2.73
7.1,0.2,4.9849,0.0002,13.5721,0.0008,292.07,0.01,0.3556,0.0001,0.3074,0.0010,4.74
9.5,0.1,4.9702,0.0003,13.518,0.001,289.24,0.04,0.3555,0.0001,0.3064,0.0009,2.28
11.9,0.2,4.9583,0.0004,13.475,0.002,286.89,0.05,0.3555,0.0001,0.3085,0.0008,4.23
12.1,0.2,4.9571,0.0004,13.472,0.002,286.69,0.05,0.3556,0.0001,0.3068,0.0010,4.31
14.8,0.3,4.9456,0.0004,13.409,0.002,284.03,0.06,0.3556,0.0001,0.3064,0.0010,2.25
18.2,0.1,4.9268,0.0007,13.338,0.004,280.4,0.1,0.3559,0.0001,0.3073,0.0013,4.05
22.7,0.2,4.9116,0.0015,13.261,0.008,277.1,0.2,0.3561,0.0003,0.3067,0.0018,4.56
25.3,0.3,4.8943,0.0015,13.199,0.008,273.8,0.2,0.3559,0.0002,0.3063,0.0013,4.83
