pressure_gpa,volume_ratio,volume_a3_conventional_cell,pressure_uncertainty_upper_bound_gpa,pressure_digitization_uncertainty_gpa,volume_ratio_digitization_uncertainty
0.1825,0.994322,35.974552,0.05,0.02,0.0003
0.3088,0.990480,35.835572,0.05,0.02,0.0003
0.4211,0.986639,35.696593,0.05,0.02,0.0003
0.7439,0.976952,35.346123,0.05,0.02,0.0003
0.9404,0.972777,35.195058,0.05,0.02,0.0003
1.1088,0.966597,34.971482,0.05,0.02,0.0003
1.2632,0.963424,34.856673,0.05,0.02,0.0003
1.4316,0.959248,34.705608,0.05,0.02,0.0003
1.6561,0.955574,34.572671,0.05,0.02,0.0003
1.7544,0.952735,34.469947,0.05,0.02,0.0003
1.9228,0.949896,34.367223,0.05,0.02,0.0003
2.0912,0.945887,34.222201,0.05,0.02,0.0003
2.2596,0.942714,34.107392,0.05,0.02,0.0003
2.4842,0.939040,33.974455,0.05,0.02,0.0003
2.5965,0.935198,33.835476,0.05,0.02,0.0003
2.7649,0.933528,33.775050,0.05,0.02,0.0003
2.9474,0.930522,33.666283,0.05,0.02,0.0003
3.2000,0.926347,33.515218,0.05,0.02,0.0003
3.3684,0.924175,33.436665,0.05,0.02,0.0003
3.5368,0.921169,33.327898,0.05,0.02,0.0003
3.6772,0.917662,33.201004,0.05,0.02,0.0003
3.9158,0.913152,33.037854,0.05,0.02,0.0003
4.1123,0.910981,32.959300,0.05,0.02,0.0003
4.2667,0.908309,32.862619,0.05,0.02,0.0003
4.7719,0.902965,32.669256,0.05,0.02,0.0003
4.9684,0.900125,32.566532,0.05,0.02,0.0003
5.3895,0.895783,32.409425,0.05,0.02,0.0003
5.9228,0.888434,32.143551,0.05,0.02,0.0003
6.3439,0.883591,31.968316,0.05,0.02,0.0003
6.7368,0.878079,31.768910,0.05,0.02,0.0003
7.0596,0.875741,31.684314,0.05,0.02,0.0003
7.3825,0.871733,31.539292,0.05,0.02,0.0003
7.7193,0.869395,31.454696,0.05,0.02,0.0003
8.5333,0.862547,31.206949,0.05,0.02,0.0003
9.1228,0.856534,30.989416,0.05,0.02,0.0003
9.4175,0.852025,30.826266,0.05,0.02,0.0003
