pressure_gpa,pressure_uncertainty_gpa,temperature_k,temperature_uncertainty_k,unit_cell_volume_a3,unit_cell_volume_uncertainty_a3,lattice_a_angstrom,lattice_a_uncertainty_angstrom,lattice_c_angstrom,lattice_c_uncertainty_angstrom
1.26,0.02,300.7,0.4,217.944,0.007,6.1845,0.0001,5.6981,0.0001
1.29,0.02,300.6,0.4,217.542,0.006,6.1815,0.0001,5.6931,0.0001
1.34,0.02,300.7,0.4,216.988,0.004,6.1757,0.0001,5.6893,0.0001
1.38,0.02,300.5,0.4,216.536,0.005,6.1729,0.0001,5.6825,0.0001
1.38,0.02,300.7,0.4,216.559,0.006,6.1725,0.0001,5.6840,0.0001
1.47,0.04,300.5,0.4,215.820,0.003,6.1658,0.0001,5.6769,0.0001
1.52,0.02,300.7,0.4,214.996,0.003,6.15858,0.00005,5.66851,0.00005
1.54,0.03,298.7,0.4,214.814,0.004,6.1569,0.0001,5.66676,0.00004
1.58,0.03,298.8,0.4,214.406,0.003,6.15347,0.00005,5.66237,0.00004
1.63,0.03,299.0,0.4,213.955,0.003,6.1492,0.0001,5.65814,0.00004
1.64,0.02,300.7,0.4,213.573,0.003,6.14588,0.00005,5.65427,0.00004
1.65,0.03,299.0,0.4,213.669,0.004,6.1471,0.0001,5.65451,0.00004
1.69,0.03,299.1,0.4,213.118,0.005,6.1419,0.0001,5.6494,0.0001
1.72,0.04,299.3,0.4,212.780,0.004,6.1391,0.0001,5.64562,0.00005
1.76,0.02,300.6,0.4,212.457,0.003,6.13609,0.00005,5.64271,0.00004
1.83,0.02,300.6,0.4,211.897,0.002,6.13141,0.00004,5.63642,0.00004
1.93,0.02,300.5,0.4,210.673,0.003,6.11950,0.00005,5.62570,0.00005
2.08,0.02,300.6,0.4,209.385,0.003,6.1085,0.0001,5.61135,0.00005
2.17,0.02,300.7,0.4,208.386,0.005,6.0993,0.0001,5.6015,0.0001
2.26,0.03,300.7,0.4,207.620,0.003,6.09364,0.00005,5.59133,0.00005
2.39,0.03,300.7,0.4,206.347,0.003,6.08197,0.00005,5.57840,0.00004
2.55,0.03,300.7,0.4,205.207,0.002,6.07183,0.00004,5.56614,0.00004
2.81,0.04,300.7,0.4,202.779,0.003,6.04892,0.00005,5.54201,0.00006
1.26,0.02,310.5,0.4,216.673,0.004,6.1746,0.0001,5.68306,0.00005
1.31,0.02,310.4,0.4,216.279,0.004,6.1708,0.0001,5.67972,0.00005
1.36,0.02,310.2,0.4,215.771,0.004,6.1665,0.0001,5.67424,0.00005
1.40,0.02,316.2,0.4,215.529,0.005,6.1648,0.0001,5.67105,0.00005
1.44,0.02,316.5,0.4,215.060,0.004,6.1604,0.0001,5.66684,0.00004
1.58,0.02,316.6,0.4,213.545,0.004,6.1470,0.0001,5.65147,0.00005
1.64,0.03,321.9,0.4,213.284,0.003,6.1450,0.0001,5.64825,0.00004
1.71,0.03,322.4,0.4,212.652,0.004,6.1392,0.0001,5.64207,0.00005
1.78,0.03,322.2,0.4,212.016,0.003,6.1342,0.0001,5.63438,0.00004
1.82,0.04,327.5,0.4,211.811,0.003,6.1321,0.0001,5.63280,0.00004
1.86,0.05,328.2,0.4,211.567,0.004,6.1298,0.0001,5.63055,0.00004
1.92,0.05,328.4,0.4,210.931,0.004,6.1244,0.0001,5.62363,0.00004
1.98,0.05,333.7,0.4,210.648,0.003,6.12213,0.00005,5.62021,0.00004
2.03,0.05,334.4,0.4,210.307,0.005,6.1192,0.0001,5.6165,0.0001
2.06,0.05,334.4,0.4,210.013,0.005,6.1168,0.0001,5.6130,0.0001
2.19,0.06,340.0,0.4,209.485,0.004,6.1124,0.0001,5.60699,0.00005
2.23,0.04,340.5,0.4,209.093,0.005,6.1090,0.0001,5.6027,0.0001
2.27,0.03,340.7,0.4,208.648,0.004,6.1042,0.0001,5.5996,0.0001
2.28,0.03,340.7,0.4,208.618,0.005,6.1048,0.0001,5.59776,0.00005
2.38,0.04,340.7,0.4,207.960,0.005,6.0988,0.0001,5.5910,0.0001
2.48,0.04,340.6,0.4,206.936,0.003,6.0894,0.0001,5.58063,0.00004
2.56,0.03,340.7,0.4,206.233,0.003,6.0832,0.0001,5.57310,0.00004
