pressure_gpa,pressure_uncertainty_gpa,temperature_k,temperature_uncertainty_k,unit_cell_volume_a3,unit_cell_volume_uncertainty_a3,lattice_a_angstrom,lattice_a_uncertainty_angstrom
2.71,0.02,300.6,0.4,37.156,0.001,3.33689,0.00001
3.17,0.02,300.5,0.4,36.542,0.001,3.31841,0.00002
3.29,0.02,300.5,0.4,36.430,0.001,3.31501,0.00001
3.56,0.02,300.5,0.4,36.123,0.001,3.30568,0.00002
4.20,0.03,300.6,0.4,35.586,0.001,3.28922,0.00002
4.81,0.02,300.8,0.4,35.009,0.001,3.27136,0.00002
5.79,0.05,300.5,0.4,34.152,0.001,3.24425,0.00003
6.29,0.04,300.5,0.4,33.786,0.001,3.23281,0.00003
6.85,0.02,300.5,0.4,33.284,0.001,3.21671,0.00004
7.31,0.02,300.5,0.4,33.033,0.001,3.20861,0.00005
7.64,0.02,300.5,0.4,32.701,0.002,3.1978,0.0001
8.12,0.02,300.6,0.4,32.406,0.002,3.1882,0.0001
8.54,0.02,300.6,0.4,32.102,0.002,3.1782,0.0001
9.03,0.01,300.6,0.4,31.872,0.002,3.1706,0.0001
9.22,0.02,300.6,0.4,31.730,0.002,3.1659,0.0001
5.49,0.04,300.5,0.4,34.502,0.001,3.25549,0.00002
9.78,0.02,300.5,0.4,31.577,0.002,3.1607,0.0001
2.88,0.02,340.4,0.4,37.155,0.001,3.33685,0.00002
2.88,0.02,340.3,0.4,37.170,0.001,3.33732,0.00001
2.81,0.02,340.5,0.4,37.196,0.001,3.33811,0.00002
2.78,0.03,340.5,0.4,37.238,0.001,3.33935,0.00002
2.76,0.03,340.6,0.4,37.317,0.001,3.34172,0.00004
2.67,0.02,340.6,0.4,37.394,0.001,3.34402,0.00002
2.55,0.03,340.7,0.4,37.622,0.001,3.35078,0.00003
2.48,0.03,340.7,0.4,37.758,0.001,3.35482,0.00002
2.33,0.03,340.6,0.4,38.001,0.001,3.36200,0.00003
2.28,0.03,340.6,0.4,38.070,0.001,3.36404,0.00002
2.19,0.05,340.6,0.4,38.220,0.001,3.36846,0.00003
2.18,0.05,340.6,0.4,38.221,0.001,3.36849,0.00004
2.15,0.02,340.7,0.4,38.218,0.001,3.36839,0.00004
2.14,0.02,340.7,0.4,38.223,0.001,3.36854,0.00004
2.22,0.03,340.6,0.4,38.202,0.001,3.36792,0.00002
2.20,0.02,340.6,0.4,38.212,0.001,3.36823,0.00003
4.87,0.03,340.7,0.4,35.082,0.001,3.27363,0.00003
5.59,0.04,340.7,0.4,34.561,0.001,3.25733,0.00003
6.26,0.02,340.7,0.4,33.967,0.001,3.23856,0.00002
6.93,0.02,340.7,0.4,33.481,0.001,3.22304,0.00003
7.64,0.02,340.7,0.4,32.871,0.001,3.20334,0.00003
8.49,0.02,340.7,0.4,32.391,0.001,3.18767,0.00004
8.93,0.03,340.7,0.4,32.095,0.001,3.17795,0.00004
9.25,0.03,340.7,0.4,31.962,0.001,3.17354,0.00005
9.66,0.03,340.7,0.4,31.693,0.001,3.16461,0.00005
9.96,0.03,340.7,0.4,31.569,0.001,3.16049,0.00005
2.73,0.03,380.1,0.4,37.726,0.001,3.35388,0.00001
2.75,0.04,380.1,0.4,37.684,0.001,3.35262,0.00001
2.79,0.03,380.1,0.4,37.588,0.001,3.34977,0.00002
2.86,0.04,380.1,0.4,37.486,0.001,3.34676,0.00002
2.90,0.05,380.1,0.4,37.403,0.001,3.34429,0.00001
2.93,0.03,380.1,0.4,37.374,0.001,3.34343,0.00001
3.04,0.03,380.1,0.4,37.214,0.001,3.33864,0.00002
3.15,0.03,380.1,0.4,37.040,0.001,3.33342,0.00001
3.24,0.03,380.2,0.4,36.896,0.001,3.32910,0.00001
3.24,0.03,380.2,0.4,36.941,0.001,3.33045,0.00002
3.34,0.03,380.2,0.4,36.766,0.001,3.32518,0.00001
3.47,0.03,380.2,0.4,36.565,0.001,3.31912,0.00001
3.52,0.05,380.2,0.4,36.498,0.001,3.31709,0.00001
3.62,0.02,380.3,0.4,36.385,0.001,3.31365,0.00002
3.75,0.04,380.2,0.4,36.249,0.001,3.30952,0.00001
3.80,0.02,380.3,0.4,36.167,0.001,3.30704,0.00001
3.88,0.05,380.2,0.4,36.065,0.001,3.30392,0.00001
4.00,0.03,380.2,0.4,35.980,0.001,3.30133,0.00001
4.28,0.04,380.3,0.4,35.670,0.001,3.29181,0.00001
4.28,0.03,380.3,0.4,35.699,0.001,3.29270,0.00002
4.38,0.04,380.4,0.4,35.543,0.001,3.28789,0.00001
4.46,0.03,380.3,0.4,35.473,0.001,3.28573,0.00001
4.60,0.03,380.3,0.4,35.423,0.001,3.28418,0.00002
4.94,0.03,380.3,0.4,35.142,0.001,3.27549,0.00002
5.28,0.03,380.3,0.4,34.816,0.001,3.26533,0.00002
6.04,0.03,380.2,0.4,34.118,0.001,3.24337,0.00002
6.88,0.02,380.3,0.4,33.363,0.001,3.21924,0.00002
7.98,0.03,380.2,0.4,32.613,0.001,3.19493,0.00002
8.89,0.03,380.2,0.4,32.118,0.001,3.17870,0.00003
9.06,0.03,380.2,0.4,31.959,0.001,3.17343,0.00002
9.43,0.03,380.2,0.4,31.760,0.001,3.16684,0.00002
9.69,0.02,380.2,0.4,31.538,0.001,3.15944,0.00003
5.71,0.05,380.2,0.4,34.498,0.001,3.25535,0.00002
5.64,0.05,450.6,0.4,34.725,0.001,3.26248,0.00002
5.71,0.06,450.7,0.4,34.734,0.001,3.26275,0.00002
6.14,0.07,451.1,0.4,34.492,0.001,3.25518,0.00002
6.37,0.03,451.1,0.4,34.342,0.001,3.25044,0.00002
6.55,0.02,451.2,0.4,34.201,0.001,3.24598,0.00002
6.94,0.02,449.9,0.4,33.829,0.001,3.23418,0.00003
7.27,0.03,449.9,0.4,33.512,0.001,3.22402,0.00002
7.82,0.03,449.9,0.4,33.118,0.001,3.21135,0.00003
8.58,0.04,449.9,0.4,32.570,0.001,3.19354,0.00003
10.11,0.03,449.9,0.4,31.702,0.001,3.16493,0.00002
9.67,0.03,450,0.4,31.833,0.001,3.16928,0.00003
9.37,0.04,450.1,0.4,31.947,0.001,3.17304,0.00002
4.25,0.05,450.1,0.4,36.093,0.001,3.30478,0.00003
4.39,0.05,449.7,0.4,35.885,0.001,3.29840,0.00003
4.83,0.05,449.8,0.4,35.351,0.001,3.28198,0.00002
5.12,0.05,449.9,0.4,34.965,0.002,3.2700,0.0001
