experiment,temperature_k,pressure_gpa,pressure_2sigma_gpa,gold_lattice_parameter_a,gold_lattice_parameter_a_2sigma,ice_lattice_parameter_a,ice_lattice_parameter_a_2sigma,ice_molar_volume_cm3_mol,ice_molar_volume_2sigma_cm3_mol,ice_observed
1,300.0,6.82,0.2,4.0286,0.0015,3.2381,0.0012,10.22,0.011,yes
2,300.0,6.85,0.23,4.0284,0.0015,3.2119,0.0012,9.973,0.011,yes
3,300.0,6.97,0.2,4.0276,0.0015,3.2367,0.0012,10.206,0.011,yes
4,300.0,7.56,0.19,4.0238,0.0012,3.2043,0.001,9.903,0.009,yes
5,300.0,7.56,0.19,4.0238,0.0012,3.2021,0.001,9.883,0.009,yes
6,300.0,9.49,0.11,4.0116,0.0007,3.1778,0.0006,9.659,0.005,yes
7,300.0,11.95,0.87,3.9969,0.005,3.1366,0.0039,9.289,0.035,yes
8,300.0,12.16,0.2,3.9957,0.0012,3.1235,0.0009,9.172,0.008,yes
9,300.0,15.48,0.3,3.9772,0.0015,3.0872,0.0012,8.856,0.01,yes
10,300.0,20.65,0.38,3.9509,0.0018,3.023,0.0014,8.315,0.011,yes
11,300.0,20.86,0.11,3.9499,0.0005,3.0159,0.0004,8.257,0.003,yes
12,300.0,29.23,0.2,3.9126,0.0008,2.9482,0.0006,7.713,0.005,yes
13,300.0,31.24,0.4,3.9044,0.0009,2.926,0.0007,7.54,0.005,yes
14,300.0,33.1,0.4,3.897,0.0014,2.9108,0.0011,7.423,0.008,yes
15,300.0,36.17,0.12,3.8853,0.0004,2.8904,0.0003,7.268,0.002,yes
16,300.0,36.47,0.37,3.8842,0.0011,2.8913,0.0008,7.275,0.006,yes
17,300.0,39.93,0.45,3.8717,0.0016,2.8849,0.0012,7.227,0.009,yes
18,300.0,42.76,0.35,3.8619,0.0022,2.8544,0.0016,7.0,0.012,yes
19,300.0,42.79,0.05,3.8618,0.0002,2.8649,0.0001,7.077,0.001,yes
20,300.0,43.04,0.05,3.8609,0.0002,2.8499,0.0001,6.967,0.001,yes
21,300.0,60.52,0.4,3.8075,0.001,2.779,0.0007,6.46,0.005,yes
22,348.0,37.53,0.5,3.8813,0.0018,2.8898,0.0013,7.26,0.01,yes
23,352.0,7.74,0.15,4.0249,0.001,3.2139,0.0008,9.992,0.007,yes
24,356.0,7.77,0.15,4.0249,0.001,3.2139,0.0008,9.992,0.007,yes
25,397.0,44.74,0.6,3.8569,0.003,2.8522,0.0022,6.9841,0.016,yes
26,398.0,46.45,0.4,3.8513,0.0012,2.8388,0.0009,6.886,0.006,yes
27,400.0,7.43,0.15,4.0291,0.001,3.2234,0.0008,10.082,0.008,yes
28,411.0,64.7,0.8,3.7976,0.0022,2.757,0.0016,6.308,0.011,yes
29,413.0,65.26,0.9,3.7899,0.003,2.753,0.0022,6.28,0.015,yes
30,450.0,7.2,0.12,4.0328,0.0008,3.2362,0.0006,10.202,0.006,yes
31,496.0,40.94,0.33,3.8718,0.0022,2.8723,0.0016,7.133,0.012,yes
32,496.0,32.26,0.05,3.9047,0.0002,2.9302,0.0002,7.573,0.012,yes
33,500.0,42.69,0.22,3.8657,0.0009,2.865,0.0007,7.078,0.005,yes
34,501.0,7.61,0.44,4.0324,0.003,3.2323,0.0024,10.165,0.023,yes
35,501.0,45.48,0.62,3.8562,0.002,2.85,0.0015,6.968,0.011,yes
36,502.0,64.27,0.9,3.7999,0.0024,2.7573,0.0017,6.31,0.012,yes
37,549.0,34.76,0.06,3.896,0.0002,2.9135,0.0002,7.444,0.001,yes
38,550.0,40.77,0.22,3.8735,0.0007,2.8765,0.0005,7.164,0.004,yes
39,550.0,41.27,0.25,3.8717,0.003,2.8739,0.0022,7.144,0.011,yes
40,551.0,7.91,0.02,4.0326,0.0001,3.2376,0.0001,10.215,0.001,yes
41,552.0,62.63,0.55,3.805,0.0015,2.7647,0.0011,6.361,0.008,yes
42,600.0,7.19,0.26,4.04,0.002,,,,,no
43,600.0,32.25,0.19,3.9172,0.0008,2.9356,0.0006,7.615,0.005,yes
44,600.0,40.08,0.42,3.8769,0.0016,2.8818,0.0012,7.204,0.009,yes
45,600.0,40.25,0.3,3.8763,0.0029,2.8823,0.0022,7.208,0.016,yes
46,600.0,41.03,0.1,3.8735,0.0006,2.8745,0.0004,7.149,0.003,yes
47,601.0,58.67,0.56,3.8168,0.0016,2.7849,0.0012,6.502,0.008,yes
48,602.0,34.97,0.9,3.8963,0.0035,2.9156,0.0026,7.46,0.02,yes
49,650.0,29.6,0.35,3.9195,0.0015,2.9609,0.0011,7.814,0.009,yes
50,650.0,37.57,0.32,3.8873,0.0012,2.9015,0.0009,7.352,0.007,yes
51,650.0,53.63,0.9,3.8325,0.0022,2.8089,0.0016,6.671,0.011,yes
52,651.0,28.85,0.65,3.9228,0.0024,2.9666,0.0018,7.859,0.014,yes
53,651.0,39.59,0.29,3.8803,0.0011,2.8858,0.0008,7.234,0.006,yes
54,652.0,54.36,0.17,3.8303,0.0005,2.8061,0.0004,6.651,0.003,yes
55,700.0,37.67,0.18,3.888,0.0007,2.9014,0.0005,7.352,0.004,yes
56,700.0,39.1,0.4,3.7999,0.0024,2.8935,0.0018,7.292,0.014,yes
57,700.0,48.52,0.23,3.8496,0.0006,2.838,0.0005,6.881,0.003,yes
58,701.0,26.78,0.32,3.9334,0.0008,2.9918,0.0006,8.061,0.005,yes
59,701.0,39.15,0.32,3.8824,0.0004,2.8953,0.0003,7.306,0.002,yes
60,750.0,36.64,0.43,3.8993,0.0017,2.916,0.0013,7.464,0.01,yes
61,750.0,36.89,0.54,3.8993,0.0017,2.9114,0.0013,7.428,0.01,yes
62,750.0,44.68,0.4,3.8634,0.001,2.8663,0.0008,7.088,0.006,yes
63,751.0,25.12,0.33,3.9425,0.0015,3.0095,0.0011,8.205,0.009,yes
64,783.0,23.37,0.31,3.9519,0.0015,,,,,no
65,791.0,21.86,0.39,3.9598,0.0021,,,,,no
66,798.0,36.53,0.03,3.8943,0.0009,2.9204,0.0007,7.497,0.005,yes
67,803.0,44.46,0.6,3.7999,0.0024,2.8685,0.0018,7.104,0.013,yes
68,810.0,36.27,0.4,3.8957,0.003,2.9208,0.0022,7.5,0.017,yes
69,852.0,42.59,0.3,3.8993,0.0017,2.8872,0.0013,7.245,0.009,yes
70,860.0,32.02,0.33,3.9143,0.0014,,,,,no
71,902.0,36.59,0.1,3.8965,0.0004,,,,,no
