plot_order,series_order,temperature_k,pressure_gpa,volume_a3_conventional_cell,plot_x_pt,plot_y_pt,pressure_digitization_uncertainty_gpa,volume_digitization_uncertainty_a3,source_series,source_marker,used_in_reconstructed_fit
1,1,300,0.881008614,56.321763148,347.955506,85.925021,0.75,0.08,Monteseguro et al. (2019) 300 K observations replotted,filled black circle,1
2,2,300,1.169215382,56.278267212,348.351502,86.498019,0.75,0.08,Monteseguro et al. (2019) 300 K observations replotted,filled black circle,1
3,3,300,1.521477966,56.221488060,348.835511,87.246005,0.75,0.08,Monteseguro et al. (2019) 300 K observations replotted,filled black circle,1
4,4,300,2.739093803,56.027693007,350.508515,89.798983,0.75,0.08,Monteseguro et al. (2019) 300 K observations replotted,filled black circle,1
5,5,300,3.411568839,55.927413286,351.432496,91.120028,0.75,0.08,Monteseguro et al. (2019) 300 K observations replotted,filled black circle,1
6,6,300,4.885363526,55.730277738,353.457489,93.717013,0.75,0.08,Monteseguro et al. (2019) 300 K observations replotted,filled black circle,1
7,7,300,5.334420586,55.646779258,354.074494,94.816989,0.75,0.08,Monteseguro et al. (2019) 300 K observations replotted,filled black circle,1
8,8,300,6.199063090,55.519780209,355.262513,96.490023,0.75,0.08,Monteseguro et al. (2019) 300 K observations replotted,filled black circle,1
9,9,300,7.448684611,55.339347136,356.979493,98.866977,0.75,0.08,Monteseguro et al. (2019) 300 K observations replotted,filled black circle,1
10,10,300,10.332240382,55.212348087,360.941498,100.540011,0.75,0.08,Monteseguro et al. (2019) 300 K observations replotted,filled black circle,1
11,11,300,11.613179065,54.941692956,362.701508,104.105514,0.75,0.08,Monteseguro et al. (2019) 300 K observations replotted,filled black circle,1
12,12,300,13.439236336,54.771314691,365.210511,106.350009,0.75,0.08,Monteseguro et al. (2019) 300 K observations replotted,filled black circle,1
13,13,300,14.977064625,54.527342712,367.323487,109.563998,0.75,0.08,Monteseguro et al. (2019) 300 K observations replotted,filled black circle,1
14,14,300,16.578970950,54.333547658,369.524506,112.116977,0.75,0.08,Monteseguro et al. (2019) 300 K observations replotted,filled black circle,1
15,15,300,18.597884203,54.143088467,372.298493,114.626010,0.75,0.08,Monteseguro et al. (2019) 300 K observations replotted,filled black circle,1
16,16,300,20.423941474,53.875737655,374.807496,118.147982,0.75,0.08,Monteseguro et al. (2019) 300 K observations replotted,filled black circle,1
