run,iridium_lattice_a_angstrom,mgo_lattice_a_angstrom,kcl_lattice_a_angstrom,pressure_gpa,upstream_temperature_k,upstream_temperature_uncertainty_k,downstream_temperature_k,downstream_temperature_uncertainty_k,mean_temperature_k,temperature_difference_k
1,3.786,4.074,,22.7,1776,201,1852,53,1814,76
1,3.785,4.072,,22.7,1736,68,1696,61,1716,40
1,3.786,4.074,,23.2,2105,74,1928,41,2016.5,177
1,3.791,4.076,,23.4,2363,40,2118,44,2240.5,245
1,3.788,4.076,,23.3,2344,43,2119,37,2231.5,225
1,3.799,4.085,,23.1,2829,78,2661,70,2745,168
1,3.801,4.082,,23.7,2849,96,2722,60,2785.5,127
1,3.802,4.088,,22.9,2897,220,2819,44,2858,78
2,3.790,,3.330,23.2,1772,159,1749,414,1760.5,23
2,3.789,,3.329,23.3,1757,149,1746,402,1751.5,11
2,3.788,,3.328,23.2,1717,103,1684,198,1700.5,33
2,3.788,,3.328,23.2,1731,87,1696,150,1713.5,35
2,3.788,,3.330,23.2,1796,101,1744,133,1770,52
2,3.788,,3.330,23.2,1816,105,1772,103,1794,44
2,3.788,,3.331,23.3,1877,99,1821,118,1849,56
2,3.789,,3.331,23.3,1926,123,1866,114,1896,60
2,3.789,,3.332,23.4,1985,103,1937,175,1961,48
3,3.752,4.019,,29.4,300,0,300,0,300,0
3,3.758,4.025,,31.1,1547,140,1505,205,1526,42
3,3.759,4.025,,31.2,1645,139,1506,206,1575.5,139
3,3.759,4.025,,31.3,1694,115,1569,186,1631.5,125
3,3.760,4.025,,31.3,1702,99,1566,166,1634,136
3,3.760,4.025,,31.3,1736,116,1578,166,1657,158
3,3.760,4.025,,31.4,1764,104,1641,197,1702.5,123
3,3.761,4.025,,31.9,1928,69,1860,214,1894,68
3,3.761,4.025,,31.9,1949,66,1852,120,1900.5,97
3,3.761,4.027,,32.0,2020,62,1895,149,1957.5,125
3,3.763,4.026,,32.0,2006,57,1927,173,1966.5,79
3,3.762,4.026,,31.9,2034,55,1947,155,1990.5,87
3,3.762,4.026,,32.0,2041,58,1939,90,1990,102
3,3.763,4.026,,32.1,2097,60,1997,128,2047,100
3,3.763,4.026,,32.1,2150,53,2019,100,2084.5,131
