pressure_gpa,pressure_uncertainty_gpa,lattice_a_angstrom,lattice_a_uncertainty_angstrom,lattice_b_angstrom,lattice_b_uncertainty_angstrom,lattice_c_angstrom,lattice_c_uncertainty_angstrom,unit_cell_volume_a3,unit_cell_volume_uncertainty_a3,independent_reflections,r1_percent
3.92,0.05,11.9050,0.0002,4.4883,0.0001,13.705,0.003,732.30,0.16,341,2.78
6.55,0.05,11.8691,0.0003,4.4668,0.0002,13.646,0.004,723.5,0.2,313,3.63
11.1,0.1,11.8021,0.0003,4.4262,0.0002,13.567,0.004,708.7,0.2,313,2.07
13.4,0.1,11.7674,0.0003,4.4061,0.0002,13.535,0.004,701.8,0.2,309,2.15
16.95,0.05,11.7183,0.0006,4.3766,0.0003,13.485,0.008,691.6,0.4,319,3.13
20.5,0.1,11.644,0.003,4.3510,0.0003,13.434,0.002,680.6,0.2,253,4.26
22.2,0.1,11.6483,0.0004,4.3414,0.0002,13.420,0.006,678.6,0.3,299,3.82
27.3,0.1,11.5903,0.0004,4.3132,0.0002,13.347,0.006,667.2,0.3,299,5.42
34.2,0.1,11.5119,0.0005,4.2766,0.0003,13.274,0.007,653.5,0.3,284,8.54
46.0,0.3,11.403,0.003,4.2300,0.0003,13.173,0.002,635.4,0.2,230,7.94
61.9,0.1,11.252,0.003,4.1721,0.0003,13.046,0.002,612.44,0.19,222,7.8
83.2,0.2,11.103,0.003,4.1110,0.0003,12.894,0.002,588.54,0.19,218,7.17
84.0,0.2,11.096,0.003,4.1156,0.0003,12.885,0.002,588.42,0.19,219,8.07
101.2,0.1,10.959,0.005,4.0476,0.0006,12.731,0.004,564.7,0.3,212,10.83
101.0,0.1,10.959,0.005,4.0587,0.0006,12.752,0.003,567.2,0.3,213,8.75
110.95,0.05,10.944,0.006,4.0415,0.0006,12.729,0.004,563.0,0.4,210,9.09
111.7,0.1,10.947,0.006,4.0478,0.0008,12.716,0.005,563.5,0.4,216,6.83
124.0,0.0,10.899,0.004,4.0191,0.0004,12.658,0.003,554.5,0.2,325,7.59
125.2,0.1,10.867,0.007,4.0218,0.0007,12.662,0.004,553.4,0.4,307,7.89
134.2,0.2,10.864,0.004,3.9993,0.0004,12.602,0.003,547.5,0.2,311,7.56
134.1,0.2,10.835,0.004,3.9942,0.0005,12.586,0.002,544.7,0.2,319,8.52
139.8,0.1,10.806,0.004,3.9857,0.0004,12.562,0.003,541.0,0.2,319,8.16
140.3,0.2,10.807,0.003,3.985,,12.568,0.002,541.27,0.17,320,7.46
151.6,0.2,10.787,0.003,3.9597,0.0003,12.486,0.002,533.32,0.18,298,7.27
151.6,0.2,10.742,0.003,3.9526,0.0004,12.482,0.002,529.97,0.18,310,8.53
158.0,0.1,10.733,0.004,3.9540,0.0003,12.493,0.002,530.2,0.2,294,7.91
157.9,0.2,10.735,0.003,3.9523,0.0003,12.4834,0.0019,529.64,0.17,311,7.85
