source_order,run,pressure_medium,pressure_gauge,phase,reported_pressure_gpa,ruby_wavelength_angstrom,tungsten_lattice_parameter_angstrom,atomic_volume_a3_per_atom,c_over_a,original_2006_helium_vinet_fit_included,dewaele_2019_vinet_fit_included
1,1,helium,ruby,bcc,1.8,6949.14,,11.634,,false,false
2,1,helium,ruby,bcc,5.2,6961.39,,11.428,,false,false
3,1,helium,ruby,bcc,8,6971.37,,11.256,,false,false
4,1,helium,ruby,bcc,8.6,6973.5,,11.233,,false,false
5,1,helium,ruby,bcc,10,6978.44,,11.152,,false,false
6,1,helium,ruby,bcc,12.3,6986.16,,11.045,,false,false
7,1,helium,ruby,bcc,14.6,6994.18,,10.935,,false,false
8,1,helium,ruby,hcp,17.7,7004.71,,10.296,1.6045,true,true
9,1,helium,ruby,hcp,19.9,7012.07,,10.201,1.6028,true,true
10,1,helium,ruby,hcp,21.4,7017.18,,10.148,1.6039,true,true
11,1,helium,ruby,hcp,24.1,7025.97,,10.042,1.6014,true,true
12,1,helium,ruby,hcp,27.3,7036.52,,9.936,1.6023,true,true
13,1,helium,ruby,hcp,30.4,7046.64,,9.841,1.6011,true,true
14,1,helium,ruby,hcp,36.1,7064.65,,9.674,1.6016,true,true
15,1,helium,ruby,hcp,33.6,7056.83,,9.742,1.6013,true,true
16,1,helium,ruby,bcc,4,6957.08,,11.522,,false,false
17,1,helium,ruby,bcc,1.3,6947.29,,11.676,,false,false
18,1,helium,ruby,bcc,0,6942.6,,11.754,,false,false
19,2,helium,ruby,hcp,17.8,7005.05,,10.282,1.6036,true,true
20,2,helium,ruby,hcp,22.9,7022.06,,10.086,1.6024,true,true
21,2,helium,ruby,hcp,30.3,7046.15,,9.8338,1.6011,true,true
22,2,helium,ruby,hcp,38,7070.8,,9.593,1.6008,true,true
23,2,helium,ruby,hcp,42.9,7085.86,,9.464,1.6003,true,true
24,2,helium,ruby,hcp,47.2,7098.83,,9.356,1.5997,true,true
25,3,helium,ruby,hcp,36.3,7064.65,,9.652,1.6007,true,true
26,3,helium,ruby,hcp,47.5,7098.52,,9.366,1.5976,true,true
27,3,helium,ruby,hcp,56.3,7124,,9.155,1.5997,true,true
28,3,helium,ruby,hcp,65,7148.58,,8.963,1.6013,true,true
29,3,helium,ruby,hcp,71.2,7165.55,,8.854,1.5989,true,true
30,3,helium,ruby,hcp,76.7,7180.51,,8.752,1.5996,true,true
31,3,helium,ruby,hcp,82.4,7195.55,,8.659,1.5997,true,true
32,3,helium,ruby,hcp,88.9,7212.37,,8.553,1.5989,true,true
33,3,helium,ruby,hcp,99.5,7239.46,,8.401,1.5995,true,true
34,3,helium,ruby,hcp,115,7277.41,,8.214,1.5986,true,true
35,3,helium,ruby,hcp,124,7298.52,,8.094,1.5991,true,true
36,4,helium,tungsten,hcp,28.1,,3.0833,9.8802,1.602,true,true
37,4,helium,tungsten,hcp,55.2,,3.0241,9.1604,1.5987,true,true
38,4,helium,tungsten,hcp,78.4,,2.9824,8.74,1.5975,true,true
39,4,helium,tungsten,hcp,105,,2.9408,8.3254,1.5954,true,true
40,4,helium,tungsten,hcp,122,,2.9182,8.1093,1.5968,true,true
41,4,helium,tungsten,hcp,136,,2.9004,7.9487,1.5979,true,true
42,4,helium,tungsten,hcp,146,,2.8882,7.8436,1.5973,true,true
43,4,helium,tungsten,hcp,157,,2.875,7.7307,1.5974,true,true
44,4,helium,tungsten,hcp,167,,2.865,7.6604,1.597,true,true
45,4,helium,tungsten,hcp,176,,2.8554,7.5693,1.6012,true,true
46,4,helium,tungsten,hcp,188,,2.8422,7.4474,1.5973,true,true
47,4,helium,tungsten,hcp,197,,2.8339,7.3906,1.5964,true,true
48,5,neon,tungsten,hcp,29,,3.0811,9.857,1.6029,false,true
49,5,neon,tungsten,hcp,53,,3.0285,9.201,1.6025,false,true
50,5,neon,tungsten,hcp,90,,2.9642,8.565,1.5989,false,true
51,5,neon,tungsten,hcp,106,,2.94035,8.332,1.5991,false,true
52,5,neon,tungsten,hcp,127,,2.9115,8.071,1.5981,false,true
53,5,neon,tungsten,hcp,133,,2.90424,8.01,1.5979,false,true
54,5,neon,tungsten,hcp,143,,2.8916,7.899,1.5978,false,true
55,5,neon,tungsten,hcp,154,,2.8788,7.778,1.5969,false,true
56,5,neon,tungsten,hcp,163,,2.8691,7.701,1.5971,false,true
57,5,neon,tungsten,hcp,172,,2.8592,7.618,1.598,false,true
58,5,neon,tungsten,hcp,181,,2.8498,7.539,1.5988,false,true
59,5,neon,tungsten,hcp,189,,2.8414,7.478,1.5961,false,true
60,5,neon,tungsten,hcp,195,,2.8359,7.426,1.5994,false,true
61,5,neon,tungsten,hcp,202,,2.8291,7.358,1.599,false,true
62,5,neon,tungsten,hcp,201,,2.8299,7.356,1.5991,false,true
63,5,neon,tungsten,hcp,205,,2.8265,7.33,1.5986,false,true
