source_row,sample_name,temperature_k,temperature_error_k,pressure_gpa,a_angstrom,a_error_angstrom,c_angstrom,c_error_angstrom,volume_a3_conventional_cell,density_g_cm3,thermal_pressure_gpa
3,c118Pt-Fe_046,1208,18,53.96,2.37974,3.3E-4,3.8260399999999999,1.06E-3,18.764693999999999,9.8840000000000003,6.7
4,c118Pt-Fe_047,1303,9,54.37,2.3807800000000001,5.6999999999999998E-4,3.8319700000000001,1.1199999999999999E-3,18.810099999999998,9.8600999999999992,8
5,c118Pt-Fe_048,1366,12,54.64,2.3814500000000001,5.6999999999999998E-4,3.8349500000000001,1.1199999999999999E-3,18.8353,9.8468999999999998,8.9
6,c118Pt-Fe_051,1454,21,55.02,2.3832,3.8999999999999999E-4,3.84206,1.23E-3,18.898099999999999,9.8141999999999996,10.4
7,c118Pt-Fe_055,1617,6,55.72,2.3837100000000002,1.3600000000000001E-3,3.8432300000000001,3.6800000000000001E-3,18.911899999999999,9.8070000000000004,11.1
8,c118Pt-Fe_081,1249,17,63.6,2.3664299999999998,9.7000000000000005E-4,3.8061400000000001,3.0300000000000001E-3,18.4588,10.047800000000001,9.4
9,c118Pt-Fe_084,1386,9,64.27,2.3667060000000002,9.5600000000000004E-4,3.8083640000000001,2.9910000000000002E-3,18.473870999999999,10.0396,10.3
10,c118Pt-Fe_087,1603,42,65.34,2.3688500000000001,9.1E-4,3.81006,2.869E-3,18.515726000000001,10.0169,12.2
11,c118Pt-Fe_112,1252,18,71.86,2.3466200000000002,5.2999999999999998E-4,3.7710699999999999,1.1800000000000001E-3,17.983799999999999,10.3132,7
12,c118Pt-Fe_115,1434,19,72.55,2.3475299999999999,1.07E-3,3.77704,2.3800000000000002E-3,18.026199999999999,10.2889,8.6999999999999993
13,c118Pt-Fe_117,1602,11,73.180000000000007,2.34863,1.65E-3,3.78362,3.6800000000000001E-3,18.0746,10.2614,10.5
14,c118Pt-Fe_149,1278,19,77.12,2.34111,5.4000000000000001E-4,3.7606999999999999,1.6980000000000001E-3,17.850224999999998,10.3903,6.8
15,c118Pt-Fe_153,1470,18,77.959999999999994,2.3419300000000001,5.0000000000000001E-4,3.76268,1.56E-3,17.8721,10.377599999999999,8.1
16,c118Pt-Fe_155,1621,15,78.62,2.3426,3.5E-4,3.7645400000000002,1.1100000000000001E-3,17.891300000000001,10.3665,9.5
17,c118Pt-Fe_216,1351,2,90.66,2.3224499999999999,4.8000000000000001E-4,3.7276099999999999,1.2899999999999999E-3,17.412299999999998,10.6517,8.4
18,c118Pt-Fe_218,1495,18,91.3,2.32274,4.0999999999999999E-4,3.7289500000000002,1.1000000000000001E-3,17.422899999999998,10.645200000000001,9.3000000000000007
19,c118Pt-Fe_221,1619,7,91.86,2.3229799999999998,7.6000000000000004E-4,3.7314500000000002,2.0400000000000001E-3,17.438199999999998,10.6358,10.4
20,c118Pt-Fe_285,1311,38,97.3,2.30979,4.2000000000000002E-4,3.70668,1.2999999999999999E-3,17.126300000000001,10.829499999999999,7.9
21,c118Pt-Fe_286,1422,1,97.87,2.3101699999999998,4.0999999999999999E-4,3.7079599999999999,1.289E-3,17.137899999999998,10.8222,8.9
22,c118Pt-Fe_288,1562,8,98.59,2.3112699999999999,5.5999999999999995E-4,3.7095799999999999,1.74E-3,17.1616,10.8073,10.4
23,c118Pt-Fe_289,1600,41,98.79,2.31107,5.6999999999999998E-4,3.7098200000000001,1.7799999999999999E-3,17.159700000000001,10.8085,10.6
24,c118Pt-Fe_292,1795,33,99.69,2.3119429999999999,5.5000000000000003E-4,3.71069,1.7099999999999999E-3,17.176600000000001,10.797800000000001,12.2
