run,pressure_gpa,pressure_uncertainty_gpa,molar_volume_cm3_per_mol,molar_volume_uncertainty_cm3_per_mol,volume_a3_conventional_cell,volume_uncertainty_a3_conventional_cell,axial_ratio_c_over_a,axial_ratio_uncertainty,relative_volume_v_over_v01,relative_volume_uncertainty
FE1,34.8,1.0,5.811,0.013,19.2988,0.043174,1.612,0.004,0.819,0.002
FE2,35.6,1.1,5.812,0.018,19.3021,0.059779,1.620,0.005,0.819,0.003
FE3,56.1,1.7,5.474,0.019,18.1796,0.063101,1.596,0.005,0.772,0.003
FE4,80.0,2.4,5.276,0.022,17.5220,0.073064,1.587,0.006,0.744,0.003
FE5,101.6,3.0,5.08,0.10,16.8711,0.332108,1.575,0.004,0.716,0.014
FE6,112.4,3.3,4.93,0.10,16.3729,0.332108,1.585,0.004,0.695,0.014
FE7,125.4,3.8,4.903,0.014,16.2832,0.046495,1.602,0.005,0.691,0.002
FE8,132.1,4.0,4.809,0.014,15.9711,0.046495,,,0.678,0.002
FE9,141.2,4.2,4.714,0.017,15.6556,0.056458,1.597,0.006,0.665,0.003
FE10,142.2,4.3,4.701,0.017,15.6124,0.056458,1.597,0.006,0.663,0.003
FE11,156.7,4.7,4.669,0.011,15.5061,0.036532,1.586,0.004,0.658,0.002
FE12,170.8,5.1,4.613,0.019,15.3201,0.063101,1.598,0.006,0.650,0.003
FE13,197.3,5.9,4.475,0.011,14.8618,0.036532,1.585,0.004,0.631,0.002
FE14,208.7,6.3,4.458,0.037,14.8054,0.122880,1.601,0.012,0.628,0.005
FE15,210.1,6.3,4.468,0.012,14.8386,0.039853,1.596,0.004,0.630,0.002
FE16,212.1,6.4,4.417,0.012,14.6692,0.039853,1.596,0.004,0.623,0.002
FE17,227.2,6.8,4.385,0.006,14.5629,0.019926,1.579,0.002,0.618,0.001
FE18,235.7,7.1,4.326,0.010,14.3670,0.033211,1.576,0.003,0.610,0.002
FE19,244.8,7.3,4.321,0.013,14.3504,0.043174,1.579,0.004,0.609,0.002
FE20,247.3,7.4,4.310,0.006,14.3138,0.019926,1.585,0.002,0.608,0.001
FE21,256.2,7.7,4.254,0.009,14.1279,0.029890,1.590,0.003,0.600,0.001
FE22,258.2,7.7,4.287,0.011,14.2375,0.036532,1.606,0.004,0.604,0.002
FE23,264.0,7.9,4.289,0.009,14.2441,0.029890,1.611,0.003,0.605,0.001
FE24,270.1,8.1,4.243,0.008,14.0913,0.026569,1.604,0.003,0.598,0.001
FE25,270.4,8.1,4.213,0.010,13.9917,0.033211,,,0.594,0.002
FE26,277.8,8.3,4.170,0.010,13.8489,0.033211,,,0.588,0.002
FE27,292.8,8.8,4.145,0.010,13.7659,0.033211,,,0.584,0.002
FE28,293.5,8.8,4.137,0.010,13.7393,0.033211,,,0.583,0.002
FE29,294.7,8.8,4.144,0.010,13.7625,0.033211,,,0.584,0.002
FE30,304.1,9.1,4.099,0.010,13.6131,0.033211,,,0.578,0.002
FE31,293.7,8.8,4.147,0.010,13.7725,0.033211,,,0.585,0.002
FE32,300.6,9.0,4.137,0.010,13.7393,0.033211,,,0.583,0.002
