run,source_page,source_row,temperature_k,au_volume_a3,au_volume_a3_error,pressure_gpa,pressure_gpa_error,a_angstrom,a_angstrom_error,c_angstrom,c_angstrom_error,volume_a3_conventional_cell,volume_a3_conventional_cell_error
M1067,1,1,900.0,58.43,0.02,42.8,0.1,2.3992,0.00030000000000000003,3.8632,0.001,19.258,0.007
M1067,1,2,700.0,58.18,0.05,43.2,0.30000000000000004,2.3971,0.00030000000000000003,3.8544,0.0008,19.18,0.006
M1067,1,3,500.0,58.14,0.03,42.1,0.2,2.3961,0.00030000000000000003,3.8487,0.0007,19.136,0.005
M1067,1,4,302.0,57.99,0.04,41.9,0.2,2.3947,0.00030000000000000003,3.844,0.0008,19.09,0.006
M1067,1,5,1100.0,57.73,0.04,48.7,0.30000000000000004,2.3892,0.00030000000000000003,3.8498,0.0008,19.032,0.006
M1067,1,6,900.0,57.65,0.03,48.0,0.2,2.388,0.0002,3.842,0.00030000000000000003,18.973,0.003
M1067,1,7,700.0,57.54,0.04,47.5,0.30000000000000004,2.3863,0.0002,3.8358,0.0006000000000000001,18.917,0.004
M1067,1,8,500.0,57.46,0.03,46.8,0.2,2.3853,0.0002,3.8301,0.0006000000000000001,18.872,0.004
M1067,1,9,303.0,57.33,0.04,46.5,0.30000000000000004,2.3841,0.0002,3.827,0.0007,18.838,0.005
M1067,1,10,1100.0,56.47,0.04,57.8,0.30000000000000004,2.3717,0.00030000000000000003,3.8188,0.0009000000000000001,18.602,0.006
M1067,1,11,900.0,56.44,0.03,56.8,0.30000000000000004,2.3706,0.0002,3.8118,0.0005,18.552,0.004
M1067,1,12,700.0,56.35,0.04,56.3,0.30000000000000004,2.369,0.0002,3.8057,0.0005,18.497,0.003
M1067,1,13,500.0,56.31,0.02,55.4,0.2,2.3682,0.00030000000000000003,3.8018,0.0008,18.465,0.006
M1067,1,14,303.0,56.18,0.04,55.3,0.30000000000000004,2.3672,0.00030000000000000003,3.7986,0.0008,18.434,0.005
M1067,1,15,1100.0,56.32,0.02,59.1,0.1,2.3693,0.0002,3.8144,0.0004,18.543,0.004
M1067,1,16,900.0,56.22,0.03,58.6,0.30000000000000004,2.3678,0.0002,3.8066,0.0007,18.483,0.005
