source_table,source_row,source_reference_as_published,data_class,dynamic_path,pressure_gpa_raw,pressure_uncertainty_gpa_raw,pressure_calibrant,pressure_gpa_fit,pressure_uncertainty_gpa_fit,pressure_scale,pressure_correction_applied,molar_volume_cm3_mol,molar_volume_uncertainty_cm3_mol,volume_a3_conventional_cell,volume_uncertainty_a3_conventional_cell,temperature_k,temperature_uncertainty_k,temperature_provenance,fit1_observed_minus_model_gpa,fit2_observed_minus_model_gpa,fit5_observed_minus_model_gpa,source_cell_note,used_in_fit
Table S1,3,Jephcoat et al. (1986),static_experiment,,78.61,1.55,ruby,78.50413636,1.547912624,Ye et al. (2018),1,5.24665575,0.01003835,17.424553689774598,0.03333814468992917,300.0,0.0,experimental_reported,-2.80015509563144,-2.72515612816745,0.450398391746773,,1
Table S1,4,Jephcoat et al. (1986),static_experiment,,68.78,1.5,ruby,68.70624153,1.498391426,Ye et al. (2018),1,5.37859308,0.01014972,17.862727871541814,0.03370801316175147,300.0,0.0,experimental_reported,-0.318990143890659,-0.244685490842414,2.96021366786832,,1
Table S1,5,Jephcoat et al. (1986),static_experiment,,62.68,1.1,ruby,62.62405459,1.099018188,Ye et al. (2018),1,5.42096184,0.02771307,18.00343783395724,0.09203727081264702,300.0,0.0,experimental_reported,-2.76856664416678,-2.6944047128156,0.500323846367252,,1
Table S1,6,Jephcoat et al. (1986),static_experiment,,56.93,0.95,ruby,56.88925739,0.949320122,Ye et al. (2018),1,5.50049206,0.01095038,18.2675639086191,0.036367067580798294,300.0,0.0,experimental_reported,-2.05791657591015,-1.9839336178363,1.1680776070069,,1
Table S1,7,Jephcoat et al. (1986),static_experiment,,50.71,1.3,ruby,50.68385608,1.299329775,Ye et al. (2018),1,5.55713725,0.02199407,18.45568701054407,0.07304402496231258,300.0,0.0,experimental_reported,-3.95206883857585,-3.8781506527999,-0.774227016521245,,1
Table S1,8,Jephcoat et al. (1986),static_experiment,,42.81,1.43,ruby,42.79942517,1.429646765,Ye et al. (2018),1,5.69361366,0.0214914,18.90893583164934,0.07137461861652002,300.0,0.0,experimental_reported,-2.32085417323856,-2.24691470988912,0.686501394579565,,1
Table S1,9,Jephcoat et al. (1986),static_experiment,,36.84,0.99,ruby,36.83880998,0.989968021,Ye et al. (2018),1,5.81192171,0.02374589,19.301846109621657,0.07886195605962555,300.0,0.0,experimental_reported,-0.931787560518551,-0.857667830784642,1.87248125114833,,1
Table S1,10,Jephcoat et al. (1986),static_experiment,,28.41,0.77,ruby,28.41824625,0.770223499,Ye et al. (2018),1,5.96799322,0.00664006,19.820171788877285,0.022052158076756746,300.0,0.0,experimental_reported,-0.773738737808547,-0.699214587898055,1.69623621566123,,1
Table S1,11,Jephcoat et al. (1986),static_experiment,,21.21,0.4,ruby,21.22242809,0.400234382,Ye et al. (2018),1,6.11546516,0.00574609,20.30993762424112,0.019083213856993936,300.0,0.0,experimental_reported,-0.883798737773205,-0.808771963027564,1.21273669862563,,1
Table S1,12,Jephcoat et al. (1986),static_experiment,,20.8,0.38,ruby,20.81255083,0.380229294,Ye et al. (2018),1,6.11390297,0.02792377,20.304749469190423,0.0927370219755541,300.0,0.0,experimental_reported,-1.36402074245819,-1.28899974249402,0.736723980566516,,1
Table S1,13,Jephcoat et al. (1986),static_experiment,,18.51,0.3,ruby,18.52299703,0.300210649,Ye et al. (2018),1,6.2254325,0.03409126,20.675147752607497,0.11321973815836214,300.0,0.0,experimental_reported,1.13447296497757,1.20992423286346,2.92274366192109,,1
Table S1,14,Jephcoat et al. (1986),static_experiment,,16.48,0.14,ruby,16.49304534,0.140110822,Ye et al. (2018),1,6.2907495,0.02103087,20.892070613108686,0.06984516250330887,300.0,0.0,experimental_reported,1.69973760073844,1.77545432003351,3.29474609940073,,1
Table S1,15,Jephcoat et al. (1986),static_experiment,,15.5,0.12,ruby,15.51294883,0.120100249,Ye et al. (2018),1,6.27962755,0.01026109,20.855133748152376,0.034077881633573774,300.0,0.0,experimental_reported,0.288090370049645,0.363761346005697,1.91649471778502,,1
Table S1,16,Jephcoat et al. (1986),static_experiment,,13.27,0.15,ruby,13.28243084,0.150140514,Ye et al. (2018),1,6.44948787,0.01031226,21.41925314279768,0.03424782120170834,300.0,0.0,experimental_reported,4.21560314097686,4.29198872489228,5.31482038069141,,1
