source_row,pressure_gpa,pressure_precision_min_gpa,pressure_precision_max_gpa,temperature_k,mg073fe027o_a_angstrom,mg073fe027o_a_sd_angstrom,mg073fe027o_derived_volume_a3,mg073fe027o_derived_volume_sd_a3,mg073fe027o_fit_included,fe093o_b1_a_angstrom,fe093o_b1_a_sd_angstrom,fe093o_b1_derived_volume_a3,fe093o_b1_derived_volume_sd_a3,fe093o_b1_fit_included,fe093o_rhombohedral_a_angstrom,fe093o_rhombohedral_a_sd_angstrom,fe093o_rhombohedral_c_angstrom,fe093o_rhombohedral_c_sd_angstrom,fe093o_rhombohedral_volume_a3,fe093o_rhombohedral_volume_sd_a3,fe093o_rhombohedral_fit_included
1,0.00,,,300,4.2599,0.0003,77.303332,0.016332,1,4.2980,0.0006,79.396112,0.033251,1,,,,,,,0
2,7.70,0.05,0.1,300,4.1953,0.0019,73.839554,0.100323,1,4.2299,0.0013,75.681599,0.069779,1,,,,,,,0
3,10.6,0.05,0.1,300,4.1745,0.0007,72.746717,0.036596,1,4.2085,0.0008,74.538731,0.042508,1,,,,,,,0
4,12.0,0.05,0.1,300,4.1660,0.0008,72.303246,0.041653,1,4.1979,0.0022,73.976924,0.116308,1,,,,,,,0
5,13.7,0.05,0.1,300,4.1526,0.0028,71.607795,0.144850,1,4.1842,0.0011,73.255006,0.057775,1,,,,,,,0
6,15.0,0.05,0.1,300,4.1440,0.0008,71.163818,0.041215,1,4.1751,0.0023,72.778089,0.120277,1,,,,,,,0
7,22.8,0.05,0.1,300,4.0944,0.0015,68.638978,0.075439,1,4.1255,0.0026,70.214980,0.132754,1,,,,,,,0
8,27.7,0.05,0.1,300,4.0707,0.0018,67.453935,0.089481,1,,,,,0,2.8359,0.0007,7.361,0.004,51.27,0.02,1
9,31.6,0.05,0.1,300,4.0514,0.0007,66.499039,0.034469,1,,,,,0,2.8149,0.0008,7.352,0.004,50.45,0.03,1
10,35.3,0.05,0.1,300,4.0332,0.0010,65.606863,0.048800,1,,,,,0,2.7986,0.0014,7.332,0.007,49.74,0.04,1
11,38.5,0.05,0.1,300,4.0172,0.0018,64.829155,0.087145,1,,,,,0,2.7826,0.0010,7.342,0.005,49.23,0.03,1
12,41.5,0.05,0.1,300,4.0037,0.0019,64.177764,0.091369,1,,,,,0,2.7694,0.0009,7.331,0.004,48.69,0.03,1
13,43.6,0.05,0.1,300,3.9941,0.0019,63.717218,0.090931,1,,,,,0,2.7599,0.0020,7.302,0.010,48.16,0.06,1
14,46.0,0.05,0.1,300,3.9865,0.0014,63.354185,0.066747,1,,,,,0,2.7522,0.0011,7.299,0.005,47.88,0.03,1
15,48.7,0.05,0.1,300,3.9747,0.0021,62.793265,0.099529,1,,,,,0,2.7463,0.0030,7.282,0.015,47.56,0.09,1
16,51.1,0.05,0.1,300,3.9641,0.0019,62.292219,0.089570,1,,,,,0,2.7309,0.0018,7.277,0.009,47.00,0.05,1
