pressure_gpa,temperature_k,lattice_a_angstrom,lattice_a_uncertainty_angstrom,lattice_b_angstrom,lattice_b_uncertainty_angstrom,lattice_c_angstrom,lattice_c_uncertainty_angstrom,beta_deg,beta_uncertainty_deg,unit_cell_volume_a3,unit_cell_volume_uncertainty_a3
0.00,300,9.401,0.001,8.540,0.001,5.268,0.001,107.51,0.01,403.32,0.08
8.16,1280,9.272,0.001,8.453,0.001,5.182,0.002,106.95,0.01,388.54,0.09
7.83,1072,9.268,0.001,8.445,0.001,5.183,0.002,106.90,0.01,388.12,0.09
7.44,874,9.264,0.001,8.437,0.001,5.184,0.002,106.94,0.01,387.59,0.09
7.02,670,9.258,0.001,8.429,0.001,5.181,0.002,106.93,0.01,386.79,0.09
6.65,473,9.250,0.001,8.421,0.001,5.178,0.002,106.94,0.01,385.80,0.09
6.33,308,9.244,0.001,8.417,0.001,5.179,0.002,106.95,0.01,385.41,0.09
6.88,1280,9.315,0.001,8.473,0.001,5.198,0.002,107.03,0.01,392.23,0.09
6.20,1072,9.303,0.001,8.476,0.001,5.197,0.002,107.02,0.01,391.85,0.09
5.78,872,9.298,0.001,8.460,0.001,5.198,0.002,107.04,0.01,390.93,0.09
5.50,672,9.292,0.001,8.451,0.001,5.199,0.002,107.05,0.01,390.28,0.09
5.04,471,9.287,0.001,8.443,0.001,5.197,0.002,107.06,0.01,389.57,0.09
4.73,307,9.284,0.001,8.438,0.001,5.195,0.002,107.07,0.01,389.06,0.09
5.03,1278,9.369,0.001,8.525,0.001,5.207,0.002,107.04,0.01,397.06,0.09
4.59,1072,9.342,0.001,8.518,0.001,5.213,0.001,107.15,0.01,396.36,0.06
4.23,872,9.339,0.001,8.507,0.001,5.209,0.002,107.10,0.01,395.49,0.09
3.88,673,9.336,0.001,8.497,0.001,5.205,0.002,107.09,0.01,394.69,0.09
3.47,472,9.331,0.001,8.485,0.001,5.205,0.002,107.13,0.01,393.77,0.09
3.17,307,9.325,0.001,8.485,0.001,5.204,0.002,107.11,0.01,393.16,0.09
3.63,1276,9.387,0.001,8.542,0.002,5.243,0.001,107.26,0.01,401.46,0.08
3.24,1073,9.377,0.001,8.542,0.001,5.236,0.002,107.24,0.01,400.53,0.09
2.88,873,9.373,0.001,8.531,0.001,5.238,0.002,107.23,0.01,400.05,0.09
2.48,672,9.369,0.001,8.524,0.001,5.233,0.002,107.20,0.01,399.20,0.09
2.12,471,9.363,0.001,8.520,0.001,5.229,0.002,107.17,0.01,398.51,0.09
1.77,308,9.354,0.001,8.509,0.001,5.232,0.001,107.22,0.01,397.76,0.05
2.17,1275,9.443,0.001,8.561,0.001,5.275,0.001,107.52,0.01,406.70,0.06
1.68,1073,9.438,0.001,8.556,0.002,5.271,0.001,107.49,0.01,405.97,0.07
1.36,873,9.423,0.001,8.560,0.001,5.265,0.001,107.43,0.01,405.12,0.09
0.95,671,9.417,0.001,8.526,0.001,5.277,0.001,107.50,0.01,404.08,0.06
0.61,473,9.411,0.001,8.521,0.001,5.269,0.001,107.41,0.01,403.15,0.07
0.41,308,9.403,0.001,8.497,0.002,5.281,0.001,107.70,0.01,401.94,0.09
