run,pressure_gpa,volume_a3_per_formula_unit
1,3.14,55.131
1,3.81,54.214
1,4.75,52.796
1,5.54,51.743
1,7.03,50.089
1,8.85,48.403
1,10.1,47.384
1,11.9,46.136
1,13.5,45.046
1,15.9,43.742
1,18.4,42.446
1,20.7,41.495
1,22.9,40.512
1,25.9,39.444
1,28.4,38.76
1,31.2,37.93
1,34.3,37.105
1,37.0,36.459
2,22.7,40.614
2,28.5,38.873
2,36.2,36.685
2,41.6,35.533
2,48.0,34.32
2,54.0,33.391
2,58.8,32.658
2,65.1,31.763
2,70.3,31.049
2,74.5,30.598
2,79.6,30.107
2,86.7,29.318
2,92.2,28.799
2,97.8,28.342
2,103.0,27.962
2,111.0,27.397
2,118.0,26.961
2,125.0,26.52
2,132.0,26.109
2,138.0,25.725
2,144.0,25.374
2,152.0,24.961
2,157.0,24.78
2,162.0,24.547
2,165.0,24.414
3,2.55,56.443
3,3.36,55.106
3,3.59,54.599
3,3.92,54.143
3,6.22,51.034
3,6.52,50.662
3,8.62,48.616
3,9.46,47.901
3,10.1,47.433
3,11.6,46.376
3,14.3,44.632
3,15.0,44.201
3,16.9,43.252
3,24.1,40.094
3,27.7,38.921
3,33.3,37.306
3,37.4,36.264
3,41.9,35.252
3,47.2,34.423
3,52.2,33.542
3,56.9,32.737
3,62.7,31.909
3,67.4,31.31
3,71.4,30.822
3,75.3,30.304
3,75.6,30.279
3,79.4,29.999
3,83.2,29.594
3,88.2,29.183
3,92.2,28.801
3,96.7,28.428
3,100.0,28.149
3,105.0,27.766
3,105.0,27.763
3,107.0,27.601
3,109.0,27.464
3,110.0,27.436
4,2.2,56.978
4,2.51,56.325
4,3.33,54.865
4,5.63,51.587
4,6.34,50.762
4,7.74,49.296
4,9.04,48.113
4,10.6,46.914
4,12.2,45.797
4,14.1,44.599
4,15.4,43.808
4,17.4,42.786
4,19.6,41.774
4,22.3,40.677
4,26.0,39.376
4,28.4,38.615
4,31.4,37.742
4,33.8,37.096
4,36.9,36.334
4,40.9,35.44
4,45.0,34.622
4,45.3,34.578
4,49.3,33.816
4,53.3,33.156
5,3.27,54.985
5,3.85,53.976
5,4.53,52.998
5,5.43,51.775
5,7.46,49.554
5,7.9,49.108
5,8.24,48.814
5,9.58,47.665
5,11.2,46.481
5,12.3,45.804
5,12.2,45.771
5,13.8,44.822
5,14.0,44.618
5,15.7,43.671
5,17.7,42.719
5,19.5,41.901
5,20.4,41.515
