run,pressure_gpa,pressure_uncertainty_gpa,normalized_volume,normalized_volume_uncertainty
210789,2.26,0.07,0.7889,0.0023
140289,4.68,0.05,0.7494,0.0014
111188,9.25,0.33,0.6705,0.0025
020389,10.9,1.0,0.6660,0.0021
171188,13.6,2.2,0.6370,0.0017
060389,16.0,1.5,0.6290,0.0075
160689,21.4,0.9,0.6059,0.0045
181188,21.9,4.7,0.5794,0.0027
120689,22.8,4.7,0.5785,0.0077
060489,30.8,1.3,0.5429,0.0018
070489,36.5,5.0,0.5319,0.0022
090489,43.9,1.8,0.4955,0.0016
120489,49.5,2.3,0.4865,0.0018
150489,55.8,3.7,0.4775,0.0021
