run,pressure_gpa,volume_a3_per_formula_unit
1,3.14,48.145
1,3.81,47.36
1,4.75,46.267
1,5.54,45.423
1,7.03,44.093
1,8.85,42.726
1,10.1,41.832
1,11.9,40.79
1,13.5,39.906
1,15.9,38.749
1,18.4,37.774
1,20.7,36.866
1,22.9,36.083
1,25.9,35.214
1,28.4,34.555
1,31.2,33.875
1,34.3,33.134
1,37.0,32.605
2,22.7,36.216
2,28.5,34.702
2,36.2,32.849
2,41.6,31.758
2,48.0,30.643
2,53.8,29.827
2,58.6,29.236
2,65.1,28.435
2,70.3,27.861
2,74.5,27.433
2,79.6,27.027
2,86.7,26.409
2,92.2,25.998
2,97.8,25.719
2,103.0,25.2
2,111.0,24.737
2,118.0,24.361
2,125.0,23.881
2,132.0,23.553
2,138.0,23.251
2,144.0,23.003
2,152.0,22.717
2,157.0,22.452
2,161.0,22.252
2,165.0,22.065
3,3.14,48.06
3,3.45,47.783
3,3.82,47.33
3,5.72,45.208
3,5.72,45.208
3,6.13,44.806
3,6.13,44.799
3,6.44,44.505
3,8.47,42.956
3,9.39,42.279
3,10.0,41.801
3,11.4,41.016
3,13.9,39.566
3,14.9,39.178
3,23.9,35.813
3,27.5,34.721
3,32.9,33.333
3,37.2,32.425
3,41.7,31.539
3,47.0,30.701
3,51.8,29.994
3,56.7,29.339
3,62.5,28.619
3,67.2,28.076
3,71.2,27.663
3,75.3,27.213
3,75.6,27.186
3,78.9,26.911
3,82.9,26.565
3,87.8,26.187
3,92.1,25.866
3,96.6,25.538
3,99.9,25.293
3,105.0,24.963
3,105.0,24.959
3,106.0,24.834
3,109.0,24.69
3,110.0,24.664
4,2.56,48.991
4,3.39,47.81
4,5.66,45.235
4,5.66,45.247
4,6.45,44.501
4,7.86,43.316
4,9.17,42.344
4,10.8,41.287
4,12.3,40.42
4,14.2,39.416
4,15.6,38.765
4,17.5,37.788
4,19.8,37.016
4,22.4,36.241
4,26.1,34.916
4,28.5,34.314
4,31.5,33.63
4,34.0,33.09
4,37.1,32.37
4,41.1,31.639
4,45.1,31.001
4,45.4,30.98
4,49.4,30.246
4,53.4,29.666
5,2.78,48.656
5,3.31,47.964
5,3.9,47.159
5,4.59,46.353
5,5.53,45.369
5,7.57,43.554
5,7.93,43.214
5,8.3,42.968
5,9.66,42.019
5,11.2,41.018
5,12.1,40.48
5,12.3,40.421
5,13.9,39.583
5,14.1,39.472
5,15.9,38.661
5,17.8,37.855
5,19.5,37.161
5,20.5,36.844
