run,pressure_gpa,pressure_uncertainty_gpa,temperature_k,temperature_uncertainty_k,platinum_lattice_a_angstrom,platinum_lattice_a_uncertainty_angstrom,platinum_unit_cell_volume_a3,platinum_unit_cell_volume_uncertainty_a3,platinum_differential_stress_t_gpa,platinum_differential_stress_t_uncertainty_gpa,kcl_lattice_a_angstrom,kcl_lattice_a_uncertainty_angstrom,kcl_unit_cell_volume_a3,kcl_unit_cell_volume_uncertainty_a3,kcl_st,kcl_st_uncertainty
1,126.2,0.3,300,,3.6188,0.0004,47.39,0.01,0.92,0.32,2.8682,0.0039,23.5946,0.0957,0.0021,0.0130
1,143.7,1.3,300,,3.5950,0.0017,46.46,0.07,0.35,0.97,2.8256,0.0014,22.5587,0.0329,0.0068,0.0029
1,163.5,2.1,300,,3.5704,0.0025,45.52,0.10,1.82,1.49,2.7919,0.0040,21.7624,0.0946,0.0072,0.0056
1,189.3,1.1,300,,3.5413,0.0012,44.41,0.04,0.85,1.81,2.7522,0.0027,20.8474,0.0625,0.0060,0.0021
1,201.9,2.0,300,,3.5282,0.0020,43.92,0.07,1.40,,2.7346,0.0009,20.4485,0.0210,-0.0114,
1,212.2,2.2,300,,3.5178,0.0022,43.53,0.08,0.48,1.56,2.7217,0.0004,20.1622,0.0086,0.0127,
1,228.6,2.0,300,,3.5021,0.0018,42.95,0.07,0.68,0.13,2.6997,0.0004,19.6761,0.0094,0.0129,
2,84.8,0.3,300,,3.6853,0.0006,50.05,0.02,1.00,0.26,2.9757,0.0011,26.3493,0.0297,0.0030,0.0020
2,103.7,0.5,300,,3.6528,0.0008,48.74,0.03,0.97,0.19,2.9187,0.0005,24.8627,0.0137,0.0035,0.0010
2,119.0,0.4,300,,3.6293,0.0005,47.80,0.02,0.81,0.43,2.8829,0.0012,23.9597,0.0300,0.0081,0.0025
3,10.0,0.2,1640,10,3.8964,0.0003,59.16,0.01,0.06,0.10,3.5717,0.0020,45.5635,0.0769,0.0058,0.0026
3,10.2,0.3,1780,10,3.8839,0.0005,58.59,0.02,0.14,0.11,3.5795,0.0036,45.8620,0.1389,-0.0019,0.0050
3,9.7,0.3,1480,10,3.8488,0.0004,57.01,0.02,0.03,0.13,3.5790,0.0014,45.8456,0.0542,-0.0019,0.0021
3,6.0,0.1,300,,3.8097,0.0010,55.29,0.04,0.11,0.07,3.5581,0.0008,45.0463,0.0321,-0.0018,0.0013
3,14.1,0.3,2080,10,3.9040,0.0002,59.50,0.01,0.17,0.15,3.5062,0.0001,43.1025,0.0035,0.0003,0.0001
3,9.0,0.1,300,,3.9019,0.0001,59.40,0.01,0.00,0.13,3.4902,0.0012,42.5142,0.0428,0.0011,0.0016
3,22.8,0.4,2160,30,3.8373,0.0004,56.51,0.02,0.29,0.21,3.3718,0.0004,38.3338,0.0134,0.0005,0.0006
