press_load_kn,temperature_celsius,nacl_file,nacl_lattice_a_angstrom,nacl_lattice_a_esd_angstrom,pressure_kbar,pressure_esd_kbar,kcl_file,b2_kcl_cell_volume_a3,b2_kcl_cell_volume_esd_a3,molar_volume_cm3_mol
2026,23,r34515,5.4315,0.0007,36.3,0.2,r34511,47.57,0.03,28.65
2500,23,r34519,5.3896,0.0009,46.2,0.2,r34523,46.40,0.04,27.94
3000,23,r34531,5.3575,0.0015,54.6,0.4,r34527,45.59,0.04,27.46
3500,23,r34535,5.3288,0.0020,62.7,0.6,r34539,44.82,0.04,26.99
4000,23,r34547,5.3074,0.0021,69.1,0.6,r34543,44.28,0.05,26.67
4500,23,r34551,5.2855,0.0020,76.0,0.6,r34555,43.66,0.08,26.29
5000,23,r34563,5.2693,0.0015,81.4,0.5,r34559,43.25,0.07,26.05
2000,24,r35189,5.4572,0.0006,31.8,0.1,r35193,48.20,0.01,29.03
2000,100,r35201,5.4575,0.0003,33.9,0.1,r35197,48.36,0.01,29.13
2500,100,r35245,5.4641,0.0038,32.5,0.8,r35249,48.52,0.11,29.23
3000,100,r35257,5.4283,0.0022,40.4,0.5,r35253,47.43,0.09,28.56
4000,100,r35305,5.3770,0.0054,53.0,1.4,r35301,45.96,0.03,27.68
4520,100,r35353,5.3551,0.0073,58.9,2.0,r35349,45.37,0.05,27.33
5000,100,r35405,5.3204,0.0019,68.9,0.6,r35401,44.51,0.14,26.81
2000,200,r35205,5.4705,0.0005,34.0,0.1,r35209,48.67,0.05,29.31
3000,200,r35261,5.4295,0.0031,43.0,0.7,r35265,47.37,0.06,28.53
4000,200,r35309,5.3801,0.0050,55.1,1.3,r35313,46.04,0.08,27.73
4520,200,r35357,5.3583,0.0070,60.9,1.9,r35361,45.24,0.13,27.25
5000,200,r35409,5.3217,0.0017,71.4,0.5,r35413,44.52,0.12,26.81
2000,300,r35217,5.4856,0.0026,33.8,0.5,r35213,49.05,0.03,29.54
3000,300,r35273,5.4371,0.0038,44.1,0.9,r35269,47.46,0.07,28.58
4000,300,r35321,5.3825,0.0021,57.3,0.5,r35317,46.03,0.05,27.72
4520,300,r35369,5.3568,0.0075,64.2,2.0,r35365,45.19,0.16,27.22
5000,300,r35421,5.3248,0.0016,73.3,0.5,r35417,44.58,0.11,26.85
2000,400,r35221,5.5004,0.0033,33.8,0.6,r35225,49.38,0.09,29.74
3000,400,r35277,5.4414,0.0035,46.0,0.8,r35281,47.53,0.02,28.63
4000,400,r35325,5.3861,0.0030,59.2,0.8,r35329,45.99,0.04,27.70
4520,400,r35373,5.3554,0.0056,67.4,1.5,r35377,45.37,0.02,27.33
5000,400,r35425,5.3278,0.0016,75.3,0.5,r35429,44.60,0.06,26.86
2000,500,r35233,5.5123,0.0023,34.4,0.4,r35229,49.96,0.15,30.09
3000,500,r35289,5.4436,0.0031,48.4,0.7,r35285,47.75,0.02,28.76
4000,500,r35337,5.3875,0.0029,61.7,0.7,r35333,46.03,0.06,27.72
4522,500,r35389,5.3431,0.0011,73.7,0.3,r35385,45.14,0.15,27.19
5000,500,r35437,5.3313,0.0023,77.1,0.7,r35433,44.62,0.05,26.88
2000,600,r35237,5.5327,0.0048,33.6,0.8,r35241,50.51,0.14,30.42
3000,600,r35293,5.4513,0.0035,49.5,0.8,r35297,48.04,0.02,28.93
4000,600,r35341,5.3912,0.0030,63.6,0.8,r35345,46.15,0.01,27.80
4522,600,r35393,5.3483,0.0013,75.1,0.4,r35397,45.25,0.13,27.25
5000,600,r35441,5.3351,0.0024,78.9,0.7,r35445,44.69,0.09,26.92
