source_line,temperature_k,pressure_gpa,pressure_sigma_gpa,mg_perovskite_volume_a3,mg_perovskite_volume_sigma_a3,ferropericlase_volume_a3,ferropericlase_volume_sigma_a3,ca_perovskite_volume_a3,ca_perovskite_volume_sigma_a3,pressure_medium_volume_a3,pressure_medium_volume_sigma_a3,pressure_medium_volume_2_a3,pressure_medium_volume_2_sigma_a3,gold_volume_a3,gold_volume_sigma_a3
2,1600,32.75,1.15,152.720,0.053,68.260,0.031,42.594,0.096,36.333,0.014,,,61.216,0.006
3,1792,32.03,1.16,152.841,0.050,68.369,0.029,42.576,0.100,36.401,0.014,,,61.672,0.009
4,1959,33.85,1.15,152.843,0.031,68.303,0.019,42.606,0.061,36.355,0.008,,,61.547,0.007
5,2127,34.72,1.15,153.066,0.030,68.386,0.020,42.713,0.054,36.460,0.009,,,61.627,0.006
6,2192,36.65,1.16,153.129,0.033,68.419,0.021,42.571,0.065,36.453,0.011,,,61.323,0.008
7,300,27.56,0.05,150.080,0.031,66.994,0.018,41.678,0.082,36.340,0.005,,,60.320,0.008
9,1784,33.03,1.18,152.460,0.156,67.809,0.080,42.056,0.461,36.727,0.061,,,61.444,0.014
10,1749,32.55,1.21,152.969,0.112,67.995,0.065,42.028,0.355,36.876,0.028,,,61.490,0.020
11,1869,33.13,1.19,153.142,0.095,68.132,0.058,42.510,0.396,36.896,0.025,,,61.557,0.015
12,1975,33.14,1.17,153.612,0.105,68.319,0.053,42.598,0.306,36.961,0.022,,,61.725,0.012
13,2103,34.56,1.15,153.366,0.059,68.316,0.033,42.682,0.148,36.798,0.017,,,61.625,0.007
14,2050,34.09,1.16,153.776,0.064,68.549,0.037,42.822,0.151,36.805,0.013,,,61.640,0.010
15,2073,33.69,1.19,154.168,0.103,68.642,0.069,42.757,0.181,36.774,0.012,,,61.764,0.015
17,2017,33.26,1.15,152.678,0.063,68.075,0.043,42.486,0.163,36.611,0.018,,,61.767,0.007
18,2423,36.17,1.23,154.604,0.100,68.687,0.047,43.134,0.323,36.662,0.030,,,61.790,0.023
19,300,30.95,0.13,149.078,0.037,66.225,0.025,41.364,0.104,36.050,0.011,,,59.687,0.022
20,1466,35.16,1.33,151.618,0.063,67.242,0.036,42.080,0.142,36.225,0.017,37.196,0.014,60.529,0.040
22,1684,35.35,1.28,151.790,0.048,67.365,0.034,42.231,0.081,36.123,0.018,36.809,0.027,60.813,0.032
