series,pdf_object_or_vertex_index,pdf_x_pt,pdf_y_from_top_pt,plotted_pressure_gpa,atomic_volume_a3
published_curve,0,229.172054200,117.570028300,13.115431955,25.000000000
published_curve,1,229.673140000,119.366474200,13.583358881,24.900753917
published_curve,2,230.120918800,121.216227100,14.001506347,24.798562846
published_curve,3,230.574028300,123.018003700,14.424631760,24.699022264
published_curve,4,231.075114100,124.814449600,14.892558686,24.599776181
published_curve,5,231.570869200,126.616226200,15.355507666,24.500235599
published_curve,6,232.071955000,128.412672100,15.823434592,24.400989516
published_curve,7,232.621017100,130.262425000,16.336163033,24.298798445
published_curve,8,233.122102900,132.058870900,16.804089959,24.199552362
published_curve,9,233.671165000,133.860647500,17.316818400,24.100011780
published_curve,10,234.220227100,135.662424100,17.829546840,24.000471198
published_curve,11,234.822596200,137.458870000,18.392054741,23.901225115
published_curve,12,235.371658300,139.308622900,18.904783182,23.799034044
published_curve,13,235.968696700,141.105068800,19.462313136,23.699787961
published_curve,14,236.571065800,142.906845400,20.024821037,23.600247379
published_curve,15,237.221411200,144.703291300,20.632130452,23.501001296
published_curve,16,237.818449600,146.505067900,21.189660407,23.401460714
published_curve,17,238.468795000,148.354820800,21.796969822,23.299269643
published_curve,18,239.119140400,150.151266700,22.404279237,23.200023560
published_curve,19,239.817462100,151.953043300,23.056390166,23.100482978
published_curve,20,240.515783800,153.749489200,23.708501095,23.001236895
published_curve,21,241.219436200,155.599242100,24.365589970,22.899045824
published_curve,22,241.917757900,157.401018700,25.017700900,22.799505242
published_curve,23,242.664055900,159.197464600,25.714613343,22.700259159
published_curve,24,243.415684600,160.999241200,26.416503732,22.600718577
published_curve,25,244.167313300,162.795687100,27.118394122,22.501472494
published_curve,26,244.966918300,164.645440000,27.865086026,22.399281423
published_curve,27,245.766523300,166.441885900,28.611777929,22.300035340
published_curve,28,246.614104600,168.243662500,29.403271347,22.200494758
published_curve,29,247.461685900,170.045439100,30.194764765,22.100954176
published_curve,30,248.314597900,171.841885000,30.991236129,22.001708093
published_curve,31,249.162179200,173.691637900,31.782729547,21.899517022
published_curve,32,250.063067500,175.488083800,32.624002425,21.800270939
published_curve,33,251.011932100,177.289860400,33.510076817,21.700730357
published_curve,34,251.960796700,179.086306300,34.396151210,21.601484274
published_curve,35,252.909661300,180.888082900,35.282225602,21.501943692
published_curve,36,253.858525900,182.737835800,36.168299994,21.399752621
published_curve,37,254.908673800,184.534281700,37.148955361,21.300506538
published_curve,38,255.910845400,186.336058300,38.084809214,21.200965956
published_curve,39,256.960993300,188.132504200,39.065464581,21.101719873
published_curve,40,258.059117500,189.982257100,40.090921462,20.999528802
published_curve,41,259.157241700,191.784033700,41.116378343,20.899988220
published_curve,42,260.255365900,193.580479600,42.141835224,20.800742137
published_curve,43,261.406797100,195.382256200,43.217071565,20.701201555
published_curve,44,262.606204600,197.178702100,44.337109421,20.601955472
published_curve,45,263.805612100,199.028455000,45.457147276,20.499764401
published_curve,46,265.052995900,200.824900900,46.621986646,20.400518318
published_curve,47,266.305710400,202.626677500,47.791803962,20.300977736
published_curve,48,267.606401200,204.428454100,49.006422792,20.201437154
published_curve,49,268.901761300,206.224900000,50.216063676,20.102191071
published_curve,50,270.255759100,208.074652900,51.480461966,20.000000000
published_curve,51,271.652402500,209.871098800,52.784683824,19.900753917
published_curve,52,273.049045900,211.672875400,54.088905683,19.801213335
published_curve,53,274.498996300,213.469321300,55.442907001,19.701967252
published_curve,54,276.002253700,215.319074200,56.846687780,19.599776181
published_curve,55,277.548156700,217.120850800,58.290292127,19.500235599
published_curve,56,279.099390400,218.917296700,59.738874420,19.400989516
published_curve,57,280.698600400,220.719073300,61.232258228,19.301448934
published_curve,58,282.297810400,222.515519200,62.725642035,19.202202851
published_curve,59,283.998303700,224.365272100,64.313606817,19.100011780
published_curve,60,285.693466300,226.167048700,65.896593653,19.000471198
published_curve,61,287.441935900,227.963494600,67.529359949,18.901225115
published_curve,62,289.243712500,229.765271200,69.211905705,18.801684533
published_curve,63,291.045489100,231.561717100,70.894451461,18.702438450
published_curve,64,292.943218300,233.411470000,72.666600246,18.600247379
published_curve,65,294.888923800,235.207915900,74.483550545,18.501001296
published_curve,66,296.839960000,237.009692500,76.305478790,18.401460714
published_curve,67,298.886948800,238.811469100,78.217010063,18.301920132
published_curve,68,300.939268300,240.607915000,80.133519283,18.202674049
published_curve,69,303.039564100,242.457667900,82.094830016,18.100482978
published_curve,70,305.235812500,244.254113800,84.145743778,18.001236895
published_curve,71,307.485367900,246.055890400,86.246437001,17.901696313
published_curve,72,309.734923300,247.852336300,88.347130223,17.802450230
published_curve,73,312.080431300,249.702089200,90.537426474,17.700259159
published_curve,74,314.479246300,251.503865800,92.777502185,17.600718577
published_curve,75,316.931368300,253.300311700,95.067357356,17.501472494
published_curve,76,319.479442900,255.102088300,97.446815556,17.401931912
published_curve,77,322.027517500,256.898534200,99.826273755,17.302685829
published_curve,78,324.676875400,258.748287100,102.300312930,17.200494758
published_curve,79,327.422185900,260.550063700,104.863955132,17.100954176
published_curve,80,330.172827100,262.346509600,107.432575281,17.001708093
published_curve,81,333.019420900,264.148286200,110.090798458,16.902167511
published_curve,82,335.972628700,265.944732100,112.848580555,16.802921428
published_curve,83,338.968482100,267.794485000,115.646186221,16.700730357
published_curve,84,342.065618800,269.590930900,118.538372861,16.601484274
published_curve,85,345.216062500,271.392707500,121.480338962,16.501943692
published_curve,86,348.462458800,273.194484100,124.511908091,16.402403110
published_curve,87,351.815469100,274.990930000,127.643036140,16.303157027
published_curve,88,355.211125000,276.840629593,130.813987758,16.200968901
published_curve,89,358.708064200,278.637022186,134.079520350,16.101725763
published_curve,90,362.306286700,280.438852093,137.439633916,16.002182236
published_curve,91,366.005792500,282.235244686,140.894328457,15.902939098
published_curve,92,369.801250900,284.085210814,144.438626027,15.800736247
published_curve,93,373.650016300,285.886774186,148.032703056,15.701207445
published_curve,94,377.648041300,287.683433314,151.766162575,15.601949582
