series,pdf_object_or_vertex_index,pdf_x_pt,pdf_y_from_top_pt,plotted_pressure_gpa,atomic_volume_a3
kuznetsov_squares,16,238.316891373,148.101591227,21.655118272,23.313259512
kuznetsov_squares,18,238.068949854,147.301986227,21.423584046,23.357434327
kuznetsov_squares,20,235.918076373,140.409391127,19.415042561,23.738221227
kuznetsov_squares,22,235.369014273,139.657866376,18.902314120,23.779739810
kuznetsov_squares,24,234.270786124,134.508306227,17.876760169,24.064231358
kuznetsov_squares,26,232.170594273,127.863652646,15.915546506,24.431320532
kuznetsov_squares,28,230.272761124,120.968328227,14.143300651,24.812258217
kuznetsov_squares,30,229.825032966,119.715613727,13.725200475,24.881465426
kuznetsov_squares,32,229.622413059,117.418082027,13.535988747,25.008394393
dewaele_circles,34,245.316079150,168.243662500,28.191141490,22.200494758
dewaele_circles,36,256.611832450,189.033392500,38.739409116,21.051949582
dewaele_circles,38,264.005513350,198.977813350,45.643820252,20.502562139
dewaele_circles,40,272.452007500,210.071000050,53.531375728,19.889710213
dewaele_circles,42,278.049242500,219.069221650,58.758219054,19.392596301
dewaele_circles,44,284.395440850,225.615321250,64.684463796,19.030951820
dewaele_circles,46,289.294354150,229.714629550,69.259196192,18.804482271
dewaele_circles,48,295.240750000,236.210087500,74.812094982,18.445635528
dewaele_circles,50,300.089021650,239.059346650,79.339536892,18.288225939
dewaele_circles,52,306.683097550,244.256779150,85.497256124,18.001089645
dewaele_circles,54,314.183392450,249.955297450,92.501226180,17.686270468
dewaele_circles,56,321.678356650,257.999323750,99.500218291,17.241871834
dewaele_circles,58,329.322580450,260.997842500,106.638592890,17.076216280
dewaele_circles,60,335.271641650,265.345028350,112.193980653,16.836052539
dewaele_circles,62,341.865717550,269.492312950,118.351699886,16.606932501
dewaele_circles,64,348.113297950,273.543644950,124.185852626,16.383113441
dewaele_circles,66,355.261766650,276.939274197,130.861278245,16.195519201
