point_id,phase,symbol_fill,marker_confidence,pixel_x,pixel_y,v_over_v0_fcc,reduced_pressure_gpa,atomic_volume_a3_per_atom,estimated_v_over_v0_uncertainty,estimated_pressure_uncertainty_gpa
HCP-O01,hcp,open,high,438,179,0.698890,35.121,21.1813,0.0005,0.10
HCP-O02,hcp,open,high,506,257,0.716295,31.646,21.7088,0.0005,0.10
HCP-O03,hcp,open,medium,618,414,0.744963,24.651,22.5776,0.0010,0.20
HCP-O04,hcp,open,medium,631,431,0.748291,23.893,22.6784,0.0010,0.20
HCP-S01,hcp,solid,medium,709,480,0.768256,21.710,23.2835,0.0010,0.20
HCP-O05,hcp,open,medium,762,507,0.781822,20.507,23.6947,0.0010,0.20
HCP-O06,hcp,open,medium,774,519,0.784894,19.973,23.7878,0.0010,0.20
HCP-S02,hcp,solid,low,778,553,0.785918,18.458,23.8188,0.0015,0.30
HCP-S03,hcp,solid,low,813,577,0.794876,17.389,24.0903,0.0015,0.30
HCP-O07,hcp,open,medium,836,579,0.800763,17.300,24.2687,0.0010,0.20
HCP-O08,hcp,open,medium,835,597,0.800508,16.498,24.2610,0.0010,0.20
HCP-O09,hcp,open,medium,861,600,0.807163,16.364,24.4627,0.0010,0.20
HCP-S04,hcp,solid,low,852,612,0.804859,15.829,24.3929,0.0015,0.30
HCP-O10,hcp,open,medium,874,627,0.810490,15.161,24.5635,0.0010,0.20
HCP-O11,hcp,open,medium,891,646,0.814841,14.314,24.6954,0.0010,0.20
HCP-S05,hcp,solid,low,905,653,0.818425,14.003,24.8040,0.0015,0.30
HCP-O12,hcp,open,low,921,656,0.822520,13.869,24.9281,0.0015,0.30
HCP-S06,hcp,solid,low,932,673,0.825336,13.112,25.0135,0.0015,0.30
HCP-O13,hcp,open,medium,937,694,0.826616,12.176,25.0522,0.0010,0.20
HCP-O14,hcp,open,medium,1012,708,0.845813,11.552,25.6341,0.0010,0.20
HCP-S07,hcp,solid,low,1016,731,0.846837,10.527,25.6651,0.0015,0.30
