pressure_gpa,volume_ratio,pressure_digitization_uncertainty_gpa,volume_ratio_digitization_uncertainty
0.0000,1.000000,0.08,0.0015
0.1163,0.997625,0.08,0.0015
0.1752,0.997025,0.08,0.0015
0.2989,0.993735,0.08,0.0015
0.4379,0.991515,0.08,0.0015
0.5728,0.988259,0.08,0.0015
0.8547,0.983125,0.08,0.0015
0.9721,0.981300,0.08,0.0015
1.1652,0.978510,0.08,0.0015
1.2874,0.975788,0.08,0.0015
1.3723,0.974463,0.08,0.0015
1.4354,0.973513,0.08,0.0015
1.4588,0.973071,0.08,0.0015
1.5258,0.971549,0.08,0.0015
1.5637,0.971445,0.08,0.0015
1.6338,0.970134,0.08,0.0015
1.6703,0.969569,0.08,0.0015
1.7416,0.968739,0.08,0.0015
1.7803,0.968307,0.08,0.0015
1.8340,0.967002,0.08,0.0015
1.8418,0.967762,0.08,0.0015
1.9200,0.965701,0.08,0.0015
2.0049,0.964545,0.08,0.0015
2.0560,0.963376,0.08,0.0015
2.0767,0.963217,0.08,0.0015
2.1099,0.962781,0.08,0.0015
2.1724,0.961308,0.08,0.0015
2.2395,0.960139,0.08,0.0015
2.2395,0.960127,0.08,0.0015
2.3172,0.959957,0.08,0.0015
2.3908,0.957904,0.08,0.0015
2.3889,0.958015,0.08,0.0015
2.4826,0.955548,0.08,0.0015
