run,pressure_gpa,volume_a3_per_formula_unit
1,0.722,16.181
1,1.32,16.04
1,1.95,15.891
1,2.5,15.7684
1,3.14,15.6498
1,3.81,15.5367
1,4.75,15.3677
1,5.54,15.2234
1,7.03,14.9857
1,8.85,14.7288
1,10.1,14.5479
1,11.9,14.331
1,13.5,14.1368
1,15.9,13.871
1,18.4,13.6116
1,20.7,13.3988
1,22.9,13.2003
1,25.9,12.9683
1,28.4,12.7853
1,31.2,12.588
1,37,12.2217
2,21.3,13.3466
2,28.3,12.7874
2,30.6,12.606
2,34.8,12.3274
2,40.4,12.0328
2,44.7,11.8066
2,48.8,11.6103
2,53.8,11.3973
2,58.2,11.198
2,64.8,10.9605
2,71.7,10.7381
2,75.8,10.5914
2,81.0,10.4369
2,86.4,10.3086
2,89.3,10.2328
2,93.2,10.1232
2,97.4,10.022
2,102.1,9.91426
2,105.7,9.84496
2,109.3,9.74253
3,0.868,16.0879
3,1.46,15.9574
3,2.29,15.8032
3,2.96,15.6871
3,3.85,15.4849
3,4.88,15.3078
3,5.87,15.1685
3,6.68,15.0231
3,7.87,14.8317
3,9.12,14.6591
3,10.2,14.537
3,11.3,14.393
3,13.0,14.1842
3,14.8,13.9848
3,16.7,13.7792
3,18.9,13.5672
3,21.9,13.2994
3,24.3,13.1015
3,27.6,12.8561
