phase,pressure_gpa,atomic_volume_a3,atomic_volume_uncertainty_a3
bcc,0,21.6225,
bcc,1.48,19.4053,0.0014
bcc,2.16,18.6813,0.0042
bcc,2.68,18.1667,0.0031
bcc,2.94,17.9452,0.0023
bcc,3.16,17.7704,0.0021
bcc,3.40,17.5503,0.0024
bcc,4.31,16.8928,0.0031
bcc,5.16,16.3439,0.0020
bcc,5.55,16.1220,0.0020
bcc,5.96,15.9002,0.0021
bcc,6.96,15.3847,0.0027
bcc,7.50,15.1491,0.0040
fcc,7.50,15.1251,0.0018
fcc,8.35,14.7514,0.0018
fcc,9.08,14.4558,0.0020
fcc,9.83,14.1789,0.0028
fcc,11.10,13.7842,0.0026
fcc,13.01,13.1857,0.0021
fcc,14.00,12.9326,0.0027
fcc,14.60,12.7879,0.0033
fcc,16.10,12.4137,0.0021
fcc,18.00,12.0048,0.0024
fcc,20.05,11.6082,0.0025
fcc,20.05,11.5971,0.0035
fcc,21.10,11.4371,0.0020
