source_row,pressure_gpa,pressure_sd_gpa,quartz_volume_a3,quartz_volume_sd_a3,lattice_a_angstrom,lattice_a_sd_angstrom,volume_ratio,volume_ratio_sd
1,0.0001,,113.007,0.007,4.26264,0.00008,1.00000,
2,0.419,0.006,111.767,0.012,4.25903,0.00011,0.99738,0.00010
3,0.699,0.004,111.007,0.008,4.25644,0.00009,0.99564,0.00009
4,1.243,0.004,109.606,0.006,4.25152,0.00010,0.99219,0.00009
5,2.272,0.005,107.244,0.007,4.24291,0.00007,0.98617,0.00008
6,3.128,0.007,105.509,0.010,4.23559,0.00010,0.98108,0.00009
7,4.535,0.006,103.007,0.009,4.22446,0.00004,0.97337,0.00006
8,6.182,0.007,100.491,0.007,4.21181,0.00008,0.96465,0.00008
9,7.309,0.007,98.968,0.006,4.20359,0.00006,0.95901,0.00007
10,8.134,0.007,97.936,0.005,4.19793,0.00007,0.95514,0.00008
11,8.923,0.008,97.009,0.007,4.19247,0.00009,0.95142,0.00009
