source_order,medium,reported_structure_branch,used_as_v0_prior,used_in_helium_cubic_fit,used_in_neon_cubic_fit,used_in_excluded_neon_hex_fit,pressure_gpa,pressure_standard_deviation_gpa,ruby1_wavelength_nm,ruby1_observation_status,ruby2_wavelength_nm,cubic_a_angstrom,cubic_a_standard_deviation_angstrom,cubic_volume_a3,cubic_volume_standard_deviation_a3,hexagonal_a_angstrom,hexagonal_a_standard_deviation_angstrom,hexagonal_c_angstrom,hexagonal_c_standard_deviation_angstrom,hexagonal_c_over_a,hexagonal_c_over_a_standard_deviation,hexagonal_volume_a3,hexagonal_volume_standard_deviation_a3
1,ambient,cubic,1,0,0,0,0.0001,,,,,4.2898,0.0004,78.94,0.02,,,,,,,,
2,helium,cubic,0,1,0,0,1.823,0.016,694.95,measured,694.95,4.2703,0.0012,77.87,0.07,3.0184,0.0017,7.404,0.010,2.453,0.004,58.42,0.10
3,helium,cubic,0,1,0,0,5.128,0.032,696.13,measured,696.14,4.2433,0.0012,76.40,0.07,3.0011,0.0016,7.345,0.009,2.448,0.004,57.29,0.09
4,helium,cubic,0,1,0,0,8.786,0.063,697.41,measured,697.45,4.2132,0.0012,74.79,0.07,2.9778,0.0016,7.307,0.010,2.454,0.004,56.11,0.10
5,helium,cubic,0,1,0,0,12.294,0.064,698.64,measured,698.67,4.1860,0.0013,73.35,0.07,2.9592,0.0017,7.255,0.010,2.452,0.004,55.02,0.10
6,helium,cubic,0,1,0,0,16.199,0.065,699.98,measured,700.01,4.1596,0.0013,71.97,0.07,2.9388,0.0014,7.221,0.009,2.457,0.004,54.01,0.08
7,helium,cubic,0,1,0,0,19.301,0.072,701.02,measured,701.06,4.1420,0.0012,70.97,0.07,2.9265,0.0016,7.179,0.010,2.453,0.004,53.24,0.09
8,helium,cubic,0,1,0,0,23.119,0.075,702.29,measured,702.33,4.1152,0.0015,69.69,0.08,2.9063,0.0018,7.151,0.010,2.461,0.004,52.31,0.10
9,helium,cubic,0,1,0,0,26.467,0.115,703.38,measured,703.44,4.1003,0.0011,68.94,0.06,2.8994,0.0014,7.102,0.008,2.449,0.003,51.70,0.08
10,helium,cubic,0,1,0,0,29.044,0.136,704.22,measured,704.28,4.0838,0.0014,68.11,0.07,2.8858,0.0019,7.086,0.011,2.455,0.005,51.10,0.11
11,helium,cubic,0,1,0,0,31.820,0.052,705.13,estimated_from_ruby2,705.15,4.0707,0.0013,67.46,0.07,2.8761,0.0017,7.067,0.010,2.457,0.004,50.63,0.10
12,helium,cubic,0,1,0,0,35.856,0.086,706.40,measured,706.44,4.0491,0.0013,66.38,0.07,2.8620,0.0017,7.021,0.010,2.453,0.004,49.80,0.10
13,helium,cubic,0,1,0,0,40.004,0.094,707.70,measured,707.74,4.0314,0.0015,65.52,0.07,2.8490,0.0019,6.993,0.011,2.455,0.005,49.16,0.11
14,helium,cubic,0,1,0,0,42.319,0.127,708.40,measured,708.46,4.0235,0.0013,65.12,0.07,2.8418,0.0016,6.991,0.010,2.460,0.004,48.89,0.09
15,helium,cubic,0,1,0,0,46.645,0.071,709.73,measured,709.77,4.0034,0.0011,64.16,0.05,2.8295,0.0013,6.953,0.015,2.457,0.006,48.21,0.11
16,helium,cubic,0,1,0,0,50.177,0.145,710.78,measured,710.84,3.9891,0.0015,63.48,0.08,2.820,0.002,6.914,0.012,2.452,0.005,47.62,0.11
17,helium,cubic,0,1,0,0,52.517,0.129,711.48,measured,711.53,3.9781,0.0014,62.95,0.07,2.8110,0.0019,6.903,0.011,2.456,0.005,47.24,0.10
