source_order,pressure_gpa,pressure_uncertainty_gpa,a_a,a_uncertainty_a,c_a,c_uncertainty_a,volume_a3,volume_uncertainty_a3,fit_included_bm2,fit_included_bm3
1,0.0,,4.6373,0.0004,15.00,0.01,279.4,0.2,1,0
2,0.1,0.002,4.6373,0.0007,14.96,0.01,278.6,0.4,1,0
3,0.6,0.012,4.6340,0.0004,14.98,0.01,278.5,0.2,1,0
4,0.8,0.016,4.625,0.001,14.95,0.03,276.9,0.7,1,0
5,2.1,0.042,4.614,0.002,14.89,0.03,274.6,0.8,1,0
6,2.7,0.054,4.632,0.003,14.83,0.05,275.5,1.4,1,0
7,3.5,0.070,4.617,0.001,14.86,0.02,274.3,0.6,1,0
8,4.0,0.080,4.6186,0.0008,14.80,0.01,273.3,0.3,1,0
9,4.1,0.082,4.605,0.002,14.86,0.03,272.8,0.8,1,0
10,4.6,0.092,4.606,0.001,14.75,0.03,271.0,0.7,1,1
11,5.0,0.100,4.600,0.002,14.71,0.04,269.7,0.9,1,1
12,5.7,0.114,4.604,0.001,14.70,0.03,269.9,0.6,1,1
13,7.3,0.146,4.5972,0.0009,14.63,0.02,267.7,0.4,1,1
14,9.0,0.180,4.581,0.001,14.54,0.03,264.2,0.7,1,1
15,10.2,0.204,4.565,0.001,14.45,0.03,260.9,0.7,1,1
16,10.7,0.214,4.588,0.003,14.31,0.07,260.7,1.6,1,1
17,17.7,0.354,4.548,0.003,14.09,0.06,252.4,1.3,1,1
18,19.7,0.394,4.536,0.003,14.08,0.08,250.8,1.7,1,1
