pressure_gpa,a_a,a_sigma_a,c_a,c_sigma_a,volume_a3,volume_sigma_a3
0.0,4.6339,0.0004,15.0177,0.0009,279.28,0.03
0.3,4.6331,0.0004,15.0016,0.001,278.87,0.05
0.74,4.6282,0.0004,14.9717,0.0006,277.73,0.03
1.39,4.6216,0.0005,14.9268,0.0009,276.14,0.06
1.75,4.6192,0.0006,14.9,0.001,275.32,0.07
1.93,4.6162,0.0003,14.8882,0.0007,274.75,0.04
2.26,4.6149,0.0004,14.867,0.001,274.2,0.05
2.34,4.6126,0.0003,14.8652,0.0006,273.9,0.03
2.71,4.6101,0.0005,14.837,0.001,273.08,0.06
3.09,4.6068,0.0004,14.817,0.0009,272.33,0.04
3.34,4.6044,0.0004,14.7973,0.0009,271.68,0.05
3.7,4.6009,0.0003,14.7751,0.0006,270.86,0.03
4.02,4.5995,0.0006,14.751,0.001,270.26,0.07
4.16,4.5988,0.0004,14.7525,0.0009,270.2,0.05
4.77,4.5937,0.0004,14.7157,0.0011,268.93,0.05
6.01,4.585,0.0002,14.6588,0.0005,266.87,0.03
6.03,4.5812,0.0003,14.6302,0.0006,265.91,0.03
6.42,4.5788,0.0002,14.6128,0.0005,265.32,0.02
6.88,4.5747,0.0002,14.5826,0.0004,264.3,0.02
