source_order,pressure_gpa,pressure_uncertainty_gpa,temperature_k,temperature_uncertainty_k,a_angstrom,a_uncertainty_angstrom,c_angstrom,c_uncertainty_angstrom,volume_a3,volume_uncertainty_a3
1,0,,300,,4.6431,,15.0351,,280.71,
2,6.4,0.3,300,,4.586,0.001,14.669,0.002,267.14,0.05
3,11.5,0.6,300,,4.543,0.001,14.358,0.002,256.59,0.06
4,13.9,0.7,300,,4.526,0.001,14.219,0.002,252.31,0.07
5,18.6,0.9,300,,4.508,0.001,14.310,0.002,246.96,0.07
6,19.8,1.0,300,,4.499,0.001,13.988,0.002,245.20,0.06
7,20.6,1.0,300,,4.496,0.001,13.933,0.002,243.87,0.06
8,23.2,1.2,300,,4.475,0.001,13.898,0.003,241.05,0.07
9,25.8,1.3,300,,4.463,0.001,13.783,0.003,237.71,0.07
10,26.3,1.3,300,,4.474,0.001,13.736,0.003,238.16,0.07
11,31.9,1.6,300,,4.430,0.001,13.589,0.003,230.94,0.07
12,34.7,1.7,300,,4.427,0.001,13.498,0.003,229.12,0.07
13,37.1,1.9,300,,4.409,0.001,13.417,0.003,225.83,0.07
14,39.5,2.0,300,,4.398,0.001,13.330,0.003,223.31,0.07
15,41,2,300,,4.389,0.001,13.334,0.003,222.42,0.08
16,42,2,300,,4.390,0.001,13.312,0.003,222.17,0.08
17,46,2,300,,4.389,0.001,13.124,0.003,218.95,0.10
18,47,2,300,,4.385,0.001,13.105,0.003,218.26,0.12
19,48,2,300,,4.372,0.001,13.150,0.003,217.63,0.11
20,52,3,300,,4.363,0.001,12.990,0.003,214.19,0.10
21,53,3,300,,4.345,0.001,13.016,0.003,212.86,0.11
22,54,3,300,,4.353,0.001,12.971,0.003,212.85,0.12
23,57,3,300,,4.347,0.001,12.920,0.004,211.39,0.12
24,58,3,300,,4.345,0.001,12.883,0.004,210.62,0.14
25,59,3,300,,4.338,0.001,12.889,0.003,210.10,0.13
26,60,3,300,,4.337,0.001,12.881,0.003,209.77,0.11
27,61,3,300,,4.335,0.001,12.821,0.003,208.68,0.12
28,65,3,300,,4.315,0.001,12.826,0.003,206.84,0.14
29,66,3,300,,4.320,0.001,12.744,0.004,206.01,0.14
30,68,3,300,,4.310,0.001,12.699,0.004,204.31,0.15
31,72,4,300,,4.305,0.002,12.657,0.004,203.18,0.16
32,32.9,1.6,1200,120,4.455,0.001,13.798,0.003,237.20,0.08
33,37.8,1.9,1200,120,4.431,0.001,13.612,0.003,231.49,0.08
34,40.3,1.9,1200,120,4.418,0.001,13.520,0.003,228.58,0.08
35,46,2,1200,120,4.401,0.001,13.368,0.003,224.24,0.09
36,47,2,1200,120,4.388,0.001,13.433,0.003,224.04,0.08
37,51,3,1200,120,4.391,0.001,13.203,0.003,220.48,0.10
38,53,3,1200,120,4.367,0.001,13.223,0.003,218.37,0.10
39,65,3,1200,120,4.337,0.001,12.927,0.003,210.60,0.10
40,40.8,1.9,1500,150,4.428,0.001,13.600,0.003,230.95,0.12
41,44,2,1500,150,4.415,0.001,13.512,0.003,228.12,0.12
42,48,2,1500,150,4.388,0.001,13.480,0.003,224.74,0.14
43,53,3,1500,150,4.391,0.001,13.206,0.003,220.42,0.14
44,55,3,1500,150,4.379,0.002,13.222,0.003,219.61,0.18
45,56,3,1500,150,4.374,0.002,13.165,0.003,218.13,0.16
46,67,3,1500,150,4.338,0.002,12.941,0.003,210.87,0.18
47,72,4,1500,150,4.312,0.002,12.863,0.003,207.16,0.20
48,77,4,1500,150,4.309,0.002,12.660,0.003,203.57,0.19
49,78,4,1500,150,4.310,0.002,12.640,0.003,203.39,0.18
50,93,5,1500,150,4.276,0.002,12.442,0.004,196.77,0.21
51,115,6,1500,150,4.244,0.002,12.021,0.004,187.49,0.19
52,43,2,1800,180,4.428,0.001,13.574,0.003,230.45,0.14
53,47,2,1800,180,4.416,0.001,13.509,0.003,228.10,0.13
54,57,3,1800,180,4.383,0.002,13.159,0.003,218.89,0.16
55,65,3,1800,180,4.352,0.002,12.987,0.004,212.97,0.16
56,67,3,1800,180,4.339,0.002,12.950,0.004,211.13,0.18
57,72,4,1800,180,4.318,0.002,12.881,0.004,207.99,0.17
58,73,4,1800,180,4.326,0.001,12.856,0.003,208.38,0.15
59,79,4,1800,180,4.314,0.002,12.677,0.004,204.33,0.19
60,80,4,1800,180,4.305,0.002,12.683,0.004,203.57,0.20
61,102,5,1800,180,4.268,0.003,12.249,0.004,193.19,0.29
62,48,2,2000,200,4.412,0.001,13.541,0.002,228.24,0.12
63,55,3,2000,200,4.388,0.001,13.250,0.003,220.98,0.15
64,59,3,2000,200,4.374,0.001,13.174,0.003,218.24,0.13
65,68,3,2000,200,4.356,0.002,12.988,0.003,213.43,0.18
66,68,3,2000,200,4.346,0.002,13.037,0.002,213.29,0.18
67,72,4,2000,200,4.329,0.002,12.894,0.003,209.26,0.21
68,73,4,2000,200,4.329,0.002,12.843,0.003,208.44,0.17
69,82,4,2000,200,4.309,0.002,12.668,0.003,203.69,0.22
70,101,5,2000,200,4.266,0.003,12.334,0.004,194.36,0.24
71,119,6,2000,200,4.230,0.003,12.083,0.004,187.26,0.28
72,52,3,2200,200,4.417,0.001,13.394,0.003,226.34,0.12
73,84,4,2200,200,4.311,0.002,12.668,0.003,203.91,0.16
74,95,5,2200,200,4.289,0.002,12.465,0.004,198.53,0.21
