pressure_gpa,atomic_volume_angstrom3,pressure_digitization_uncertainty_gpa,atomic_volume_digitization_uncertainty_angstrom3,experimental_series
46.3207,13.910370,1.5,0.20,cell_2_square
46.8548,13.844240,1.5,0.20,cell_2_square
48.4556,13.696559,1.5,0.20,cell_2_square
50.1511,13.912301,1.5,0.20,cell_1_diamond
50.8558,13.552696,1.5,0.20,cell_2_square
52.3615,13.577956,1.5,0.20,cell_1_diamond
52.5329,13.436098,1.5,0.20,cell_2_square
53.8097,13.239815,1.5,0.20,cell_1_diamond
55.3148,13.148425,1.5,0.20,cell_2_square
57.2202,13.051233,1.5,0.20,cell_2_square
57.9252,12.975399,1.5,0.20,cell_1_diamond
59.0108,12.954041,1.5,0.20,cell_2_square
61.2601,12.829690,1.5,0.20,cell_2_square
61.8886,12.730600,1.5,0.20,cell_1_diamond
63.2034,12.755860,1.5,0.20,cell_2_square
66.0997,12.600290,1.5,0.20,cell_2_square
66.3089,12.547924,1.5,0.20,cell_1_diamond
68.7674,12.472090,1.5,0.20,cell_2_square
71.7592,12.380751,1.5,0.20,cell_1_diamond
72.1970,12.211581,1.5,0.20,cell_2_square
75.0559,12.192221,1.5,0.20,cell_2_square
75.7220,12.205775,1.5,0.20,cell_1_diamond
77.3419,12.106637,1.5,0.20,cell_2_square
77.6469,12.063863,1.5,0.20,cell_2_square
77.6469,12.094977,1.5,0.20,cell_2_square
82.0861,11.980382,1.5,0.20,cell_1_diamond
83.4203,11.902597,1.5,0.20,cell_1_diamond
89.8231,11.692657,1.5,0.20,cell_1_diamond
97.4827,11.428345,1.5,0.20,cell_1_diamond
103.6560,11.214555,1.5,0.20,cell_1_diamond
111.5828,10.981252,1.5,0.20,cell_1_diamond
117.4905,10.817983,1.5,0.20,cell_1_diamond
125.2264,10.647014,1.5,0.20,cell_1_diamond
130.1418,10.499249,1.5,0.20,cell_1_diamond
134.4482,10.382597,1.5,0.20,cell_1_diamond
141.3466,10.258299,1.5,0.20,cell_1_diamond
150.7205,10.071668,1.5,0.20,cell_1_diamond
154.8370,9.978326,1.5,0.20,cell_1_diamond
159.5245,9.970626,1.5,0.20,cell_1_diamond
162.9546,9.787950,1.5,0.20,cell_1_diamond
166.2316,9.671299,1.5,0.20,cell_1_diamond
166.4224,9.694608,1.5,0.20,cell_1_diamond
168.7091,9.655794,1.5,0.20,cell_1_diamond
168.7091,9.636282,1.5,0.20,cell_1_diamond
173.5106,9.554753,1.5,0.20,cell_1_diamond
176.0258,9.492472,1.5,0.20,cell_1_diamond
179.1506,9.445801,1.5,0.20,cell_1_diamond
182.2759,9.383678,1.5,0.20,cell_1_diamond
185.2867,9.333052,1.5,0.20,cell_1_diamond
188.3347,9.298141,1.5,0.20,cell_1_diamond
190.8118,9.255320,1.5,0.20,cell_1_diamond
193.8994,9.208649,1.5,0.20,cell_1_diamond
196.4523,9.177693,1.5,0.20,cell_1_diamond
201.0258,9.134819,1.5,0.20,cell_1_diamond
204.4172,9.088253,1.5,0.20,cell_1_diamond
208.3043,9.041529,1.5,0.20,cell_1_diamond
211.3920,8.998813,1.5,0.20,cell_1_diamond
