pressure_gpa,atomic_volume_angstrom3,pressure_digitization_uncertainty_gpa,atomic_volume_digitization_uncertainty_angstrom3,experimental_series
0.5706,23.014318,1.5,0.20,cell_2_square
0.6658,22.854845,1.5,0.20,cell_2_square
0.9519,22.586632,1.5,0.20,cell_2_square
1.0851,22.403982,1.5,0.20,cell_2_square
1.4664,21.984174,1.5,0.20,cell_2_square
2.1523,21.556488,1.5,0.20,cell_2_square
2.6477,21.253368,1.5,0.20,cell_2_square
3.5623,20.973474,1.5,0.20,cell_2_square
4.1345,20.732446,1.5,0.20,cell_2_square
5.1250,20.254370,1.5,0.20,cell_2_square
6.9548,19.616796,1.5,0.20,cell_2_square
8.4785,19.158181,1.5,0.20,cell_2_square
11.8325,18.357337,1.5,0.20,cell_2_square
13.7759,17.910344,1.5,0.20,cell_2_square
15.3377,17.599314,1.5,0.20,cell_2_square
17.3388,17.332999,1.5,0.20,cell_1_diamond
17.4920,17.185287,1.5,0.20,cell_1_diamond
18.2730,17.097904,1.5,0.20,cell_2_square
19.6067,16.849097,1.5,0.20,cell_2_square
21.7973,16.536216,1.5,0.20,cell_1_diamond
22.6557,16.452625,1.5,0.20,cell_2_square
26.1237,15.974523,1.5,0.20,cell_2_square
30.4100,15.416638,1.5,0.20,cell_1_diamond
31.6871,15.313645,1.5,0.20,cell_2_square
32.9445,15.127067,1.5,0.20,cell_2_square
36.0316,14.854951,1.5,0.20,cell_2_square
37.0413,14.810178,1.5,0.20,cell_1_diamond
37.9749,14.668314,1.5,0.20,cell_2_square
41.4427,14.349637,1.5,0.20,cell_2_square
41.7674,14.339829,1.5,0.20,cell_1_diamond
43.5386,14.186315,1.5,0.20,cell_2_square
46.3215,13.972498,1.5,0.20,cell_2_square
46.8547,13.933622,1.5,0.20,cell_2_square
47.1021,13.912301,1.5,0.20,cell_1_diamond
48.4548,13.785993,1.5,0.20,cell_2_square
50.1506,13.644034,1.5,0.20,cell_1_diamond
50.8565,13.611022,1.5,0.20,cell_2_square
52.3610,13.492419,1.5,0.20,cell_1_diamond
52.5327,13.486566,1.5,0.20,cell_2_square
