run,nacl_lattice_a_angstrom,nacl_normalized_volume,pressure_kbar,magnetite_lattice_a_angstrom,magnetite_molar_volume_cm3_mol,magnetite_normalized_volume,magnetite_high_pressure_phase_coexists,nacl_b2_phase_coexists
DS-1,5.640,1.000,0,8.394,44.529,1.000,no,no
5LD31,5.629,0.994,1,8.395,44.54,1.000,no,no
5LD38,5.531,0.943,15,8.379,44.30,0.995,no,no
8UP16,5.392,0.874,42,8.341,43.69,0.981,no,no
5LD30,5.245,0.804,85,8.308,43.18,0.970,no,no
5LD35,5.167,0.769,116,8.242,42.15,0.946,no,no
3LD89,5.008,0.700,200,8.172,41.09,0.923,no,no
8UP11,4.937,0.671,248,8.099,40.00,0.898,yes,no
8UP12,4.924,0.665,259,8.081,39.73,0.892,yes,no
8UP13,4.878,0.647,295,8.037,39.08,0.878,yes,yes
3LD94,4.865,0.642,305,8.051,39.28,0.882,yes,yes
8UP15,4.857,0.639,312,8.022,38.86,0.873,yes,yes
8UP14,4.849,0.636,320,8.027,38.94,0.874,yes,yes
