run,pressure_gpa,lattice_a_angstrom,lattice_c_angstrom,unit_cell_volume_a3,normalized_volume,rwp_percent
MJ404,1.43,11.478,11.389,1500.4,0.9916,1.2
MJ305,2.35,11.451,11.361,1489.7,0.9845,0.6
MJ301,2.63,11.454,11.361,1490.5,0.9851,1.1
MJ402,4.34,11.416,11.320,1475.3,0.9751,1.3
MJ101,4.86,11.402,11.309,1470.2,0.9717,1.0
MJ106,5.37,11.386,11.293,1464.0,0.9676,0.6
MJ403,6.58,11.371,11.274,1457.6,0.9633,1.1
MJ302,7.08,11.349,11.252,1449.3,0.9578,1.1
MJ102,8.60,11.332,11.234,1442.6,0.9534,1.1
MJ103,9.72,11.315,11.214,1435.7,0.9488,0.8
